Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Thailand,3|0.11,Bronze,"2750,3160,3193,3309,3330,3370",0.110000,31.90,47.85
Thailand,3|0.008,Bronze,3237,0.008000,2.32,4.64
Thailand,3|0.08,Bronze,3340,0.080000,23.20,34.80
Thailand,3|0.103,Bronze,3393,0.103000,29.87,44.80
United Kingdom,3|0.1,Bronze,"1015,1017,2920",0.100000,29.00,43.50
United Kingdom,3|0.134,Bronze,"2260,2291,2750,2914,3160,3193,3328,3330,3368,3370,3406",0.134000,38.86,58.29
United Kingdom,3|0.064,Bronze,"2263,3309,3329,3371",0.064000,18.56,37.12
United Kingdom,3|0.07,Bronze,2295,0.070000,20.30,30.45
United Kingdom,3|0.051,Bronze,2738,0.051000,14.79,29.58
United Kingdom,3|0.042,Bronze,2739,0.042000,12.18,24.36
United Kingdom,3|0.014,Bronze,3212,0.014000,4.06,8.12
United Kingdom,3|0.008,Bronze,3237,0.008000,2.32,4.64
United Kingdom,3|0.132,Bronze,"3335,3393",0.132000,38.28,57.42
United Kingdom,3|0.104,Bronze,3397,0.104000,30.16,45.24
United Kingdom,1|0.134,Gold,3435,0.134000,38.86,58.29
Poland,3|0.627,Bronze,"1015,2284,2295",0.627000,181.83,227.29
Poland,3|0.411,Bronze,"2263,3309,3328,3418",0.411000,119.19,148.99
Poland,3|0.835,Bronze,"2579,3193,3330,3370,3393",0.835000,242.15,290.58
Poland,3|0.548,Bronze,2738,0.548000,158.92,198.65
Poland,3|0.26,Bronze,2739,0.260000,75.40,105.56
Poland,3|0.107,Bronze,3160,0.107000,31.03,46.55
Poland,3|0.067,Bronze,3237,0.067000,19.43,38.86
Poland,3|0.827,Bronze,3335,0.827000,239.83,287.80
Kosovo,3|0.063,Bronze,3168,0.063000,18.27,36.54
