Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Indonesia,3|0.071,Bronze,"54,3426",0.071000,20.59,30.88
Indonesia,3|0.095,Bronze,"1085,2434,2442,2579,3127,3193,3309,3330,3353,3370",0.095000,27.55,41.33
Indonesia,3|0.006,Bronze,1170,0.006000,1.74,3.48
Indonesia,3|0.007,Bronze,"1329,2982,2992,3027,3168,3347,3427",0.007000,2.03,4.06
Indonesia,3|0.048,Bronze,2263,0.048000,13.92,27.84
Indonesia,3|0.008,Bronze,"2295,3251",0.008000,2.32,4.64
Indonesia,3|0.066,Bronze,"2738,3340,3393",0.066000,19.14,38.28
Indonesia,3|0.052,Bronze,2739,0.052000,15.08,30.16
Indonesia,3|0.004,Bronze,"2994,3327",0.004000,1.16,2.32
Indonesia,3|0.01,Bronze,3029,0.010000,2.90,5.80
Indonesia,3|0.011,Bronze,3061,0.011000,3.19,6.38
Indonesia,3|0.051,Bronze,3206,0.051000,14.79,29.58
Indonesia,3|0.091,Bronze,3224,0.091000,26.39,39.59
Indonesia,1|0.008,Gold,3237,0.008000,2.32,4.64
Indonesia,1|0.007,Gold,"3308,3355",0.007000,2.03,4.06
Indonesia,1|0.054,Gold,"3333,3334",0.054000,15.66,31.32
Indonesia,3|0.089,Bronze,3335,0.089000,25.81,38.71
Indonesia,1|0.043,Gold,3339,0.043000,12.47,24.94
Indonesia,3|0.027,Bronze,"3377,3384",0.027000,7.83,15.66
Indonesia,1|0.006,Gold,3417,0.006000,1.74,3.48
Indonesia,3|0.043,Bronze,3424,0.043000,12.47,24.94
Indonesia,3|0.054,Bronze,3425,0.054000,15.66,31.32
Kosovo,3|0.063,Bronze,3168,0.063000,18.27,36.54
