Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Indonesia,3|0.045,Bronze,2263,0.045000,13.05,26.10
Indonesia,3|0.059,Bronze,"2738,3206",0.059000,17.11,34.22
Indonesia,3|0.047,Bronze,2739,0.047000,13.63,27.26
Indonesia,3|0.006,Bronze,"3160,3339",0.006000,1.74,3.48
Indonesia,3|0.172,Bronze,"3193,3340,3330,3393,3406,3370,2579,2434,3309,1085,3353,3384,3127,1170,3377",0.172000,49.88,74.82
Indonesia,3|0.004,Bronze,"3168,2994,2982,3417",0.004000,1.16,2.32
Indonesia,3|0.163,Bronze,3335,0.163000,47.27,70.91
Indonesia,3|0.01,Bronze,3029,0.010000,2.90,5.80
Indonesia,1|0.004,Gold,"3427,3327,3333,1329,3027,3334,3426,3061,3347",0.004000,1.16,2.32
Indonesia,3|0.007,Bronze,3355,0.007000,2.03,4.06
Indonesia,3|0.134,Bronze,54,0.134000,38.86,58.29
Indonesia,3|0.035,Bronze,3251,0.035000,10.15,20.30
Indonesia,1|0.027,Gold,3424,0.027000,7.83,15.66
Indonesia,3|0.011,Bronze,"3425,3224",0.011000,3.19,6.38
Indonesia,3|0.038,Bronze,3308,0.038000,11.02,22.04
Indonesia,3|0.039,Bronze,2992,0.039000,11.31,22.62
Kosovo,3|0.063,Bronze,3168,0.063000,18.27,36.54
