Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.054,3,2268,0.054000,15.66,31.32
South Africa,3|0.467,3,"2579,2649,2750,3155,3160,3168,3330",0.467000,135.43,172.01
South Africa,3|0.063,3,2812,0.063000,18.27,36.54
South Africa,3|0.351,3,"2849,2984",0.351000,101.79,129.28
South Africa,3|0.099,3,2944,0.099000,28.71,57.42
Bangladesh,3|0.054,3,2268,0.054000,15.66,31.32
Bangladesh,3|0.467,3,"2579,3160,3168",0.467000,135.43,172.01
Algeria,3|0.054,3,2268,0.054000,15.66,31.32
Algeria,3|0.467,3,"2750,3160,3168,3193,3330",0.467000,135.43,172.01
Egypt,3|0.054,3,2268,0.054000,15.66,31.32
Egypt,3|0.467,3,"2750,3160,3193,3330",0.467000,135.43,172.01
Egypt,3|0.351,3,3168,0.351000,101.79,129.28
Brazil,3|0.188,3,"2263,2579,3160,3193,3264,3309,3370,3406,3428",0.188000,54.52,77.97
Brazil,3|0.054,3,2266,0.054000,15.66,31.32
Brazil,3|0.04,3,2404,0.040000,11.60,23.20
Brazil,3|0.144,3,"2738,2750",0.144000,41.76,83.52
Brazil,3|0.132,3,2739,0.132000,38.28,76.56
Brazil,3|0.13,3,2906,0.130000,37.70,75.40
Brazil,3|0.015,3,2951,0.015000,4.35,8.70
Brazil,1|0.015,1,3018,0.015000,4.35,8.70
Brazil,2|0.004,2,3104,0.004000,1.16,2.32
Brazil,3|0.071,3,3215,0.071000,20.59,41.18
Brazil,3|0.022,3,3229,0.022000,6.38,12.76
Brazil,3|0.016,3,3246,0.016000,4.64,9.28
Brazil,3|0.043,3,3252,0.043000,12.47,24.94
Brazil,3|0.187,3,"3335,3393",0.187000,54.23,77.56
Brazil,3|0.032,3,3365,0.032000,9.28,18.56
Brazil,1|0.108,1,3367,0.108000,31.32,62.64
Brazil,3|0.108,3,3371,0.108000,31.32,62.64
Brazil,3|0.064,3,3398,0.064000,18.56,37.12
Brazil,3|0.018,3,3412,0.018000,5.22,10.44
Brazil,3|0.042,3,3413,0.042000,12.18,24.36
Brazil,3|0.03,3,3415,0.030000,8.70,17.40
Brazil,3|0.067,3,3416,0.067000,19.43,38.86
Panama,3|0.054,3,2268,0.054000,15.66,31.32
Panama,3|0.467,3,"2750,3193",0.467000,135.43,172.01
Kazakhstan,3|0.222,3,2263,0.222000,64.38,92.08
Kazakhstan,3|0.054,3,2268,0.054000,15.66,31.32
Kazakhstan,3|0.295,3,2738,0.295000,85.55,122.35
Kazakhstan,3|0.467,3,"2750,3193,3309,3330",0.467000,135.43,172.01
Kazakhstan,3|0.351,3,3168,0.351000,101.79,129.28
Azerbaijan,3|0.054,3,2268,0.054000,15.66,31.32
Azerbaijan,3|0.351,3,3168,0.351000,101.79,129.28
Azerbaijan,3|0.467,3,"3193,3330",0.467000,135.43,172.01
Saudi Arabia,3|0.054,3,2268,0.054000,15.66,31.32
Saudi Arabia,3|0.034,3,2377,0.034000,9.86,19.72
Saudi Arabia,3|0.467,3,"2579,3160,3193,3330",0.467000,135.43,172.01
Poland,3|0.351,3,"1015,2295",0.351000,101.79,129.28
Poland,3|0.222,3,2263,0.222000,64.38,92.08
Poland,3|0.054,3,2268,0.054000,15.66,31.32
Poland,3|0.008,3,2284,0.008000,2.32,4.64
Poland,3|0.467,3,"2442,2579,3160,3193,3309,3330",0.467000,135.43,172.01
Poland,3|0.295,3,2738,0.295000,85.55,122.35
Poland,3|0.14,3,2739,0.140000,40.60,81.20
United Arab Emirates,3|0.054,3,2268,0.054000,15.66,31.32
United Arab Emirates,3|0.467,3,3160,0.467000,135.43,172.01
Cambodia,3|0.054,3,2268,0.054000,15.66,31.32
Cambodia,3|0.467,3,"2750,3160,3193,3330",0.467000,135.43,172.01
Romania,3|0.222,3,2263,0.222000,64.38,92.08
Romania,3|0.054,3,2268,0.054000,15.66,31.32
Romania,3|0.467,3,"2291,2750,3160,3193,3330",0.467000,135.43,172.01
Romania,3|0.295,3,2738,0.295000,85.55,122.35
Romania,3|0.14,3,2739,0.140000,40.60,81.20
Romania,3|0.351,3,3168,0.351000,101.79,129.28
Indonesia,3|0.134,3,54,0.134000,38.86,77.72
Indonesia,3|0.467,3,"1085,2434,2442,2579,2750,3127,3193,3309,3330,3353,3377,3384,3406,3427",0.467000,135.43,172.01
Indonesia,3|0.351,3,"1170,3206,3327,3333,3347",0.351000,101.79,129.28
Indonesia,3|0.004,3,"1329,2295,2994,3027,3061,3339,3424",0.004000,1.16,2.32
Indonesia,3|0.222,3,2263,0.222000,64.38,92.08
Indonesia,3|0.054,3,2268,0.054000,15.66,31.32
Indonesia,3|0.295,3,2738,0.295000,85.55,122.35
Indonesia,3|0.14,3,2739,0.140000,40.60,81.20
Indonesia,3|0.051,3,3029,0.051000,14.79,29.58
Indonesia,3|0.007,3,"3168,3355",0.007000,2.03,4.06
Indonesia,3|0.139,3,3251,0.139000,40.31,80.62
Indonesia,1|0.008,1,3334,0.008000,2.32,4.64
Indonesia,1|0.004,1,"3417,3426",0.004000,1.16,2.32
Bolivia,3|0.054,3,2268,0.054000,15.66,31.32
Bolivia,3|0.467,3,"2750,3160,3193",0.467000,135.43,172.01
Bolivia,3|0.351,3,3168,0.351000,101.79,129.28
Kosovo,3|0.063,3,3168,0.063000,18.27,36.54
Gibraltar,3|1.119,3,2750,1.119000,324.51,412.16
