Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
United Kingdom,Bronze,"2750,2579,3160,2291,3193,3368,3330,2260,3406,3370,2920,3328,3042,3271,2914",0.200000,56.00,78.40
United Kingdom,Bronze,"2738,3371",0.110000,30.80,46.20
United Kingdom,Bronze,"2739,3309,3329,3393",0.093000,26.04,39.06
United Kingdom,Bronze,2263,0.138000,38.64,57.96
United Kingdom,Bronze,"3212,3248",0.014000,3.92,6.27
United Kingdom,Bronze,3237,0.008000,2.24,3.58
United Kingdom,Bronze,3335,0.156000,43.68,65.52
United Kingdom,Bronze,3435,0.108000,30.24,45.36
United Kingdom,Bronze,1015,0.151000,42.28,63.42
Malaysia,Bronze,"2750,2579,3193,3330,3370,3309",0.118000,33.04,49.56
Malaysia,Bronze,3237,0.074000,20.72,31.08
Malaysia,Bronze,"3393,3421,3340",0.114000,31.92,47.88
Japan,Bronze,"2750,3160",5.158000,1444.24,1733.09
Kosovo,Bronze,3168,0.063000,17.64,28.22
Gibraltar,Bronze,"2750,2579",0.970000,271.60,325.92
