Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
United States,Bronze,3001,0.236000,66.08,92.51
United States,Bronze,3170,0.134000,37.52,56.28
United States,Bronze,3193,0.640000,179.20,224.00
United States,Bronze,3196,0.220000,61.60,86.24
United States,Gold,2495,0.174000,48.72,73.08
United States,Bronze,3370,0.668000,187.04,233.80
United States,Bronze,2263,0.198000,55.44,77.62
United States,Bronze,2738,0.264000,73.92,103.49
United States (virtual),Bronze,"2262,2442,3193,3160,3309,3212,3393,3406,3335,3330,3418,3328",0.091000,25.48,38.22
United States (virtual),Bronze,"2430,2440,2441,2767,2748,2784,2677,2524,2675,2681,2620,2568,3154",0.038000,10.64,17.02
United States (virtual),Bronze,3209,0.082000,22.96,34.44
United States (virtual),Bronze,"3140,3228",0.068000,19.04,30.46
United States (virtual),Gold,3441,0.091000,25.48,38.22
Gibraltar,Bronze,2579,1.510000,422.80,507.36
