Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
India,Bronze,"2805,2750,3193,3160,3330,3406,3370,3371,3309,3393",0.046000,12.88,20.61
United Kingdom,Bronze,2442,0.095000,26.60,39.90
United Kingdom,Bronze,"2738,3393,3328",0.108000,30.24,45.36
United Kingdom,Bronze,"2750,2579,3160,2291,3193,3368,3330,3406,3370,3094,2914",0.200000,56.00,78.40
United Kingdom,Bronze,"2263,3309",0.086000,24.08,36.12
United Kingdom,Bronze,2739,0.054000,15.12,24.19
United Kingdom,Bronze,"2295,1015",0.151000,42.28,63.42
United Kingdom,Bronze,3329,0.122000,34.16,51.24
United Kingdom,Bronze,3237,0.011000,3.08,4.93
United Kingdom,Bronze,3212,0.014000,3.92,6.27
United Kingdom,Bronze,3335,0.156000,43.68,65.52
United Kingdom,Bronze,3371,0.199000,55.72,78.01
United Kingdom,Bronze,3435,0.115000,32.20,48.30
Cyprus,Bronze,"2750,3193,3370,3371,3393,3309,3328",0.271000,75.88,106.23
Hong Kong,Bronze,"2750,3193,3330,3370,2579",0.271000,75.88,106.23
Hong Kong,Bronze,3237,0.008000,2.24,3.58
Hong Kong,Bronze,3328,0.220000,61.60,86.24
Hong Kong,Bronze,3335,0.268000,75.04,105.06
United States (virtual),Bronze,"2430,2440,2441,2767,2748,2784,2677,2524,2675,2681,2620,2568,3154",0.012000,3.36,5.38
United States (virtual),Bronze,"2750,2442,3160,3309,3212,3393,3406,3418,3328",0.027000,7.56,12.10
United States (virtual),Bronze,3209,0.020000,5.60,8.96
United States (virtual),Gold,3441,0.027000,7.56,12.10
