Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Germany,Bronze,2263,0.578000,161.84,202.30
Germany,Bronze,2738,0.349000,97.72,136.81
Germany,Bronze,"2750,2442,3193,3330,3370,2579,2966,3340",0.835000,233.80,280.56
Germany,Silver,2739,0.140000,39.20,58.80
Germany,Bronze,"3329,3393",0.444000,124.32,155.40
Germany,Bronze,3237,0.074000,20.72,31.08
Germany,Bronze,3087,0.267000,74.76,104.66
Germany,Bronze,3394,0.540000,151.20,189.00
Germany,Bronze,3335,0.624000,174.72,218.40
Germany,Bronze,"3418,3309",0.347000,97.16,136.02
Germany,Bronze,3371,0.827000,231.56,277.87
Estonia,Bronze,"2750,2291,3193,3309,3330,3393,3370",0.302000,84.56,118.38
Estonia,Bronze,2738,0.194000,54.32,76.05
Estonia,Bronze,3335,0.299000,83.72,117.21
Estonia,Bronze,3328,0.288000,80.64,112.90
Estonia,Bronze,2263,0.146000,40.88,61.32
