Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Ukraine,Bronze,2263,0.399000,115.71,144.64
Ukraine,Bronze,2738,0.560000,162.40,203.00
Ukraine,Bronze,3193,0.584000,169.36,211.70
Ukraine,Bronze,2739,0.182000,52.78,73.89
Ukraine,Bronze,3168,0.439000,127.31,159.14
Brazil,Bronze,3089,0.160000,46.40,69.60
Brazil,Bronze,2263,0.256000,74.24,103.94
Brazil,Bronze,2739,0.181000,52.49,73.49
Brazil,Bronze,2738,0.178000,51.62,72.27
Brazil,Bronze,3215,0.132000,38.28,57.42
Brazil,Bronze,"3193,3365,3415,3398",0.287000,83.23,116.52
Brazil,Bronze,"2951,3246,2906,2404,3229,3356,3412,3413",0.215000,62.35,87.29
Brazil,Bronze,3252,0.172000,49.88,74.82
Brazil,Bronze,3264,0.231000,66.99,93.79
Brazil,Bronze,3104,0.004000,1.16,3.48
Brazil,Bronze,3416,0.090000,26.10,39.15
Spain,Bronze,2739,0.340000,98.60,138.04
Spain,Bronze,2263,0.407000,118.03,147.54
Spain,Bronze,2738,1.130000,327.70,393.24
Spain,Bronze,"3193,3309",1.274000,369.46,443.35
United Kingdom,Bronze,2263,0.096000,27.84,41.76
United Kingdom,Bronze,2739,0.062000,17.98,53.94
United Kingdom,Bronze,2738,0.128000,37.12,55.68
United Kingdom,Bronze,"2291,3193,2579,3368,3168,2914",0.200000,58.00,81.20
United Kingdom,Bronze,"2295,1015,1017",0.151000,43.79,65.69
United Kingdom,Bronze,3212,0.040000,11.60,34.80
United Kingdom,Gold,3435,0.200000,58.00,81.20
United Kingdom,Bronze,3397,0.159000,46.11,69.16
Germany,Bronze,"2579,3193,3309",1.358000,393.82,472.58
Germany,Bronze,2739,0.234000,67.86,95.00
Germany,Bronze,2263,0.546000,158.34,197.93
Germany,Bronze,2738,0.555000,160.95,201.19
Germany,Bronze,3087,0.467000,135.43,169.29
Germany,Bronze,"3394,3168",1.127000,326.83,392.20
Germany,Gold,3435,1.358000,393.82,472.58
Czech Republic,Bronze,2263,0.410000,118.90,148.63
Czech Republic,Bronze,2738,0.546000,158.34,197.93
Czech Republic,Bronze,"2291,3193,2579",1.510000,437.90,525.48
Czech Republic,Bronze,2739,0.259000,75.11,105.15
Czech Republic,Bronze,3087,0.507000,147.03,183.79
Greece,Bronze,2263,0.351000,101.79,127.24
Greece,Bronze,2738,0.467000,135.43,169.29
Greece,Bronze,3193,0.523000,151.67,189.59
Greece,Bronze,2739,0.222000,64.38,90.13
Latvia,Bronze,3193,0.204000,59.16,82.82
Lithuania,Bronze,"3193,2579",0.318000,92.22,129.11
Lithuania,Bronze,3087,0.200000,58.00,81.20
Kosovo,Bronze,3168,0.063000,18.27,54.81
