Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
India,Bronze,"2266,2268",0.073000,21.17,31.75
India,Bronze,"2579,2805,3160,3309,3330,3370,3393,3406",0.134000,38.86,58.29
India,Bronze,3182,0.054000,15.66,25.06
India,Bronze,3193,0.118000,34.22,51.33
India,Bronze,"3335,3371",0.074000,21.46,32.19
Brazil,Bronze,"2260,2263,2404,2738,2739,2920,3015,3018,3042,3160,3193,3264,3271,3309,3340,3365,3370,3371,3393,3398,3406,3415,3435",0.071000,20.59,30.88
Brazil,Bronze,"2906,2951,3229,3246,3274,3412,3413",0.054000,15.66,25.06
Brazil,Bronze,3215,0.052000,15.08,24.13
Brazil,Bronze,3252,0.030000,8.70,13.92
Brazil,Bronze,3287,0.004000,1.16,1.86
Brazil,Bronze,3367,0.046000,13.34,21.34
Brazil,Gold,3437,0.071000,20.59,30.88
Brazil,Gold,3439,0.054000,15.66,25.06
Kosovo,Bronze,3168,0.063000,18.27,29.23
Kosovo,Bronze,3182,0.054000,15.66,25.06
Gibraltar,Bronze,2579,0.535000,155.15,193.94
Gibraltar,Bronze,3182,0.054000,15.66,25.06
