Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
India,Bronze,"2750,2805,3160,3193,3309,3330,3370,3371,3393,3406",0.075000,21.75,32.63
Ukraine,Bronze,2263,0.558000,161.82,202.28
Ukraine,Bronze,"2579,2750,3193,3309,3328,3330,3340,3370,3393,3418",0.835000,242.15,290.58
Ukraine,Bronze,2738,0.784000,227.36,272.83
Ukraine,Bronze,2739,0.198000,57.42,80.39
Ukraine,Bronze,3168,0.627000,181.83,227.29
Ukraine,Bronze,3248,0.027000,7.83,12.53
Ukraine,Bronze,3335,0.520000,150.80,188.50
Ukraine,Bronze,3371,0.291000,84.39,118.15
France,Bronze,"2263,3329",0.240000,69.60,97.44
France,Bronze,"2442,2579,2750,3160,3193,3309,3370,3393,3394",0.367000,106.43,133.04
France,Bronze,2738,0.320000,92.80,129.92
France,Bronze,"2739,3371,3414,3418",0.152000,44.08,66.12
France,Bronze,"3168,3270",0.275000,79.75,111.65
France,Bronze,3237,0.046000,13.34,21.34
France,Bronze,3335,0.244000,70.76,99.06
France,Bronze,"3389,3403",0.267000,77.43,108.40
Mexico,Bronze,"2750,3193,3330,3370",0.130000,37.70,56.55
Mexico,Bronze,3160,0.098000,28.42,42.63
Mexico,Bronze,3414,0.089000,25.81,38.71
United Kingdom,Bronze,1015,0.151000,43.79,65.69
United Kingdom,Bronze,"2263,2738,3328,3329",0.120000,34.80,52.20
United Kingdom,Bronze,"2291,2442,2579,2750,2914,3160,3193,3330,3368,3370,3406",0.200000,58.00,81.20
United Kingdom,Bronze,"2739,3309,3371,3393",0.093000,26.97,40.45
United Kingdom,Bronze,"3212,3248",0.014000,4.06,6.50
United Kingdom,Bronze,3237,0.008000,2.32,3.71
United Kingdom,Bronze,3335,0.156000,45.24,67.86
United Kingdom,Bronze,3397,0.104000,30.16,45.24
United Kingdom,Bronze,3435,0.115000,33.35,50.03
Germany,Bronze,"2263,3309,3314,3393,3418",1.112000,322.48,386.98
Germany,Bronze,"2442,2579,2750,2966,3160,3193,3330,3340,3370,3435",2.948000,854.92,1025.90
Germany,Bronze,2738,1.247000,361.63,433.96
Germany,Bronze,3087,1.808000,524.32,629.18
Germany,Bronze,3168,2.211000,641.19,769.43
Germany,Bronze,3237,0.008000,2.32,3.71
Germany,Bronze,3248,0.014000,4.06,6.50
Germany,Bronze,"3329,3371",0.515000,149.35,186.69
Germany,Bronze,3335,0.676000,196.04,245.05
Germany,Bronze,3394,1.343000,389.47,467.36
Poland,Bronze,"2263,3309,3418",0.480000,139.20,174.00
Poland,Bronze,"2284,3160",0.878000,254.62,305.54
Poland,Bronze,"2442,2579,3193,3330,3370,3393",1.097000,318.13,381.76
Poland,Bronze,"2738,3328,3340",0.640000,185.60,232.00
Poland,Bronze,2739,0.304000,88.16,123.42
Poland,Bronze,3087,0.800000,232.00,278.40
Poland,Bronze,3248,0.014000,4.06,6.50
Poland,Bronze,3335,0.780000,226.20,271.44
Malaysia,Bronze,"1384,2579,2750,3193,3309,3330,3340,3370,3421",0.118000,34.22,51.33
Malaysia,Bronze,3237,0.078000,22.62,33.93
Netherlands,Bronze,1203,0.274000,79.46,111.24
Netherlands,Bronze,"2263,3329,3371",0.166000,48.14,72.21
Netherlands,Bronze,"2442,2579,2750,3160,3193,3309,3330,3370,3393",0.886000,256.94,308.33
Netherlands,Bronze,2738,0.220000,63.80,89.32
Netherlands,Bronze,2739,0.185000,53.65,75.11
Netherlands,Bronze,"3087,3328,3340,3418",0.667000,193.43,241.79
Netherlands,Bronze,3198,0.099000,28.71,43.06
Netherlands,Bronze,3237,0.059000,17.11,27.38
Netherlands,Bronze,3335,0.208000,60.32,84.45
Netherlands,Bronze,3433,0.181000,52.49,73.49
Philippines,Bronze,"2263,2738,2739,2750,3160,3193,3309,3330,3370",0.151000,43.79,65.69
Philippines,Bronze,3237,0.008000,2.32,3.71
Philippines,Bronze,3335,0.100000,29.00,43.50
Philippines,Bronze,"3340,3393,3418",0.094000,27.26,40.89
Estonia,Bronze,2263,0.323000,93.67,131.14
Estonia,Bronze,"2291,2750,3168,3193,3309,3330,3370,3393",0.502000,145.58,181.98
Estonia,Bronze,2738,0.430000,124.70,155.88
Estonia,Bronze,3328,0.476000,138.04,172.55
Estonia,Bronze,3335,0.496000,143.84,179.80
Indonesia,Bronze,"54,3333",0.022000,6.38,10.21
Indonesia,Bronze,"1085,2263,2434,2579,2738,2750,3127,3193,3309,3330,3370,3377,3406,3427",0.024000,6.96,11.14
Indonesia,Bronze,"1170,3340,3393",0.014000,4.06,6.50
