Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,Bronze,"2579,3160,3168,3330,3370",0.224000,64.96,90.94
South Africa,Bronze,"2649,2750,3155",0.004000,1.16,3.48
South Africa,Bronze,2840,0.223000,64.67,90.54
South Africa,Bronze,2984,0.168000,48.72,73.08
Pakistan,Bronze,"2579,3160,3193",0.152000,44.08,66.12
Bangladesh,Bronze,"2579,3160,3168",0.127000,36.83,55.24
Zambia,Bronze,"2579,2750,3160,3193",0.120000,34.80,52.20
Namibia,Bronze,2579,0.127000,36.83,55.24
Algeria,Bronze,"2579,2750,3160,3168,3193,3330",0.127000,36.83,55.24
Ethiopia,Bronze,"2579,2750,3193",0.127000,36.83,55.24
Ethiopia,Bronze,3168,0.095000,27.55,41.33
Mozambique,Bronze,2579,0.127000,36.83,55.24
Angola,Bronze,"2579,2750,3160,3193",0.127000,36.83,55.24
Egypt,Bronze,"2579,2750,3160,3193,3330",0.127000,36.83,55.24
Egypt,Bronze,3168,0.095000,27.55,41.33
Brazil,Bronze,2263,0.127000,36.83,55.24
Brazil,Bronze,"2404,2738,2906,2951,3215,3229,3246,3356,3412,3413",0.100000,29.00,43.50
Brazil,Bronze,2739,0.089000,25.81,38.71
Brazil,Bronze,"2750,3160,3193,3365,3398,3406,3415",0.134000,38.86,58.29
Brazil,Bronze,2840,0.116000,33.64,50.46
Brazil,Bronze,3089,0.063000,18.27,54.81
Brazil,Bronze,3104,0.004000,1.16,3.48
Brazil,Bronze,3252,0.027000,7.83,23.49
Brazil,Bronze,3264,0.106000,30.74,46.11
Brazil,Bronze,3416,0.086000,24.94,37.41
Iran,Bronze,2579,0.127000,36.83,55.24
Peru ,Bronze,"2579,2750,3160,3193",0.127000,36.83,55.24
Peru ,Bronze,3168,0.095000,27.55,41.33
Zimbabwe,Bronze,"2579,3160",0.127000,36.83,55.24
Nepal,Bronze,"2579,3193",0.127000,36.83,55.24
Uzbekistan,Bronze,"2579,3160,3193,3309,3330",0.127000,36.83,55.24
Uzbekistan,Bronze,3168,0.095000,27.55,41.33
Nigeria,Bronze,"2579,2750,3160,3193,3330",0.220000,63.80,89.32
Nigeria,Bronze,3168,0.166000,48.14,72.21
Congo (Dem. Republic),Bronze,"2750,3160,3330",0.127000,36.83,55.24
France,Bronze,2263,0.212000,61.48,86.07
France,Bronze,"2442,2738,2750,3160,3193,3309",0.235000,68.15,95.41
France,Bronze,2739,0.135000,39.15,58.73
France,Bronze,"3168,3270,3389,3394,3403",0.177000,51.33,71.86
Botswana,Bronze,"2579,3160",0.127000,36.83,55.24
Mexico,Bronze,"2750,3193,3330",0.098000,28.42,42.63
Mexico,Bronze,3160,0.074000,21.46,32.19
Tanzania,Bronze,"2579,2750,3160,3193,3330",0.127000,36.83,55.24
Tanzania,Bronze,3168,0.095000,27.55,41.33
Sri Lanka,Bronze,"2579,3193",0.127000,36.83,55.24
Sri Lanka,Bronze,3168,0.095000,27.55,41.33
Honduras,Bronze,"2579,2750,3160,3193",0.127000,36.83,55.24
Argentinas,Bronze,2263,0.098000,28.42,42.63
Argentinas,Bronze,"2556,2739,3056",0.066000,19.14,57.42
Argentinas,Bronze,"2738,2750,3160,3193",0.127000,36.83,55.24
Myanmar,Bronze,"3160,3193,3330",0.127000,36.83,55.24
Tunisia,Bronze,"2579,2750",0.127000,36.83,55.24
