Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,Bronze,"2750,2649,2984,3155",0.004000,1.16,3.48
South Africa,Bronze,"2579,3160,3330,3370,3168",0.154000,44.66,66.99
South Africa,Bronze,3237,0.008000,2.32,6.96
South Africa,Bronze,3393,0.120000,34.80,52.20
South Africa,Bronze,3335,0.144000,41.76,62.64
India,Bronze,"2805,2750,3193,3160,3330,3406,3370,3371,3309,3393",0.040000,11.60,34.80
Pakistan,Bronze,"3193,3160,2579,3370,3371,3393",0.228000,66.12,92.57
Bangladesh,Bronze,"3160,3370,3371,3393",0.191000,55.39,77.55
Bangladesh,Bronze,3168,0.181000,52.49,73.49
Zambia,Bronze,"2750,3160,3193,3370,3371,3309,3393,3418",0.191000,55.39,77.55
Namibia,Bronze,"3370,3371,3309,3393",0.191000,55.39,77.55
Algeria,Bronze,"2750,3193,3160,3330,3370,3371,3309,3393,3168",0.191000,55.39,77.55
Ethiopia,Bronze,"2750,2579,3193,3370,3371,3309,3393",0.191000,55.39,77.55
Ethiopia,Bronze,3168,0.143000,41.47,62.20
Mozambique,Bronze,"3370,3371,3309,3393",0.191000,55.39,77.55
Angola,Bronze,"2750,3193,3160,3370,3371,3309,3393",0.191000,55.39,77.55
Egypt,Bronze,"2750,3193,3330,3160,3340,3393,3370",0.191000,55.39,77.55
Egypt,Bronze,3168,0.118000,34.22,51.33
Iran,Bronze,"3330,3370,3371,3393,3309",0.191000,55.39,77.55
Peru ,Bronze,"2750,3193,3160,3370,3371,3393,3309",0.191000,55.39,77.55
Peru ,Bronze,3168,0.143000,41.47,62.20
Zimbabwe,Bronze,"3160,3370",0.191000,55.39,77.55
Nepal,Bronze,"3193,3370,3371,3393,3309",0.191000,55.39,77.55
Uzbekistan,Bronze,"3160,3193,3330,3370,3309,3393",0.191000,55.39,77.55
Uzbekistan,Bronze,3168,0.143000,41.47,62.20
Nigeria,Bronze,"2750,2579,3193,3160,3330,3370,3309,3393",0.330000,95.70,133.98
Nigeria,Bronze,3237,0.275000,79.75,111.65
Nigeria,Bronze,3168,0.247000,71.63,100.28
Nigeria,Bronze,3335,0.311000,90.19,126.27
Swaziland,Bronze,"3370,3309,3393",0.191000,55.39,77.55
Congo (Dem. Republic),Bronze,"2750,3160,3330,2260,3370",0.191000,55.39,77.55
Congo (Dem. Republic),Bronze,2920,0.143000,41.47,62.20
Botswana,Bronze,"3160,3370,3371,3309,3393,3328",0.191000,55.39,77.55
Mexico,Bronze,"2750,3193,3330,3370",0.228000,66.12,92.57
Mexico,Bronze,3414,0.154000,44.66,66.99
Mexico,Bronze,3160,0.171000,49.59,74.39
Sri Lanka,Bronze,"3193,3370",0.191000,55.39,77.55
Sri Lanka,Bronze,3168,0.143000,41.47,62.20
Honduras,Bronze,"2750,3193,3160,3370,3371,3393,3309",0.191000,55.39,77.55
Argentinas,Bronze,"2286,2750,2579,3160,3193,2260",0.191000,55.39,77.55
Argentinas,Bronze,2738,0.171000,49.59,74.39
Argentinas,Bronze,"2263,3393",0.128000,37.12,55.68
Argentinas,Bronze,"2739,3056,2556",0.086000,24.94,37.41
Argentinas,Bronze,2920,0.143000,41.47,62.20
Myanmar,Bronze,"3160,3193,3330,3370,2579,3371,3393,3309",0.191000,55.39,77.55
Tunisia,Bronze,"2750,3160,3370,3371,3309,3393",0.191000,55.39,77.55
Tunisia,Bronze,3168,0.011000,3.19,9.57
Timor-Leste,Bronze,"3160,3370",0.191000,55.39,77.55
Lesotho,Bronze,"3370,3371,3309,3393",0.191000,55.39,77.55
Ecuador,Bronze,"2750,3193,3160,3370,3371,3393,3309",0.191000,55.39,77.55
El Salvador,Bronze,"2750,2260,3370",0.191000,55.39,77.55
El Salvador,Bronze,2920,0.143000,41.47,62.20
Morocco,Bronze,"2750,2579,3193,3160,3330,3370",0.330000,95.70,133.98
Morocco,Bronze,"2738,3309,3340",0.158000,45.82,68.73
Morocco,Bronze,2263,0.118000,34.22,51.33
Morocco,Bronze,"3393,3168",0.248000,71.92,100.69
Morocco,Bronze,3335,0.311000,90.19,126.27
Uganda,Bronze,"2750,3193,2579,3370,3371,3309,3393",0.191000,55.39,77.55
Malawi,Bronze,"2750,3193,3370,3371,3309,3393",0.191000,55.39,77.55
Ghana,Bronze,"2750,3193,3160,3330,3370,3309,3393",0.191000,55.39,77.55
Ghana,Bronze,3168,0.143000,41.47,62.20
Panama,Bronze,"2750,3193,3370,3371,3393,3309",0.191000,55.39,77.55
Jamaica,Bronze,"3370,3371,3393,3309",0.191000,55.39,77.55
Venezuela,Bronze,"2750,3193,3160,3370,2579,3371,3393,3309",0.247000,71.63,100.28
Colombia,Bronze,"2286,2750,2579,3160,3193,3330,3406,3370",0.430000,124.70,155.88
Colombia,Bronze,3237,0.008000,2.32,6.96
Colombia,Bronze,"3340,2236",0.190000,55.10,77.14
Colombia,Bronze,3335,0.404000,117.16,146.45
Paraguay,Bronze,"2750,3193,3160,3370,3371,3393,3309,3418,3328",0.191000,55.39,77.55
Turkey,Bronze,"2750,3193,3406,3370,3160,3393,3371,3309,3329",0.228000,66.12,92.57
Jordan,Bronze,"3193,3370,3371,3393,3309",0.191000,55.39,77.55
Cameroon,Bronze,"2750,2579,3193,2739,2738,3330,3370",0.330000,95.70,133.98
Cameroon,Bronze,3160,0.051000,14.79,44.37
Cameroon,Bronze,"2263,3168,2709",0.247000,71.63,100.28
Cameroon,Bronze,3335,0.311000,90.19,126.27
Israel,Bronze,"3193,2738,2263,3330,2579,3370",0.392000,113.68,142.10
Israel,Bronze,3237,0.010000,2.90,8.70
Israel,Bronze,3335,0.369000,107.01,133.76
Cote d`Ivoire Ivory Coast,Bronze,"2750,3330,2260,3370,32",0.330000,95.70,133.98
Cote d`Ivoire Ivory Coast,Bronze,3237,0.275000,79.75,111.65
Cote d`Ivoire Ivory Coast,Bronze,"3168,2920",0.247000,71.63,100.28
Bulgaria,Bronze,"2750,3193,2579,3370,3371,3309,3393",0.036000,10.44,31.32
Bulgaria,Bronze,"2263,2738",0.020000,5.80,17.40
Mauritius,Bronze,"3370,3371,3309,3393",0.181000,52.49,73.49
Turkmenistan,Bronze,"3370,3371,3393,3309",0.191000,55.39,77.55
Mali,Bronze,"2750,3193,3370,3371,3309,3393",0.191000,55.39,77.55
Mali,Bronze,3168,0.143000,41.47,62.20
Rwanda,Bronze,"3370,3371,3309,3393",0.191000,55.39,77.55
Gabon,Bronze,"2750,3193,3160,3370,3309,3393",0.191000,55.39,77.55
Gabon,Bronze,3371,0.190000,55.10,77.14
Nicaragua,Bronze,"2750,3193,3370,3371,3393,3309",0.191000,55.39,77.55
United States,Bronze,2617,0.102000,29.58,44.37
United States,Bronze,3170,0.094000,27.26,40.89
United States,Bronze,3196,0.080000,23.20,34.80
United States,Bronze,3193,0.128000,37.12,55.68
United States,Bronze,2495,0.048000,13.92,41.76
United States,Bronze,3237,0.035000,10.15,30.45
United States,Bronze,3370,0.353000,102.37,127.96
Saudi Arabia,Bronze,2377,0.142000,41.18,61.77
Saudi Arabia,Bronze,"3193,3160,3330,3370",0.191000,55.39,77.55
Thailand,Bronze,"2750,3193,3160,3330,3309",0.051000,14.79,44.37
Benin,Bronze,"2750,2579,3193,3370,3309,3393",0.191000,55.39,77.55
Benin,Bronze,3371,0.140000,40.60,60.90
Costa Rica,Bronze,3370,0.191000,55.39,77.55
Burkina Faso,Bronze,"2750,3370",0.191000,55.39,77.55
Qatar,Bronze,"3370,3371,3393",0.191000,55.39,77.55
Belgium,Bronze,"2750,2579,3160,3193,3309,3370,3393",0.430000,124.70,155.88
Belgium,Bronze,3335,0.342000,99.18,138.85
Belgium,Bronze,3371,0.384000,111.36,139.20
United Kingdom,Bronze,2263,0.034000,9.86,29.58
United Kingdom,Silver,2442,0.026000,7.54,22.62
United Kingdom,Bronze,2738,0.040000,11.60,34.80
United Kingdom,Bronze,"2750,2579,3160,2291,3193,3330,3406,3370,3335,3168,2914,3397",0.051000,14.79,44.37
United Kingdom,Bronze,"2739,3309,3329,3393,3328,3371",0.024000,6.96,20.88
