Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
United States,Bronze,2263,0.666000,193.14,241.43
United States,Bronze,2738,0.888000,257.52,309.02
United States,Bronze,"3168,3193,3370",1.174000,340.46,408.55
United States,Bronze,3177,0.600000,174.00,217.50
United States,Bronze,3196,0.236000,68.44,95.82
United States,Bronze,3237,0.010000,2.90,4.64
United Kingdom,Bronze,1015,0.089000,25.81,38.71
United Kingdom,Bronze,"2263,3309,3328,3329,3371",0.062000,17.98,28.77
United Kingdom,Bronze,"2291,2914,3160,3193,3330,3368,3370,3406",0.118000,34.22,51.33
United Kingdom,Bronze,"2442,3393",0.063000,18.27,29.23
United Kingdom,Bronze,2738,0.079000,22.91,34.37
United Kingdom,Bronze,2739,0.039000,11.31,18.10
United Kingdom,Bronze,3212,0.014000,4.06,6.50
United Kingdom,Bronze,3237,0.012000,3.48,5.57
United Kingdom,Bronze,3335,0.094000,27.26,40.89
United Kingdom,Bronze,3397,0.095000,27.55,41.33
United Kingdom,Bronze,3435,0.070000,20.30,30.45
Japan,Bronze,3160,5.158000,1495.82,1794.98
Japan,Bronze,3436,3.869000,1122.01,1346.41
Kosovo,Bronze,3168,0.063000,18.27,29.23
