Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Ukraine,Bronze,"2750,3193,3330,3370,2579",0.335000,97.15,136.01
Ukraine,Bronze,"2263,3309",0.228000,66.12,92.57
Ukraine,Bronze,2738,0.314000,91.06,127.48
Ukraine,Bronze,2739,0.103000,29.87,44.80
Ukraine,Bronze,"3340,3393,3328,3371,3418",0.148000,42.92,64.38
Ukraine,Bronze,3168,0.251000,72.79,101.91
Ukraine,Bronze,3335,0.332000,96.28,134.79
United Kingdom,Bronze,"2442,2750,3160,2291,3193,2579,3309,3329,3368,3330,3406,3370,3168,2914",0.051000,14.79,44.37
United Kingdom,Bronze,2739,0.014000,4.06,12.18
United Kingdom,Bronze,"2263,2295",0.022000,6.38,19.14
United Kingdom,Bronze,2738,0.030000,8.70,26.10
United Kingdom,Bronze,"3212,3393,3371",0.020000,5.80,17.40
United Kingdom,Bronze,"3335,3328",0.045000,13.05,39.15
United Kingdom,Gold,3435,0.051000,14.79,44.37
United Kingdom,Bronze,"1015,3397,1017",0.039000,11.31,33.93
Germany,Bronze,"2750,2442,3193,3160,3330,2579,3370,2966",0.418000,121.22,151.53
Germany,Bronze,2263,0.139000,40.31,60.47
Germany,Bronze,2738,0.174000,50.46,70.64
Germany,Bronze,2739,0.063000,18.27,54.81
Germany,Bronze,"3329,3418",0.172000,49.88,74.82
Germany,Bronze,3237,0.008000,2.32,6.96
Germany,Bronze,3393,0.254000,73.66,103.12
Germany,Bronze,"3394,3309",0.314000,91.06,127.48
Germany,Bronze,3335,0.414000,120.06,150.07
Germany,Bronze,"3094,3371",0.411000,119.19,148.99
Germany,Bronze,3168,0.010000,2.90,8.70
Germany,Gold,3435,0.418000,121.22,151.53
Malaysia,Bronze,"2750,3193,3330,3393,2579,3370,3421,3168,3309,1384",0.051000,14.79,44.37
Malaysia,Bronze,3237,0.024000,6.96,20.88
Netherlands,Bronze,2295,0.075000,21.75,32.63
Netherlands,Bronze,"2442,2750,3160,3193,2579,3329,3330,3370,3328,3309,3393",0.100000,29.00,43.50
Netherlands,Bronze,"2263,3418,3371",0.042000,12.18,36.54
Netherlands,Bronze,2738,0.056000,16.24,48.72
Netherlands,Bronze,2739,0.027000,7.83,23.49
Netherlands,Bronze,"3198,3433",0.026000,7.54,22.62
Netherlands,Bronze,3237,0.012000,3.48,10.44
Netherlands,Bronze,3335,0.089000,25.81,38.71
Latvia,Bronze,"2750,3193,3330,3370",0.204000,59.16,82.82
Latvia,Bronze,"3309,3340",0.196000,56.84,79.58
Latvia,Bronze,3393,0.192000,55.68,77.95
Latvia,Bronze,3335,0.163000,47.27,70.91
Kosovo,Bronze,3168,0.063000,18.27,54.81
