Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Ukraine,Bronze,"2260,2579,2750,2920,3042,3168,3193,3271,3309,3328,3330,3340,3370,3393,3418",0.067000,19.43,31.09
Ukraine,Bronze,2263,0.046000,13.34,21.34
Ukraine,Bronze,2738,0.066000,19.14,30.62
Ukraine,Bronze,"2739,3371",0.026000,7.54,12.06
Ukraine,Bronze,3335,0.042000,12.18,19.49
Uzbekistan,Bronze,"2260,2920,3042,3160,3193,3271,3309,3330,3340,3370,3393",0.091000,26.39,39.59
Uzbekistan,Bronze,3168,0.068000,19.72,31.55
Kazakhstan,Bronze,2263,0.036000,10.44,16.70
Kazakhstan,Bronze,"2738,2750,2920,3042,3193,3271,3309,3330,3370,3393,3421",0.047000,13.63,21.81
Kazakhstan,Bronze,3168,0.035000,10.15,16.24
Kazakhstan,Bronze,"3328,3335,3371",0.045000,13.05,20.88
Kyrgyzstan,Bronze,"2260,2750,3042,3193,3271,3309,3330,3370,3371,3393",0.014000,4.06,6.50
Bulgaria,Bronze,"2260,2738,2750,2920,3042,3168,3193,3271,3309,3370,3371,3393",0.046000,13.34,21.34
Bulgaria,Bronze,2263,0.043000,12.47,19.95
Lao People`s,Bronze,"2260,2920,3042,3193,3271,3330,3370,3418",0.063000,18.27,29.23
Lao People`s,Bronze,3421,0.047000,13.63,21.81
Poland,Bronze,"2260,2442,2579,3042,3193,3271,3330,3370,3393",0.067000,19.43,31.09
Poland,Bronze,"2263,2738",0.059000,17.11,27.38
Poland,Bronze,"2284,2295",0.051000,14.79,23.66
Poland,Bronze,2739,0.028000,8.12,12.99
Poland,Bronze,3160,0.026000,7.54,12.06
Poland,Bronze,"3309,3328,3340,3418",0.039000,11.31,18.10
Poland,Bronze,3335,0.055000,15.95,25.52
Malaysia,Bronze,"1384,2750,3193,3309,3330,3340,3370,3393,3421",0.034000,9.86,15.78
Netherlands,Bronze,"1203,3329",0.063000,18.27,29.23
Netherlands,Bronze,"2260,2442,2750,2920,3042,3160,3193,3271,3309,3330,3370,3393",0.134000,38.86,58.29
Netherlands,Bronze,"2263,3328,3340,3371,3418",0.060000,17.40,27.84
Netherlands,Bronze,2295,0.100000,29.00,43.50
Netherlands,Bronze,2738,0.048000,13.92,22.27
Netherlands,Bronze,2739,0.039000,11.31,18.10
Netherlands,Bronze,3198,0.019000,5.51,8.82
Netherlands,Bronze,3335,0.094000,27.26,40.89
Netherlands,Bronze,3433,0.038000,11.02,17.63
Singapore,Bronze,"2260,2750,2920,3042,3271,3309,3370,3393",0.384000,111.36,139.20
Singapore,Bronze,3371,0.380000,110.20,137.75
Austria,Bronze,"2260,2442,2579,2632,2750,2920,3042,3160,3193,3271,3309,3330,3370,3393",0.783000,227.07,272.48
Austria,Bronze,2263,0.488000,141.52,176.90
Austria,Bronze,"2738,3328,3329",0.734000,212.86,255.43
Austria,Bronze,3335,0.738000,214.02,256.82
Austria,Bronze,3371,0.701000,203.29,243.95
Kosovo,Bronze,3168,0.063000,18.27,29.23
Gibraltar,Bronze,"2579,2750,3042,3271,3309,3370,3371,3393",1.510000,437.90,525.48
Gibraltar,Bronze,2920,1.671000,484.59,581.51
