Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,Bronze,2750,0.004000,1.16,3.48
South Africa,Bronze,"2579,3160,3330,3370,3428,3168",0.502000,145.58,181.98
South Africa,Bronze,3001,0.198000,57.42,80.39
South Africa,Bronze,2840,0.100000,29.00,43.50
South Africa,Bronze,3237,0.008000,2.32,6.96
South Africa,Bronze,3393,0.079000,22.91,34.37
South Africa,Bronze,3335,0.172000,49.88,74.82
South Africa,Bronze,"2649,3155",0.006000,1.74,5.22
South Africa,Bronze,2984,0.376000,109.04,136.30
India,Bronze,2750,0.036000,10.44,31.32
India,Bronze,"2579,3193,3160,3330,3406,3370,3428,3309,3393",0.502000,145.58,181.98
India,Bronze,3001,0.198000,57.42,80.39
India,Bronze,"3335,3371",0.059000,17.11,51.33
Pakistan,Bronze,3001,0.198000,57.42,80.39
Pakistan,Bronze,"2579,3193,3160,3370,3393",0.502000,145.58,181.98
Pakistan,Bronze,3309,0.178000,51.62,72.27
Pakistan,Bronze,3335,0.150000,43.50,65.25
Pakistan,Bronze,3371,0.208000,60.32,84.45
Bangladesh,Bronze,3001,0.198000,57.42,80.39
Bangladesh,Bronze,"2579,3160,3370,3371,3393",0.502000,145.58,181.98
Bangladesh,Bronze,3309,0.392000,113.68,142.10
Bangladesh,Bronze,3168,0.181000,52.49,73.49
Zambia,Bronze,2750,0.178000,51.62,72.27
Zambia,Bronze,3001,0.198000,57.42,80.39
Zambia,Bronze,"2579,3160,3193,3370,3309,3393",0.502000,145.58,181.98
Zambia,Bronze,"3371,3418",0.275000,79.75,111.65
Namibia,Bronze,3001,0.198000,57.42,80.39
Namibia,Bronze,"2579,3370,3371,3309,3393",0.502000,145.58,181.98
Papua new gvineya,Bronze,3001,0.198000,57.42,80.39
Algeria,Bronze,2750,0.178000,51.62,72.27
Algeria,Bronze,3001,0.198000,57.42,80.39
Algeria,Bronze,"2579,3193,3160,3330,3370,3309,3393,3168",0.502000,145.58,181.98
Algeria,Bronze,3371,0.366000,106.14,132.68
Ethiopia,Bronze,2750,0.178000,51.62,72.27
Ethiopia,Bronze,3001,0.198000,57.42,80.39
Ethiopia,Bronze,"2579,3193,3370,3309,3393",0.502000,145.58,181.98
Ethiopia,Bronze,3168,0.376000,109.04,136.30
Ethiopia,Bronze,3371,0.275000,79.75,111.65
Mozambique,Bronze,3001,0.198000,57.42,80.39
Mozambique,Bronze,"3370,3371,3309,3393",0.215000,62.35,87.29
Angola,Bronze,"2750,2579,3193,3160,3370,3309,3393",0.502000,145.58,181.98
Angola,Bronze,3001,0.198000,57.42,80.39
Angola,Bronze,3371,0.366000,106.14,132.68
Ukraine,Bronze,"2750,2579,3193,3330,3370",0.502000,145.58,181.98
Ukraine,Bronze,3001,0.198000,57.42,80.39
Ukraine,Bronze,2263,0.264000,76.56,107.18
Ukraine,Bronze,2738,0.484000,140.36,175.45
Ukraine,Bronze,"3309,2739,3328,3340,3393,3418,3371",0.023000,6.67,20.01
Ukraine,Bronze,3168,0.376000,109.04,136.30
Ukraine,Bronze,3335,0.030000,8.70,26.10
Egypt,Bronze,2750,0.178000,51.62,72.27
Egypt,Bronze,3001,0.198000,57.42,80.39
Egypt,Bronze,"2579,3193,3330,3160,3370",0.502000,145.58,181.98
Egypt,Bronze,"3309,3340,3393",0.214000,62.06,86.88
Egypt,Bronze,3335,0.126000,36.54,54.81
Egypt,Bronze,3168,0.376000,109.04,136.30
Brazil,Bronze,"2750,3160,2579,3193,3406,3370,3309",0.502000,145.58,181.98
Brazil,Bronze,"3089,3393",0.027000,7.83,23.49
Brazil,Bronze,3001,0.198000,57.42,80.39
Brazil,Bronze,2263,0.171000,49.59,74.39
Brazil,Bronze,3018,0.023000,6.67,20.01
Brazil,Bronze,2739,0.036000,10.44,31.32
Brazil,Bronze,2738,0.422000,122.38,152.97
Brazil,Bronze,2840,0.138000,40.02,60.03
Brazil,Bronze,3237,0.008000,2.32,6.96
Brazil,Bronze,"2951,3246,2404,3229,3356,3412,3413",0.376000,109.04,136.30
Brazil,Bronze,"3365,2906",0.200000,58.00,81.20
Brazil,Bronze,3367,0.162000,46.98,70.47
Brazil,Bronze,3252,0.075000,21.75,32.63
Brazil,Bronze,3415,0.172000,49.88,74.82
Brazil,Bronze,3335,0.059000,17.11,51.33
Brazil,Bronze,3264,0.050000,14.50,43.50
Brazil,Bronze,3104,0.004000,1.16,3.48
Brazil,Bronze,3416,0.089000,25.81,38.71
Brazil,Bronze,3398,0.040000,11.60,34.80
Haiti,Bronze,"2750,2579,3193,3330",0.270000,78.30,109.62
Haiti,Bronze,3001,0.198000,57.42,80.39
Iran,Bronze,3001,0.198000,57.42,80.39
Iran,Bronze,"3193,3330,3370,3371,3393,3309",0.270000,78.30,109.62
Peru ,Bronze,2457,0.084000,24.36,36.54
Peru ,Bronze,"2750,2579,3193,3160,3370,3371,3393,3309",0.502000,145.58,181.98
Peru ,Bronze,3001,0.198000,57.42,80.39
Peru ,Bronze,3335,0.290000,84.10,117.74
Peru ,Bronze,3168,0.376000,109.04,136.30
Zimbabwe,Bronze,3001,0.198000,57.42,80.39
Zimbabwe,Bronze,"2579,3160,3370",0.502000,145.58,181.98
Nepal,Bronze,3001,0.198000,57.42,80.39
Nepal,Bronze,"3193,3370,3371,3393,3309",0.215000,62.35,87.29
Uzbekistan,Bronze,"2579,3160,3193,3330,3370,3309,3393",0.502000,145.58,181.98
Uzbekistan,Bronze,3001,0.198000,57.42,80.39
Uzbekistan,Bronze,3168,0.376000,109.04,136.30
Uzbekistan,Bronze,3335,0.083000,24.07,36.11
Nigeria,Bronze,"2750,2579,3193,3160,3330,3370,3309,3393",0.307000,89.03,124.64
Nigeria,Bronze,3001,0.198000,57.42,80.39
Nigeria,Bronze,3237,0.256000,74.24,103.94
Nigeria,Bronze,3168,0.231000,66.99,93.79
Nigeria,Bronze,3335,0.290000,84.10,117.74
Swaziland,Bronze,3001,0.198000,57.42,80.39
Swaziland,Bronze,"3370,3309,3393",0.502000,145.58,181.98
Congo (Dem. Republic),Bronze,"2750,3160,3330,3370",0.502000,145.58,181.98
Congo (Dem. Republic),Bronze,3001,0.198000,57.42,80.39
France,Bronze,"2750,2579,3193,2442,3160,3370,3309,3393",0.294000,85.26,119.36
France,Bronze,3001,0.198000,57.42,80.39
France,Bronze,2263,0.207000,60.03,84.04
France,Bronze,"2739,3414",0.131000,37.99,56.98
France,Bronze,2738,0.275000,79.75,111.65
France,Bronze,3237,0.011000,3.19,9.57
France,Bronze,"2840,3329,3418,3371",0.111000,32.19,48.28
France,Bronze,3403,0.130000,37.70,56.55
France,Bronze,3335,0.276000,80.04,112.06
France,Bronze,"3168,3270",0.220000,63.80,89.32
France,Bronze,3394,0.222000,64.38,90.13
Botswana,Bronze,3001,0.198000,57.42,80.39
Botswana,Bronze,"2579,3160,3370,3309,3393",0.502000,145.58,181.98
Botswana,Bronze,"3371,3328",0.366000,106.14,132.68
Mexico,Bronze,"2750,2579,3193,3330,3370",0.502000,145.58,181.98
Mexico,Bronze,3001,0.198000,57.42,80.39
Mexico,Bronze,2840,0.499000,144.71,180.89
Mexico,Bronze,3237,0.204000,59.16,82.82
Mexico,Bronze,"3094,3414",0.263000,76.27,106.78
Mexico,Bronze,3160,0.376000,109.04,136.30
Tanzania,Bronze,"2750,2579,3193,3160,3330,3370,3428,3309,3393",0.502000,145.58,181.98
Tanzania,Bronze,3001,0.198000,57.42,80.39
Tanzania,Bronze,3168,0.376000,109.04,136.30
Tanzania,Bronze,3371,0.366000,106.14,132.68
Sri Lanka,Bronze,3001,0.198000,57.42,80.39
Sri Lanka,Bronze,"2579,3193,3370",0.502000,145.58,181.98
Sri Lanka,Bronze,3168,0.376000,109.04,136.30
Honduras,Bronze,"2750,2579,3193,3160,3370,3371,3393,3309",0.502000,145.58,181.98
Honduras,Bronze,3001,0.198000,57.42,80.39
Argentinas,Bronze,"2750,2579,3160,3193",0.502000,145.58,181.98
Argentinas,Bronze,3001,0.198000,57.42,80.39
Argentinas,Bronze,2738,0.175000,50.75,71.05
Argentinas,Bronze,"2263,3393",0.131000,37.99,56.98
Argentinas,Bronze,"2739,3056,2556",0.089000,25.81,38.71
Argentinas,Bronze,3335,0.295000,85.55,119.77
Myanmar,Bronze,3001,0.198000,57.42,80.39
Myanmar,Bronze,"2579,3160,3193,3330,3370,3428,3371,3393,3309",0.502000,145.58,181.98
Myanmar,Bronze,2840,0.500000,145.00,181.25
Tunisia,Bronze,"2750,2579,3160,3370,3309,3393",0.502000,145.58,181.98
Tunisia,Bronze,3001,0.198000,57.42,80.39
Tunisia,Bronze,3168,0.140000,40.60,60.90
Tunisia,Bronze,3371,0.366000,106.14,132.68
Timor-Leste,Bronze,3001,0.198000,57.42,80.39
Timor-Leste,Bronze,"3160,3370",0.502000,145.58,181.98
Lesotho,Bronze,3001,0.198000,57.42,80.39
Lesotho,Bronze,"2579,3370,3309,3393",0.502000,145.58,181.98
Lesotho,Bronze,3371,0.275000,79.75,111.65
Ecuador,Bronze,"2750,2579,3193,3160,3370,3371,3393,3309",0.502000,145.58,181.98
Ecuador,Bronze,3001,0.198000,57.42,80.39
El Salvador,Bronze,"2750,2579,3370",0.502000,145.58,181.98
El Salvador,Bronze,3001,0.198000,57.42,80.39
El Salvador,Bronze,3335,0.290000,84.10,117.74
Morocco,Bronze,"2750,2579,3193,3160,3330,3370,3428",0.502000,145.58,181.98
Morocco,Bronze,3001,0.198000,57.42,80.39
Morocco,Bronze,2738,0.098000,28.42,42.63
Morocco,Bronze,"2263,3309,3340,3393",0.074000,21.46,32.19
Morocco,Bronze,2840,0.115000,33.35,50.03
Morocco,Bronze,3335,0.148000,42.92,64.38
Morocco,Bronze,3168,0.131000,37.99,56.98
Uganda,Bronze,"2750,2579,3193,3370,3309,3393",0.502000,145.58,181.98
Uganda,Bronze,3001,0.198000,57.42,80.39
Uganda,Bronze,3371,0.366000,106.14,132.68
Malawi,Bronze,"2750,2579,3193,3370,3371,3309,3393",0.502000,145.58,181.98
Malawi,Bronze,3001,0.198000,57.42,80.39
Ghana,Bronze,"2750,2579,3193,3160,3330,3370,3309,3393",0.502000,145.58,181.98
Ghana,Bronze,3001,0.198000,57.42,80.39
Ghana,Bronze,3168,0.376000,109.04,136.30
Ghana,Bronze,3335,0.290000,84.10,117.74
Kenya,Bronze,2750,0.039000,11.31,33.93
Kenya,Bronze,3001,0.198000,57.42,80.39
Kenya,Bronze,"2579,3193,3160,3330,3370,3309,3393",0.502000,145.58,181.98
Kenya,Bronze,2738,0.075000,21.75,32.63
Kenya,Bronze,2263,0.056000,16.24,48.72
Kenya,Bronze,3237,0.011000,3.19,9.57
Kenya,Bronze,3340,0.031000,8.99,26.97
Kenya,Bronze,3335,0.038000,11.02,33.06
Panama,Bronze,"2750,2579,3193,3370,3371,3393,3309",0.502000,145.58,181.98
Panama,Bronze,3001,0.198000,57.42,80.39
Jamaica,Bronze,3001,0.198000,57.42,80.39
Jamaica,Bronze,"2579,3370,3371,3393,3309",0.502000,145.58,181.98
Venezuela,Bronze,"2750,3193,3160,3370,3371,3393,3309",0.230000,66.70,93.38
Venezuela,Bronze,3001,0.198000,57.42,80.39
Kazakhstan,Bronze,"2750,2579,3193,3330,3309",0.502000,145.58,181.98
Kazakhstan,Bronze,3001,0.198000,57.42,80.39
Kazakhstan,Bronze,2738,0.286000,82.94,116.12
Kazakhstan,Bronze,3168,0.376000,109.04,136.30
Kazakhstan,Bronze,2263,0.215000,62.35,87.29
Colombia,Bronze,"2286,2750,3160,3193,3330,3406,3370,2579",0.235000,68.15,95.41
Colombia,Bronze,3001,0.198000,57.42,80.39
Colombia,Bronze,2840,0.220000,63.80,89.32
Colombia,Bronze,3237,0.008000,2.32,6.96
Colombia,Bronze,3340,0.147000,42.63,63.94
Colombia,Bronze,3335,0.222000,64.38,90.13
Colombia,Bronze,2236,0.104000,30.16,45.24
Paraguay,Bronze,"2750,2579,3193,3160,3370,3371,3393,3309,3418,3328",0.502000,145.58,181.98
Paraguay,Bronze,3001,0.198000,57.42,80.39
Turkey,Bronze,"2750,3193,3406,3370,3160,3393,3371,3309,3329",0.226000,65.54,91.76
Turkey,Bronze,3001,0.198000,57.42,80.39
Kyrgyzstan,Bronze,"2750,2579,3193,3330,3370,3428,3393,3309",0.502000,145.58,181.98
