Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Brazil,Bronze,"2750,3160,2263,3193,3365,3406,3370,3415,2579,3309,3398",0.120000,34.80,52.20
Brazil,Bronze,"3089,3393,3371",0.063000,18.27,54.81
Brazil,Bronze,2739,0.090000,26.10,39.15
Brazil,Bronze,"2738,3215,3264,3356",0.091000,26.39,39.59
Brazil,Bronze,3237,0.008000,2.32,6.96
Brazil,Bronze,"2951,3104,2404,3229,3412,3413",0.004000,1.16,3.48
Brazil,Bronze,3367,0.047000,13.63,40.89
Brazil,Bronze,3252,0.055000,15.95,47.85
Brazil,Bronze,3335,0.119000,34.51,51.77
Brazil,Bronze,3246,0.068000,19.72,59.16
Brazil,Bronze,2906,0.075000,21.75,32.63
Brazil,Bronze,3416,0.051000,14.79,44.37
France,Bronze,"2750,2579,3193,2442,3160,3370,3394,3309,3393",0.314000,91.06,127.48
France,Bronze,2263,0.144000,41.76,62.64
France,Bronze,2739,0.093000,26.97,40.45
France,Bronze,2738,0.194000,56.26,78.76
France,Bronze,3237,0.008000,2.32,6.96
France,Bronze,3389,0.079000,22.91,34.37
France,Bronze,"3329,3403,3414,3418,3371",0.139000,40.31,60.47
France,Bronze,3335,0.295000,85.55,119.77
France,Bronze,"3168,3270",0.235000,68.15,95.41
Turkey,Bronze,"2750,2579,3193,3406,3370,3428,3160,3393,3309",2.948000,854.92,1025.90
Turkey,Bronze,"3371,3329",2.389000,692.81,831.37
Spain,Bronze,2263,0.236000,68.44,95.82
Spain,Bronze,"2750,3193,3160,3330,3370,2579,3309",0.392000,113.68,142.10
Spain,Bronze,2738,0.334000,96.86,135.60
Spain,Bronze,2739,0.104000,30.16,45.24
Spain,Bronze,3237,0.011000,3.19,9.57
Spain,Bronze,"3329,3393,3371,3328",0.160000,46.40,69.60
Spain,Bronze,3335,0.369000,107.01,133.76
Thailand,Bronze,"2750,3193,3160,3340,3330,3393,3370,2579,3309",0.158000,45.82,68.73
United Kingdom,Bronze,"2442,3309,3329,3393,3328,3371",0.100000,29.00,43.50
United Kingdom,Bronze,"2750,2579,3160,2291,3193,3368,3330,2260,3406,3370,3168,2914",0.200000,58.00,81.20
United Kingdom,Bronze,2263,0.120000,34.80,52.20
United Kingdom,Bronze,2739,0.076000,22.04,33.06
United Kingdom,Bronze,2738,0.162000,46.98,70.47
United Kingdom,Bronze,2295,0.104000,30.16,45.24
United Kingdom,Bronze,3237,0.008000,2.32,6.96
United Kingdom,Bronze,3212,0.014000,4.06,12.18
United Kingdom,Bronze,3335,0.199000,57.71,80.79
United Kingdom,Bronze,2920,0.181000,52.49,73.49
United Kingdom,Gold,3435,0.200000,58.00,81.20
United Kingdom,Bronze,"1015,1017",0.151000,43.79,65.69
United Kingdom,Bronze,3397,0.147000,42.63,63.94
Germany,Bronze,2263,0.294000,85.26,119.36
Germany,Bronze,2738,0.344000,99.76,139.66
Germany,Bronze,"2750,2579,2442,3193,3160,3330,3370,3428,2966",0.752000,218.08,261.70
Germany,Bronze,2739,0.135000,39.15,58.73
Germany,Bronze,"3314,3329,3393,3418,3371,3309",0.120000,34.80,52.20
Germany,Bronze,3237,0.015000,4.35,13.05
Germany,Bronze,3087,0.267000,77.43,108.40
Germany,Bronze,"3394,3168",0.564000,163.56,204.45
Germany,Bronze,3335,0.295000,85.55,119.77
Germany,Gold,3435,0.752000,218.08,261.70
Poland,Bronze,"2295,2284,1015",0.251000,72.79,101.91
Poland,Bronze,"2579,3193,2442,3330,3370,3393",0.335000,97.15,136.01
Poland,Bronze,"2263,3309,3328,3418",0.167000,48.43,72.64
Poland,Bronze,2739,0.106000,30.74,46.11
Poland,Bronze,2738,0.247000,71.63,100.28
Poland,Bronze,3160,0.054000,15.66,46.98
Poland,Bronze,3335,0.332000,96.28,134.79
Malaysia,Bronze,"2750,3193,3330,3370,3168,3309,1384",0.134000,38.86,58.29
Malaysia,Bronze,"3393,3421",0.132000,38.28,57.42
Malaysia,Bronze,3335,0.126000,36.54,54.81
Netherlands,Bronze,2295,0.339000,98.31,137.63
Netherlands,Bronze,2263,0.185000,53.65,75.11
Netherlands,Bronze,2738,0.094000,27.26,40.89
Netherlands,Bronze,"2442,2750,2579,3160,3193,3330,3370,3309,3393",0.451000,130.79,163.49
Netherlands,Bronze,2739,0.058000,16.82,50.46
Netherlands,Bronze,3198,0.047000,13.63,40.89
Netherlands,Bronze,"3329,3328,3418,3371",0.147000,42.63,63.94
Netherlands,Bronze,3087,0.267000,77.43,108.40
Netherlands,Bronze,3335,0.295000,85.55,119.77
Netherlands,Bronze,3433,0.055000,15.95,47.85
Portugal,Bronze,"2750,2579,2442,3193,3160,3370,3433",0.468000,135.72,169.65
Portugal,Bronze,2738,0.191000,55.39,77.55
Portugal,Bronze,2263,0.143000,41.47,62.20
Portugal,Bronze,"2739,3309,3329,3393,3340",0.123000,35.67,53.51
Portugal,Bronze,3237,0.008000,2.32,6.96
Portugal,Bronze,3087,0.134000,38.86,58.29
Portugal,Bronze,3335,0.295000,85.55,119.77
Portugal,Bronze,"3132,3407",0.351000,101.79,127.24
Indonesia,Bronze,"2295,3168,3327,3384,2994,3417,2982,3308,3027,2413,3426",0.004000,1.16,3.48
Indonesia,Bronze,"2750,3193,3330,3406,3370,2579,3427,2442,2434,3309,1085,3353,3127,3377",0.158000,45.82,68.73
Indonesia,Bronze,"3160,1170",0.119000,34.51,51.77
Indonesia,Bronze,2263,0.083000,24.07,36.11
Indonesia,Bronze,"2739,3333",0.070000,20.30,30.45
Indonesia,Bronze,2738,0.111000,32.19,48.28
Indonesia,Bronze,"3340,3393",0.067000,19.43,58.29
Indonesia,Bronze,"3237,3029",0.008000,2.32,6.96
