Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
United States,Bronze,2617,0.187000,54.23,75.92
United States,Bronze,"3170,3196",0.134000,38.86,58.29
United States,Bronze,3193,0.208000,60.32,84.45
United States,Bronze,2495,0.800000,232.00,278.40
Canada,Bronze,"2262,3330,3309",0.063000,18.27,54.81
Canada,Bronze,"2441,2767,2748,2677,2675,2681,2620,2568,3228",0.019000,5.51,16.53
Canada,Bronze,3198,0.032000,9.28,27.84
Canada,Bronze,3140,0.060000,17.40,52.20
Kosovo,Bronze,3168,0.063000,18.27,54.81
United States (virtual),Bronze,"2262,2442,3212",0.063000,18.27,54.81
United States (virtual),Bronze,"2441,2767,2748,2677,2675,2681,2620,2568,3140",0.011000,3.19,9.57
United States (virtual),Bronze,3209,0.047000,13.63,40.89
United States (virtual),Bronze,3154,0.012000,3.48,10.44
United States (virtual),Bronze,3228,0.048000,13.92,41.76
