Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Brazil,Bronze,3089,0.127000,36.83,55.24
Brazil,Bronze,2263,0.132000,38.28,57.42
Brazil,Bronze,3018,0.115000,33.35,50.03
Brazil,Bronze,2739,0.067000,19.43,58.29
Brazil,Bronze,2738,0.146000,42.34,63.51
Brazil,Bronze,3215,0.079000,22.91,34.37
Brazil,Bronze,"3193,3365,3415,3398",0.181000,52.49,73.49
Brazil,Bronze,"2951,3246,2906,2404,3229,3356,3412,3413",0.135000,39.15,58.73
Brazil,Bronze,3252,0.014000,4.06,12.18
Brazil,Bronze,3264,0.136000,39.44,59.16
Brazil,Bronze,3104,0.004000,1.16,3.48
Brazil,Bronze,3416,0.112000,32.48,48.72
Kosovo,Bronze,3168,0.063000,18.27,54.81
