Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Indonesia,Bronze,"2295,3160,3168,54,3327,3384,3251,3075,3206,2982,3339,2992,3308,3027,3424",0.066000,19.14,57.42
Indonesia,Bronze,"2750,2263,2738,3193,2579,3330,3406,3370,3427,2442,2434,3309,1085,3353,3127,3426",0.087000,25.23,37.84
Indonesia,Bronze,2739,0.047000,13.63,40.89
Indonesia,Bronze,3029,0.067000,19.43,58.29
Indonesia,Bronze,3355,0.007000,2.03,6.09
Indonesia,Bronze,3333,0.038000,11.02,33.06
Indonesia,Bronze,1170,0.058000,16.82,50.46
Indonesia,Bronze,3224,0.060000,17.40,52.20
Indonesia,Bronze,"2994,3267,2413",0.004000,1.16,3.48
Indonesia,Gold,"3417,3334,3061",0.004000,1.16,3.48
Indonesia,Gold,1329,0.039000,11.31,33.93
Indonesia,Bronze,3347,0.059000,17.11,51.33
Kosovo,Bronze,3168,0.063000,18.27,54.81
Gibraltar,Bronze,2750,1.705000,494.45,593.34
