Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Viet nam,Bronze,3193,0.046000,13.34,40.02
Myanmar,Bronze,"3193,3330",0.099000,28.71,43.06
Thailand,Bronze,"3193,2579,3330,3309",0.079000,22.91,34.37
United Kingdom,Bronze,2442,0.091000,26.39,39.59
United Kingdom,Bronze,2263,0.098000,28.42,42.63
United Kingdom,Bronze,2738,0.130000,37.70,56.55
United Kingdom,Bronze,2739,0.062000,17.98,53.94
United Kingdom,Bronze,"2291,3193,3368,3330,2914",0.185000,53.65,75.11
United Kingdom,Bronze,"2295,1015,1017",0.139000,40.31,60.47
United Kingdom,Bronze,3212,0.067000,19.43,58.29
United Kingdom,Gold,3435,0.185000,53.65,75.11
United Kingdom,Bronze,3397,0.151000,43.79,65.69
Malaysia,Bronze,"3193,2579,3330,3370,3168,3309,1384",0.134000,38.86,58.29
Indonesia,Bronze,"2295,54,3333,3251,3339,2992,3308",0.019000,5.51,16.53
Indonesia,Bronze,"2263,3347",0.012000,3.48,10.44
Indonesia,Bronze,2739,0.014000,4.06,12.18
Indonesia,Bronze,"2738,3168,1170,3075",0.016000,4.64,13.92
Indonesia,Bronze,"3193,3330,3370,3029,3427,2442,2434,3309,1085,3353,3127,3206",0.024000,6.96,20.88
Indonesia,Bronze,3355,0.007000,2.03,6.09
Indonesia,Bronze,"3327,3384,2982",0.023000,6.67,20.01
Indonesia,Bronze,3224,0.020000,5.80,17.40
Indonesia,Bronze,"2994,3417,3334,3267,3061",0.004000,1.16,3.48
Indonesia,Bronze,"1329,3027",0.011000,3.19,9.57
Indonesia,Bronze,2413,0.018000,5.22,15.66
Kosovo,Bronze,3168,0.063000,18.27,54.81
