Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Pakistan,Bronze,2268,0.080000,23.20,34.80
Pakistan,Bronze,"2579,3193,3160",0.400000,116.00,145.00
Bangladesh,Bronze,2268,0.080000,23.20,34.80
Bangladesh,Bronze,"2579,3160,3168",0.400000,116.00,145.00
Ukraine,Bronze,2263,0.152000,44.08,66.12
Ukraine,Bronze,"2750,2579,3193,3330",0.251000,72.79,101.91
Ukraine,Bronze,3001,0.070000,20.30,30.45
Ukraine,Bronze,2738,0.239000,69.31,97.03
Ukraine,Bronze,2739,0.008000,2.32,6.96
Ukraine,Bronze,3168,0.188000,54.52,76.33
Viet nam,Bronze,"2750,2579,3193",0.468000,135.72,169.65
Viet nam,Bronze,2318,0.347000,100.63,125.79
Viet nam,Bronze,"2217,3001",0.070000,20.30,30.45
Viet nam,Bronze,2266,0.080000,23.20,34.80
Viet nam,Bronze,3160,0.084000,24.36,36.54
Viet nam,Bronze,2840,0.466000,135.14,168.93
Mexico,Bronze,"2750,2579,3193,3330",0.400000,116.00,145.00
Mexico,Bronze,2268,0.080000,23.20,34.80
Mexico,Bronze,2840,0.399000,115.71,144.64
Mexico,Bronze,3160,0.300000,87.00,121.80
Myanmar,Bronze,2266,0.080000,23.20,34.80
Myanmar,Bronze,"3160,3193,3330",0.118000,34.22,51.33
Timor-Leste,Bronze,2266,0.080000,23.20,34.80
Timor-Leste,Bronze,3160,0.502000,145.58,181.98
Kazakhstan,Bronze,"2750,2579,3193,3330,3309",0.502000,145.58,181.98
Kazakhstan,Bronze,2266,0.080000,23.20,34.80
Kazakhstan,Bronze,3001,0.070000,20.30,30.45
Kazakhstan,Bronze,2738,0.027000,7.83,23.49
Kazakhstan,Bronze,3168,0.011000,3.19,9.57
Kazakhstan,Bronze,2263,0.020000,5.80,17.40
Turkey,Bronze,"2750,3193,2579,3406,3160,3309",0.400000,116.00,145.00
Turkey,Bronze,2268,0.080000,23.20,34.80
Kyrgyzstan,Bronze,"2750,2579,3193,3330",0.502000,145.58,181.98
Kyrgyzstan,Bronze,3001,0.070000,20.30,30.45
Belarus,Bronze,"2750,2579,3330",0.167000,48.43,72.64
United States,Bronze,2617,0.098000,28.42,42.63
United States,Bronze,3001,0.070000,20.30,30.45
United States,Bronze,3196,0.122000,35.38,53.07
United States,Bronze,3193,0.400000,116.00,145.00
United States,Bronze,3170,0.267000,77.43,108.40
United States,Bronze,2495,0.314000,91.06,127.48
United States,Bronze,2263,0.104000,30.16,45.24
United States,Bronze,2738,0.139000,40.31,60.47
Saudi Arabia,Bronze,2268,0.080000,23.20,34.80
Saudi Arabia,Bronze,"3193,3160,2579,3330",0.400000,116.00,145.00
Saudi Arabia,Bronze,2377,0.276000,80.04,112.06
Thailand,Bronze,"2750,2579,3193,3160,2840,3330,3370,3309",0.134000,38.86,58.29
Thailand,Bronze,2217,0.079000,22.91,34.37
Thailand,Bronze,2266,0.080000,23.20,34.80
Thailand,Bronze,3001,0.070000,20.30,30.45
United Kingdom,Bronze,"2442,2739",0.032000,9.28,27.84
United Kingdom,Bronze,"2750,2579,3160,2291,3193,3368,3406,3330,2914",0.084000,24.36,36.54
United Kingdom,Bronze,2266,0.080000,23.20,34.80
United Kingdom,Bronze,3001,0.070000,20.30,30.45
United Kingdom,Bronze,2263,0.051000,14.79,44.37
United Kingdom,Bronze,2738,0.067000,19.43,58.29
United Kingdom,Bronze,2295,0.020000,5.80,17.40
United Kingdom,Bronze,3212,0.014000,4.06,12.18
United Kingdom,Gold,3435,0.084000,24.36,36.54
United Kingdom,Bronze,"1015,1017",0.063000,18.27,54.81
United Kingdom,Bronze,3397,0.076000,22.04,33.06
Germany,Bronze,"2750,2579,2442,3193,3160,2966,3330,3309",0.400000,116.00,145.00
Germany,Bronze,2268,0.080000,23.20,34.80
Germany,Bronze,2738,0.168000,48.72,73.08
Germany,Bronze,2263,0.271000,78.59,110.03
Germany,Bronze,2739,0.106000,30.74,46.11
Germany,Bronze,3394,0.300000,87.00,121.80
Germany,Bronze,3168,0.361000,104.69,130.86
Germany,Gold,3435,0.400000,116.00,145.00
Lao People`s,Bronze,"2579,3193,3330",0.185000,53.65,75.11
Lao People`s,Bronze,2217,0.158000,45.82,68.73
Lao People`s,Bronze,2266,0.080000,23.20,34.80
Lao People`s,Bronze,3001,0.070000,20.30,30.45
Lao People`s,Bronze,2840,0.178000,51.62,72.27
Burundi,Bronze,"2750,3193",0.167000,48.43,72.64
Malaysia,Bronze,"2750,3193,3330,3370,3168,3309,1384",0.151000,43.79,65.69
Malaysia,Bronze,2217,0.128000,37.12,55.68
Malaysia,Bronze,2266,0.080000,23.20,34.80
Malaysia,Bronze,3001,0.070000,20.30,30.45
Malaysia,Bronze,2840,0.150000,43.50,65.25
Cambodia,Bronze,"2750,2579,3193,3160,3330",0.335000,97.15,136.01
Cambodia,Bronze,3168,0.040000,11.60,34.80
Philippines,Bronze,"2263,2750,2217,2738,2739,3160,3193,2840,3330,3370,2579,3309",0.079000,22.91,34.37
Philippines,Bronze,3001,0.070000,20.30,30.45
Philippines,Bronze,3168,0.071000,20.59,30.88
Estonia,Bronze,"2750,2579,2291,3193,3330,3168",0.502000,145.58,181.98
Estonia,Bronze,2266,0.080000,23.20,34.80
Estonia,Bronze,3001,0.070000,20.30,30.45
Estonia,Bronze,2738,0.323000,93.67,131.14
Indonesia,Bronze,"2295,3168,3029,3384,2994,3417,3334,2982,3267,3339,3061,3347,2413",0.004000,1.16,3.48
Indonesia,Bronze,"2750,2579,3193,3330,3406,3370,3427,2442,2434,3309,1085,3353,3127",0.079000,22.91,34.37
Indonesia,Bronze,"2217,3001",0.070000,20.30,30.45
Indonesia,Bronze,3160,0.063000,18.27,54.81
Indonesia,Bronze,"2263,2739",0.036000,10.44,31.32
Indonesia,Bronze,2738,0.050000,14.50,43.50
Indonesia,Bronze,2840,0.067000,19.43,58.29
Indonesia,Bronze,3355,0.007000,2.03,6.09
Indonesia,Bronze,"54,3327,3333,3251,1170,3224,3075,2992,3308",0.059000,17.11,51.33
Indonesia,Bronze,3206,0.076000,22.04,33.06
Indonesia,Bronze,"1329,3027",0.039000,11.31,33.93
Georgia,Bronze,"2750,3193,2579",0.091000,26.39,39.59
Georgia,Bronze,"2263,2738",0.051000,14.79,44.37
Georgia,Bronze,3168,0.078000,22.62,33.93
Latvia,Bronze,"2750,3193,2579,3330",0.110000,31.90,47.85
Latvia,Bronze,2266,0.080000,23.20,34.80
Hong Kong,Bronze,"2750,2579,3193,3330,3370",0.181000,52.49,73.49
Hong Kong,Bronze,2217,0.128000,37.12,55.68
Hong Kong,Bronze,2266,0.080000,23.20,34.80
Hong Kong,Bronze,3001,0.070000,20.30,30.45
Hong Kong,Bronze,2840,0.177000,51.33,71.86
Hong Kong,Bronze,1384,0.175000,50.75,71.05
Lithuania,Bronze,"2750,2579,3193,3330",0.110000,31.90,47.85
Lithuania,Bronze,2266,0.080000,23.20,34.80
Japan,Bronze,"2750,3160",8.842000,2564.18,3077.02
Japan,Gold,3436,6.631000,1922.99,2307.59
Singapore,Bronze,"2750,3193,2579,3309,3330",1.174000,340.46,408.55
Singapore,Bronze,3001,0.070000,20.30,30.45
Singapore,Bronze,2840,1.168000,338.72,406.46
Singapore,Bronze,1384,1.109000,321.61,385.93
Denmark,Bronze,"2750,2579,2263,2738,3193",0.400000,116.00,145.00
Denmark,Bronze,2268,0.080000,23.20,34.80
Austria,Bronze,2263,0.506000,146.74,183.43
Austria,Bronze,"2750,2442,2579,3193,2632,3160,3330,3309",0.783000,227.07,272.48
Austria,Bronze,2266,0.080000,23.20,34.80
Austria,Bronze,3001,0.070000,20.30,30.45
Austria,Bronze,2738,0.725000,210.25,252.30
Kosovo,Bronze,3168,0.063000,18.27,54.81
Gibraltar,Bronze,"2750,2579",1.510000,437.90,525.48
Gibraltar,Bronze,2266,0.080000,23.20,34.80
