Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Brazil,Bronze,2263,0.068000,19.72,59.16
Brazil,Gold,3018,0.022000,6.38,19.14
Brazil,Bronze,2739,0.026000,7.54,22.62
Brazil,Bronze,2738,0.074000,21.46,32.19
Brazil,Bronze,"3215,2906,3413",0.070000,20.30,30.45
Brazil,Bronze,"3193,2951,3393,3370,3264,3309",0.091000,26.39,39.59
Brazil,Bronze,"3365,3415",0.035000,10.15,30.45
Brazil,Bronze,3367,0.040000,11.60,34.80
Brazil,Bronze,3252,0.020000,5.80,17.40
Brazil,Bronze,3246,0.018000,5.22,15.66
Brazil,Silver,3104,0.004000,1.16,3.48
Brazil,Bronze,"2404,3229",0.019000,5.51,16.53
Brazil,Bronze,3416,0.046000,13.34,40.02
Brazil,Bronze,"3356,3412",0.024000,6.96,20.88
Brazil,Bronze,3398,0.036000,10.44,31.32
Kosovo,Bronze,3168,0.063000,18.27,54.81
