Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
United Kingdom,Bronze,"2263,3309,3329,3393,3328,3371",0.155000,44.95,67.43
United Kingdom,Bronze,2739,0.099000,28.71,43.06
United Kingdom,Bronze,2738,0.207000,60.03,84.04
United Kingdom,Bronze,"3160,3193,3368,3330,3406,3370,2579,2914",0.335000,97.15,136.01
United Kingdom,Bronze,2295,0.163000,47.27,70.91
United Kingdom,Bronze,3212,0.098000,28.42,42.63
United Kingdom,Bronze,3335,0.332000,96.28,134.79
United Kingdom,Bronze,3094,0.320000,92.80,129.92
United Kingdom,Gold,3435,0.335000,97.15,136.01
United Kingdom,Bronze,"1015,1017",0.251000,72.79,101.91
United Kingdom,Bronze,3397,0.263000,76.27,106.78
Kosovo,Bronze,3168,0.063000,18.27,54.81
