Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,Bronze,2750,0.004000,1.16,3.48
South Africa,Bronze,"2579,3160,3330,3370,3168,3155",0.198000,57.42,80.39
South Africa,Bronze,2840,0.096000,27.84,41.76
South Africa,Bronze,3237,0.008000,2.32,6.96
South Africa,Bronze,3393,0.031000,8.99,26.97
South Africa,Bronze,3335,0.038000,11.02,33.06
South Africa,Bronze,2649,0.006000,1.74,5.22
South Africa,Bronze,2984,0.027000,7.83,23.49
India,Bronze,"2750,3193,3160,3406,3371,3309,3393",0.027000,7.83,23.49
Pakistan,Bronze,"3193,3160,2579,3370,3371,3393",0.182000,52.78,73.89
Bangladesh,Bronze,"3160,3370,3168,3371,3393",0.152000,44.08,66.12
Zambia,Bronze,"2750,3160,3193,3370,3371,3309,3393,3418",0.152000,44.08,66.12
Namibia,Bronze,"3370,3371,3309,3393",0.152000,44.08,66.12
Algeria,Bronze,"2750,3193,3160,3330,3370,3371,3309,3393,3168",0.152000,44.08,66.12
Ethiopia,Bronze,"2750,2579,3193,3370,3371,3309,3393",0.152000,44.08,66.12
Ethiopia,Bronze,3168,0.115000,33.35,50.03
Mozambique,Bronze,"2579,3370,3371,3309,3393",0.152000,44.08,66.12
Angola,Bronze,"2750,2579,3193,3160,3370,3371,3309,3393",0.152000,44.08,66.12
Ukraine,Bronze,2263,0.040000,11.60,34.80
Ukraine,Bronze,"2750,2579,3193,3330,3370",0.059000,17.11,51.33
Ukraine,Bronze,2738,0.056000,16.24,48.72
Ukraine,Bronze,"3309,2739,3340,3393,3328,3371,3418",0.020000,5.80,17.40
Ukraine,Bronze,3237,0.015000,4.35,13.05
Ukraine,Bronze,"3168,3335",0.045000,13.05,39.15
Egypt,Bronze,"2750,3193,3330,3160,3340,3393,2579,3370",0.152000,44.08,66.12
Egypt,Bronze,3168,0.115000,33.35,50.03
Brazil,Bronze,"2750,2739,2738,3252",0.031000,8.99,26.97
Brazil,Bronze,"3089,3393,3371",0.019000,5.51,16.53
Brazil,Bronze,"3160,2263,3215,3193,2579,3406,3370,3335,3264,3309,3416,3413",0.040000,11.60,34.80
Brazil,Gold,3018,0.010000,2.90,8.70
Brazil,Bronze,3237,0.008000,2.32,6.96
Brazil,Bronze,"2951,3367,3246,2906,2404,3229,3356,3412",0.027000,7.83,23.49
Brazil,Bronze,3365,0.012000,3.48,10.44
Brazil,Bronze,3415,0.011000,3.19,9.57
Brazil,Bronze,3104,0.004000,1.16,3.48
Brazil,Bronze,3398,0.022000,6.38,19.14
Iran,Bronze,"3193,3330,3370,2579,3371,3393,3309",0.152000,44.08,66.12
Peru ,Bronze,"2457,2750,3193,3160,3370,3371,3393,3309",0.152000,44.08,66.12
Peru ,Bronze,3168,0.115000,33.35,50.03
Viet nam,Bronze,"2750,2579,3193,2840",0.134000,38.86,58.29
Viet nam,Bronze,3160,0.054000,15.66,46.98
Viet nam,Bronze,3237,0.014000,4.06,12.18
Viet nam,Bronze,"3335,3421",0.038000,11.02,33.06
Zimbabwe,Bronze,"3160,2579,3370",0.152000,44.08,66.12
Nepal,Bronze,"3193,3370,3371,3393,3309",0.152000,44.08,66.12
Uzbekistan,Bronze,"3160,3193,3330,2579,3370,3309,3393",0.152000,44.08,66.12
Uzbekistan,Bronze,3168,0.114000,33.06,49.59
Nigeria,Bronze,"2750,2579,3193,3160,3330,3370,3309,3393",0.263000,76.27,106.78
Nigeria,Bronze,3168,0.198000,57.42,80.39
Nigeria,Bronze,3335,0.248000,71.92,100.69
Swaziland,Bronze,"3370,3309,3393",0.152000,44.08,66.12
Congo (Dem. Republic),Bronze,"2750,3160,3330,2260,3370",0.152000,44.08,66.12
Congo (Dem. Republic),Bronze,2920,0.115000,33.35,50.03
France,Bronze,"2750,3193,2442,2579,3160,3403,3370,3394,3309,3393",0.063000,18.27,54.81
France,Bronze,"2263,2738",0.051000,14.79,44.37
France,Bronze,2739,0.048000,13.92,41.76
France,Bronze,3237,0.008000,2.32,6.96
France,Bronze,"3329,3414,3418,3371",0.027000,7.83,23.49
France,Bronze,3335,0.059000,17.11,51.33
France,Bronze,"3168,3270",0.047000,13.63,40.89
Botswana,Bronze,"3160,3370,3371,3309,3393,3328",0.152000,44.08,66.12
Mexico,Bronze,"2750,3193,3330,3370",0.182000,52.78,73.89
Mexico,Bronze,2840,0.181000,52.49,73.49
Mexico,Bronze,3414,0.123000,35.67,53.51
Mexico,Bronze,3160,0.136000,39.44,59.16
Sri Lanka,Bronze,"3193,3370",0.152000,44.08,66.12
Sri Lanka,Bronze,3168,0.115000,33.35,50.03
Honduras,Bronze,"2750,3193,3160,3370,3371,3393,3309",0.152000,44.08,66.12
Argentinas,Bronze,"2750,2579,3160,3193,2260,3056,2556",0.152000,44.08,66.12
Argentinas,Bronze,2263,0.039000,11.31,33.93
Argentinas,Bronze,2738,0.051000,14.79,44.37
Argentinas,Bronze,3237,0.008000,2.32,6.96
Argentinas,Bronze,2739,0.026000,7.54,22.62
Argentinas,Bronze,3393,0.022000,6.38,19.14
Argentinas,Bronze,3335,0.038000,11.02,33.06
Argentinas,Bronze,2920,0.115000,33.35,50.03
Myanmar,Bronze,"3160,3193,3330,3370,3371,3393,3309",0.152000,44.08,66.12
Myanmar,Bronze,2840,0.151000,43.79,65.69
Tunisia,Bronze,"2750,3160,3370,3371,3309,3393",0.152000,44.08,66.12
Tunisia,Bronze,3168,0.114000,33.06,49.59
Timor-Leste,Bronze,"3160,3370",0.152000,44.08,66.12
Lesotho,Bronze,"3370,3371,3309,3393",0.152000,44.08,66.12
Ecuador,Bronze,"2750,3193,3160,2579,3370,3371,3393,3309",0.152000,44.08,66.12
El Salvador,Bronze,"2750,3193,2260,3370",0.152000,44.08,66.12
El Salvador,Bronze,2920,0.115000,33.35,50.03
Morocco,Bronze,"2750,2579,3193,3160,3330,3370",0.152000,44.08,66.12
Morocco,Bronze,2738,0.067000,19.43,58.29
Morocco,Bronze,2263,0.050000,14.50,43.50
Morocco,Bronze,2840,0.080000,23.20,34.80
Morocco,Gold,3237,0.008000,2.32,6.96
Morocco,Bronze,"3309,3340,3393",0.040000,11.60,34.80
Morocco,Bronze,3335,0.059000,17.11,51.33
Morocco,Bronze,3168,0.114000,33.06,49.59
Uganda,Bronze,"2750,3193,2579,3370,3371,3309,3393",0.152000,44.08,66.12
Malawi,Bronze,"2750,3193,2579,3370,3371,3309,3393",0.152000,44.08,66.12
Ghana,Bronze,"2750,3193,3160,3330,2579,3370,3309,3393",0.152000,44.08,66.12
Ghana,Bronze,3168,0.115000,33.35,50.03
Kenya,Bronze,"2750,3193,2579,2738,2263,3160,3330,3370,3309,3393",0.039000,11.31,33.93
Kenya,Bronze,3237,0.012000,3.48,10.44
Kenya,Bronze,3340,0.031000,8.99,26.97
Kenya,Bronze,3335,0.038000,11.02,33.06
Panama,Bronze,"2750,3193,3370,3371,3393,3309",0.152000,44.08,66.12
Jamaica,Bronze,"3370,3371,3393,3309",0.152000,44.08,66.12
Venezuela,Bronze,"2750,2579,3193,3160,3370,3393,3309",0.198000,57.42,80.39
Venezuela,Bronze,3371,0.056000,16.24,48.72
Kazakhstan,Bronze,"2750,2738,3193,3330,3370,2263,3421,3309,3393",0.047000,13.63,40.89
Kazakhstan,Bronze,3168,0.035000,10.15,30.45
Kazakhstan,Bronze,"3335,3371",0.045000,13.05,39.15
Colombia,Bronze,"2750,2579,3160,3193,3330,3406,3370",0.198000,57.42,80.39
Colombia,Bronze,3237,0.008000,2.32,6.96
Colombia,Bronze,3340,0.036000,10.44,31.32
Colombia,Bronze,3335,0.045000,13.05,39.15
Colombia,Bronze,2236,0.079000,22.91,34.37
Paraguay,Bronze,"2750,2579,3193,3160,3370,3371,3393,3309,3418,3328",0.152000,44.08,66.12
Turkey,Bronze,"2750,3193,3406,3370,3160,3393,3371,3309,3329",0.182000,52.78,73.89
Kyrgyzstan,Bronze,"2750,3193,3330,3370,3371,3393,3309",0.031000,8.99,26.97
Jordan,Bronze,"3193,3370,3371,3393,3309",0.152000,44.08,66.12
Cameroon,Bronze,"2750,2579,3193,2739,2738,3330,3370",0.263000,76.27,106.78
Cameroon,Bronze,3160,0.046000,13.34,40.02
Cameroon,Bronze,"2263,3168,2709",0.198000,57.42,80.39
Cameroon,Bronze,2840,0.078000,22.62,33.93
Cameroon,Bronze,3237,0.219000,63.51,88.91
Cameroon,Bronze,3335,0.248000,71.92,100.69
Israel,Bronze,"2579,3193,2738,2263,3330,3370",0.063000,18.27,54.81
Israel,Bronze,3237,0.010000,2.90,8.70
Israel,Bronze,3335,0.059000,17.11,51.33
Cote d`Ivoire Ivory Coast,Bronze,"2750,2840,3330,2260,3370,3193,32",0.263000,76.27,106.78
Cote d`Ivoire Ivory Coast,Bronze,"3168,2920",0.198000,57.42,80.39
Mauritius,Bronze,"3370,3371,3309,3393",0.144000,41.76,62.64
Turkmenistan,Bronze,"3370,3371,3393,3309",0.152000,44.08,66.12
Mali,Bronze,"2750,3193,2579,3370,3371,3309,3393",0.152000,44.08,66.12
Mali,Bronze,3168,0.114000,33.06,49.59
Rwanda,Bronze,"3370,3371,3309,3393",0.152000,44.08,66.12
Gabon,Bronze,"2750,3193,3160,2579,3370,3371,3309,3393",0.152000,44.08,66.12
Spain,Bronze,2263,0.130000,37.70,56.55
Spain,Bronze,"2750,2579,3193,3160,3330,3370,3309",0.198000,57.42,80.39
Spain,Bronze,2738,0.170000,49.30,73.95
Spain,Bronze,2739,0.068000,19.72,59.16
Spain,Bronze,2840,0.168000,48.72,73.08
Spain,Bronze,3237,0.015000,4.35,13.05
Spain,Bronze,"3329,3393,3371,3328",0.054000,15.66,46.98
Spain,Bronze,3335,0.074000,21.46,32.19
Nicaragua,Bronze,"2750,3193,3370,3371,3393,3309",0.152000,44.08,66.12
"Moldova, Republic of",Bronze,"2750,3193,2260,2738,3370,2263,2579,3418",0.032000,9.28,27.84
"Moldova, Republic of",Bronze,2920,0.024000,6.96,20.88
United States,Bronze,2617,0.131000,37.99,56.98
United States,Bronze,3196,0.089000,25.81,38.71
United States,Silver,2263,0.076000,22.04,33.06
United States,Bronze,2738,0.103000,29.87,44.80
United States,Bronze,"3193,3370",0.294000,85.26,119.36
United States,Bronze,2495,0.118000,34.22,51.33
United States,Silver,3237,0.010000,2.90,8.70
Saudi Arabia,Bronze,2377,0.112000,32.48,48.72
Saudi Arabia,Bronze,"3193,3160,3330,3370",0.152000,44.08,66.12
Thailand,Bronze,"2750,3193,3160,3370,3309",0.047000,13.63,40.89
Thailand,Bronze,"3340,3393",0.039000,11.31,33.93
Thailand,Bronze,3237,0.014000,4.06,12.18
Benin,Bronze,"2750,3193,2579,3370,3371,3309,3393",0.152000,44.08,66.12
Costa Rica,Bronze,3370,0.152000,44.08,66.12
Burkina Faso,Bronze,"2750,3193,3370",0.152000,44.08,66.12
Qatar,Bronze,"3370,3371,3393",0.152000,44.08,66.12
Belgium,Bronze,"2750,2579,3160,3193,3370,3393",0.343000,99.47,139.26
Belgium,Bronze,3309,0.324000,93.96,131.54
Belgium,Bronze,3335,0.272000,78.88,110.43
Belgium,Bronze,3237,0.292000,84.68,118.55
Belgium,Bronze,3371,0.306000,88.74,124.24
United Kingdom,Bronze,2263,0.034000,9.86,29.58
United Kingdom,Bronze,2442,0.023000,6.67,20.01
United Kingdom,Bronze,2738,0.040000,11.60,34.80
United Kingdom,Bronze,"2750,2579,3160,2291,3193,3368,3330,2260,3406,3370,2914",0.051000,14.79,44.37
United Kingdom,Bronze,2739,0.024000,6.96,20.88
United Kingdom,Bronze,2295,0.027000,7.83,23.49
United Kingdom,Bronze,"3309,3329,3393,3328,3371",0.019000,5.51,16.53
United Kingdom,Bronze,3237,0.008000,2.32,6.96
United Kingdom,Silver,3212,0.014000,4.06,12.18
United Kingdom,Bronze,3335,0.045000,13.05,39.15
United Kingdom,Bronze,"2920,1015,1017",0.039000,11.31,33.93
United Kingdom,Gold,3435,0.051000,14.79,44.37
United Kingdom,Bronze,3397,0.050000,14.50,43.50
Reunion,Bronze,"3370,3371,3393,3309",0.152000,44.08,66.12
Oman,Bronze,"3370,3371,3393",0.152000,44.08,66.12
Congo,Bronze,"3370,3371,3393,3309,3421",0.152000,44.08,66.12
Yemen,Bronze,2377,0.107000,31.03,46.55
Yemen,Bronze,"3193,3330,3370,3371,3393,3309",0.152000,44.08,66.12
Yemen,Bronze,3168,0.115000,33.35,50.03
Uruguay,Bronze,"3370,3393,3309",0.251000,72.79,101.91
Uruguay,Bronze,3371,0.224000,64.96,90.94
Iraq,Bronze,"3193,3330,3370,3371,3393,3309,3168,3328",0.152000,44.08,66.12
Iraq,Bronze,3421,0.115000,33.35,50.03
Senegal,Bronze,"2750,3193,2579,3370,3371,3309,3393",0.152000,44.08,66.12
Germany,Bronze,2263,0.354000,102.66,128.32
Germany,Bronze,"2738,3329,3309",0.336000,97.44,136.42
Germany,Bronze,"2750,2579,2442,3193,3160,3330,3370,2966",0.935000,271.15,325.38
Germany,Bronze,2739,0.115000,33.35,50.03
Germany,Bronze,3237,0.008000,2.32,6.96
Germany,Bronze,"3393,3418,3371",0.018000,5.22,15.66
Germany,Bronze,3087,0.667000,193.43,241.79
Germany,Bronze,3394,0.458000,132.82,166.02
Germany,Bronze,3168,0.007000,2.03,6.09
Germany,Gold,3435,0.935000,271.15,325.38
Lao People`s,Bronze,"3193,3421,3418",0.020000,5.80,17.40
Poland,Bronze,"2295,3160",0.490000,142.10,177.63
Poland,Bronze,2263,0.207000,60.03,84.04
Poland,Bronze,2738,0.166000,48.14,72.21
Poland,Bronze,"2579,3193,2442,3330,3370,3393",0.652000,189.08,236.35
Poland,Bronze,2739,0.034000,9.86,29.58
Poland,Bronze,"3328,3309,3418",0.028000,8.12,24.36
Poland,Bronze,3237,0.015000,4.35,13.05
Poland,Bronze,3087,0.467000,135.43,169.29
Poland,Bronze,3335,0.059000,17.11,51.33
Poland,Bronze,2284,0.031000,8.99,26.97
Poland,Bronze,1015,0.016000,4.64,13.92
Togo,Bronze,"2750,3193,3160,3370,3371,3309,3393",0.152000,44.08,66.12
Togo,Bronze,3168,0.115000,33.35,50.03
Niger,Bronze,"3370,3371,3309,3393",0.152000,44.08,66.12
Hungary,Bronze,"2750,2579,3193,3370,3393",0.444000,128.76,160.95
Hungary,Bronze,3309,0.419000,121.51,151.89
Hungary,Bronze,3335,0.354000,102.66,128.32
Hungary,Bronze,3237,0.371000,107.59,134.49
Bhutan,Bronze,"3370,3371,3309,3393",0.144000,41.76,62.64
Burundi,Bronze,"2750,3193,3370,3371,3309,3393",0.152000,44.08,66.12
Malaysia,Bronze,"2750,2579,3193,3330,3370,3168,3309,1384",0.068000,19.72,59.16
Malaysia,Bronze,3237,0.008000,2.32,6.96
Malaysia,Bronze,"3393,3421",0.024000,6.96,20.88
Malaysia,Bronze,3335,0.030000,8.70,26.10
Netherlands,Bronze,2295,0.010000,2.90,8.70
Netherlands,Bronze,"2442,2750,2579,3160,3193,3330,3370,3309,3393",0.686000,198.94,248.68
Netherlands,Bronze,"2739,3198",0.051000,14.79,44.37
Netherlands,Bronze,2738,0.103000,29.87,44.80
Netherlands,Bronze,2263,0.082000,23.78,35.67
Netherlands,Bronze,"3329,3328",0.030000,8.70,26.10
Netherlands,Bronze,"3237,3371",0.024000,6.96,20.88
Netherlands,Bronze,3087,0.400000,116.00,145.00
Netherlands,Bronze,3335,0.059000,17.11,51.33
Netherlands,Bronze,3418,0.038000,11.02,33.06
Netherlands,Bronze,3433,0.167000,48.43,72.64
