Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
United Kingdom,3|0.028,Bronze,"2442,2263",0.028000,7.84,12.54
United Kingdom,3|0.051,Bronze,"2750,2291,3193,3368,3330,2914",0.051000,14.28,22.85
United Kingdom,3|0.018,Bronze,2739,0.018000,5.04,8.06
United Kingdom,3|0.038,Bronze,2738,0.038000,10.64,17.02
United Kingdom,3|0.039,Bronze,"2295,1015",0.039000,10.92,17.47
United Kingdom,3|0.016,Bronze,3212,0.016000,4.48,7.17
United Kingdom,1|0.051,Gold,3435,0.051000,14.28,22.85
Italy,3|1.222,Bronze,"2750,2442,3193,2615,3307,3266,3309",1.222000,342.16,410.59
Italy,3|0.514,Bronze,2263,0.514000,143.92,179.90
Italy,3|0.684,Bronze,2738,0.684000,191.52,239.40
Italy,3|0.96,Bronze,"2966,3168",0.960000,268.80,322.56
Italy,3|0.343,Bronze,2739,0.343000,96.04,134.46
Japan,3|7.369,Bronze,2750,7.369000,2063.32,2475.98
Kosovo,3|0.063,Bronze,3168,0.063000,17.64,28.22
