Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Malaysia,3|0.126,Bronze,"3193,3330,3309",0.126000,35.28,52.92
Indonesia,3|0.107,Bronze,"2295,3160,54,3327,3333,1170,3339,3332,3424,3320,3117",0.107000,29.96,44.94
Indonesia,3|0.062,Bronze,2263,0.062000,17.36,27.78
Indonesia,3|0.039,Bronze,2739,0.039000,10.92,17.47
Indonesia,3|0.083,Bronze,2738,0.083000,23.24,34.86
Indonesia,3|0.142,Bronze,"3193,3406,3330,3029,3427,2434,3309,1085,2579,3353,3127,3377,3105,3107",0.142000,39.76,59.64
Indonesia,3|0.007,Bronze,3355,0.007000,1.96,3.14
Indonesia,3|0.004,Bronze,"1329,2994,3384,3251,3417,3334,3061",0.004000,1.12,1.79
Indonesia,3|0.106,Bronze,"3206,3224",0.106000,29.68,44.52
Indonesia,3|0.063,Bronze,3027,0.063000,17.64,28.22
Indonesia,3|0.096,Bronze,"3075,3079",0.096000,26.88,40.32
