Service,Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Alibaba,South Africa,3|0.004,3,2750,0.004000,1.12,1.68
Alibaba,South Africa,3|0.418,3,"2579,3330,3370,3168",0.418000,117.04,146.30
Alibaba,South Africa,3|0.198,3,3001,0.198000,55.44,77.62
Alibaba,South Africa,3|0.098,3,3160,0.098000,27.44,41.16
Alibaba,South Africa,3|0.266,3,2840,0.266000,74.48,104.27
Alibaba,South Africa,3|0.006,3,"2649,3155",0.006000,1.68,2.52
Alibaba,South Africa,3|0.034,3,2742,0.034000,9.52,14.28
Alibaba,India,3|0.231,3,"2750,2579,3193,3330,3309",0.231000,64.68,90.55
Alibaba,India,3|0.198,3,3001,0.198000,55.44,77.62
Alibaba,India,3|0.066,3,3371,0.066000,18.48,27.72
Alibaba,Pakistan,3|0.198,3,3001,0.198000,55.44,77.62
Alibaba,Pakistan,3|0.27,3,"2579,3193,3160,3371",0.270000,75.60,105.84
Alibaba,Pakistan,3|0.203,3,3168,0.203000,56.84,79.58
Alibaba,Bangladesh,3|0.198,3,3001,0.198000,55.44,77.62
Alibaba,Bangladesh,3|0.25,3,"2579,3160,3371",0.250000,70.00,98.00
Alibaba,Bangladesh,3|0.111,3,3168,0.111000,31.08,46.62
Alibaba,Zambia,3|0.384,3,"2750,3160,3193,3371",0.384000,107.52,134.40
Alibaba,Zambia,3|0.198,3,3001,0.198000,55.44,77.62
Alibaba,Papua new gvineya,3|0.198,3,3001,0.198000,55.44,77.62
Alibaba,Algeria,3|0.25,3,"2750,3193,3160,3330,3371",0.250000,70.00,98.00
Alibaba,Algeria,3|0.198,3,3001,0.198000,55.44,77.62
Alibaba,Ethiopia,3|0.384,3,"2750,3193,3371",0.384000,107.52,134.40
Alibaba,Ethiopia,3|0.198,3,3001,0.198000,55.44,77.62
Alibaba,Ethiopia,3|0.288,3,3168,0.288000,80.64,112.90
Alibaba,Mozambique,3|0.198,3,3001,0.198000,55.44,77.62
Alibaba,Mozambique,3|0.231,3,3371,0.231000,64.68,90.55
Alibaba,Angola,3|0.384,3,"2750,2579,3193,3160,3371",0.384000,107.52,134.40
Alibaba,Angola,3|0.198,3,3001,0.198000,55.44,77.62
Alibaba,Ukraine,3|0.288,3,"2750,2579,3193,3330,3371",0.288000,80.64,112.90
Alibaba,Ukraine,3|0.198,3,3001,0.198000,55.44,77.62
