Service,Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Amazon,South Africa,1|0.118,1,2217,0.118000,33.04,49.56
Amazon,South Africa,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,South Africa,3|0.21,3,"2579,3168,3330,3370",0.210000,58.80,82.32
Amazon,South Africa,3|0.076,3,"2742,3205",0.076000,21.28,31.92
Amazon,South Africa,2|0.072,2,2812,0.072000,20.16,30.24
Amazon,South Africa,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,South Africa,2|0.084,2,3109,0.084000,23.52,35.28
Amazon,South Africa,3|0.054,3,3155,0.054000,15.12,22.68
Amazon,South Africa,3|0.075,3,3237,0.075000,21.00,31.50
Amazon,South Africa,3|0.16,3,3393,0.160000,44.80,67.20
Amazon,India,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,India,2|0.094,2,2268,0.094000,26.32,39.48
Amazon,India,3|0.134,3,"2579,2750,3160,3309,3330,3370,3393",0.134000,37.52,56.28
Amazon,India,2|0.134,2,"2805,3406",0.134000,37.52,56.28
Amazon,India,2|0.099,2,3001,0.099000,27.72,41.58
Amazon,India,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Pakistan,3|0.182,3,"2579,3160,3370,3393",0.182000,50.96,71.34
Amazon,Pakistan,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Pakistan,3|0.052,3,3168,0.052000,14.56,21.84
Amazon,Pakistan,3|0.094,3,3182,0.094000,26.32,39.48
Amazon,Pakistan,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Pakistan,3|0.09,3,3335,0.090000,25.20,37.80
Amazon,Pakistan,3|0.122,3,3371,0.122000,34.16,51.24
Amazon,Bangladesh,3|0.152,3,"2579,3160,3370,3393",0.152000,42.56,63.84
Amazon,Bangladesh,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Bangladesh,3|0.1,3,3168,0.100000,28.00,42.00
Amazon,Bangladesh,3|0.094,3,3182,0.094000,26.32,39.48
Amazon,Bangladesh,3|0.135,3,3309,0.135000,37.80,56.70
Amazon,Bangladesh,3|0.144,3,3371,0.144000,40.32,60.48
Amazon,Zambia,3|0.118,3,"2217,3193",0.118000,33.04,49.56
Amazon,Zambia,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Zambia,3|0.191,3,"2579,2750,3370,3418",0.191000,53.48,74.87
Amazon,Zambia,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Zambia,3|0.011,3,3160,0.011000,3.08,4.62
Amazon,Zambia,3|0.102,3,3309,0.102000,28.56,42.84
Amazon,Zambia,3|0.079,3,3371,0.079000,22.12,33.18
Amazon,Zambia,3|0.071,3,3393,0.071000,19.88,29.82
Amazon,Namibia,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Namibia,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Namibia,3|0.136,3,"3309,3370,3371,3393",0.136000,38.08,57.12
Amazon,Papua new gvineya,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Papua new gvineya,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Papua new gvineya,3|0.191,3,3370,0.191000,53.48,74.87
Amazon,Algeria,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Algeria,3|0.226,3,"2579,2750,3309,3330,3370,3371,3393",0.226000,63.28,88.59
Amazon,Algeria,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Algeria,3|0.034,3,3160,0.034000,9.52,14.28
Amazon,Algeria,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Ethiopia,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Ethiopia,3|0.152,3,"2579,2750,3309,3370,3371,3393",0.152000,42.56,63.84
Amazon,Ethiopia,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Ethiopia,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Mozambique,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Mozambique,3|0.215,3,"2579,3309,3370,3371,3393,3411",0.215000,60.20,84.28
Amazon,Mozambique,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Angola,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Angola,3|0.191,3,"2579,2750,3160,3309,3370,3393",0.191000,53.48,74.87
Amazon,Angola,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Angola,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Angola,3|0.182,3,3371,0.182000,50.96,71.34
Amazon,Ukraine,3|0.212,3,2263,0.212000,59.36,83.10
Amazon,Ukraine,3|0.335,3,"2567,2579,2750,3330,3370,3371",0.335000,93.80,131.32
Amazon,Ukraine,3|0.32,3,2738,0.320000,89.60,125.44
Amazon,Ukraine,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Ukraine,3|0.055,3,3168,0.055000,15.40,23.10
Amazon,Ukraine,3|0.334,3,3177,0.334000,93.52,130.93
Amazon,Ukraine,3|0.094,3,3182,0.094000,26.32,39.48
Amazon,Ukraine,3|0.118,3,"3193,3309,3328,3418",0.118000,33.04,49.56
