Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
India,Gold,2805,0.084000,23.52,35.28
India,Bronze,"3160,3309",0.084000,23.52,35.28
India,Bronze,3371,0.082000,22.96,34.44
Algeria,Bronze,"3193,3160,3371,3309,3168",0.251000,70.28,98.39
Ukraine,Bronze,2263,0.914000,255.92,307.10
Ukraine,Bronze,2738,1.197000,335.16,402.19
Ukraine,Bronze,"3193,3330,2567,3370",1.208000,338.24,405.89
Ukraine,Bronze,"3309,3328,3340,3418,3371",0.792000,221.76,266.11
Ukraine,Bronze,3168,0.276000,77.28,108.19
Ukraine,Bronze,3177,0.800000,224.00,268.80
Ukraine,Bronze,3335,0.590000,165.20,206.50
Brazil,Bronze,"3160,3193,2567,3406,3370,3264,3309",0.668000,187.04,233.80
Brazil,Bronze,2263,0.667000,186.76,233.45
Brazil,Bronze,2739,0.468000,131.04,163.80
Brazil,Gold,2738,0.343000,96.04,134.46
Brazil,Bronze,3215,0.140000,39.20,58.80
Brazil,Gold,3365,0.086000,24.08,36.12
Brazil,Bronze,3252,0.091000,25.48,38.22
Brazil,Bronze,3415,0.086000,24.08,36.12
Brazil,Bronze,3335,0.102000,28.56,42.84
Brazil,Bronze,"2951,3371,2404,3229",0.046000,12.88,20.61
Brazil,Silver,3367,0.166000,46.48,69.72
Brazil,Bronze,2906,0.132000,36.96,55.44
Brazil,Bronze,3398,0.124000,34.72,52.08
Brazil,Bronze,3413,0.059000,16.52,26.43
Brazil,Bronze,3412,0.058000,16.24,25.98
Viet nam,Bronze,"3160,3421",0.164000,45.92,68.88
Viet nam,Bronze,3193,0.335000,93.80,131.32
France,Bronze,"2263,3329,3414,3418,3371",0.219000,61.32,85.85
France,Silver,2738,0.292000,81.76,114.46
France,Gold,2442,0.783000,219.24,263.09
France,Bronze,"3193,2567,3370,3309",5.883000,1647.24,1976.69
France,Bronze,3160,0.698000,195.44,244.30
France,Bronze,"3389,3403",0.534000,149.52,186.90
France,Bronze,3168,0.131000,36.68,55.02
France,Bronze,3270,0.120000,33.60,50.40
Argentinas,Bronze,2738,0.135000,37.80,56.70
Argentinas,Bronze,"2263,2739",0.128000,35.84,53.76
Argentinas,Bronze,"2286,3160,3193,3303,2260",0.302000,84.56,118.38
Argentinas,Bronze,3056,0.126000,35.28,52.92
Argentinas,Bronze,3335,0.150000,42.00,63.00
Argentinas,Bronze,2920,0.127000,35.56,53.34
Argentinas,Gold,2556,0.126000,35.28,52.92
Tunisia,Bronze,"3160,3370,3371,3309",0.251000,70.28,98.39
Tunisia,Bronze,3168,0.140000,39.20,58.80
Morocco,Bronze,2738,0.198000,55.44,77.62
Morocco,Bronze,"3193,3160,3330,2567,3370",0.627000,175.56,219.45
Morocco,Bronze,"2263,3309,3371,3340",0.148000,41.44,62.16
Kenya,Bronze,"3193,3160,3330,3370,3309",0.075000,21.00,31.50
Kenya,Bronze,2738,0.067000,18.76,30.02
Kenya,Bronze,"2263,3340",0.051000,14.28,22.85
Kazakhstan,Bronze,"3193,3330,3370,3421,3371,3309",0.627000,175.56,219.45
Kazakhstan,Bronze,3168,0.479000,134.12,167.65
Colombia,Bronze,"3160,2286,3193,3330,3406,3370",0.120000,33.60,50.40
Colombia,Bronze,3243,0.014000,3.92,6.27
Colombia,Gold,3253,0.015000,4.20,6.72
Colombia,Bronze,3340,0.052000,14.56,23.30
Colombia,Bronze,3335,0.080000,22.40,33.60
Colombia,Gold,2236,0.011000,3.08,4.93
Kyrgyzstan,Bronze,"3193,3371,3309",0.031000,8.68,13.89
Bulgaria,Bronze,2263,0.275000,77.00,107.80
Bulgaria,Bronze,2738,0.290000,81.20,113.68
Bulgaria,Bronze,"3193,3370,3371,3309",0.551000,154.28,192.85
Spain,Bronze,"2263,3329,3371,3328",0.803000,224.84,269.81
Spain,Bronze,2738,1.204000,337.12,404.54
Spain,Bronze,2739,0.526000,147.28,184.10
Spain,Bronze,"3193,3330,3160,3370,3309",1.380000,386.40,463.68
United States,Gold,2617,1.158000,324.24,389.09
United States,Silver,3170,2.059000,576.52,691.82
United States,Gold,3196,1.137000,318.36,382.03
United States,Silver,2495,0.231000,64.68,90.55
United States,Bronze,3370,2.353000,658.84,790.61
Belgium,Bronze,"3160,3309,3193,3371",0.934000,261.52,313.82
United Kingdom,Bronze,2263,0.200000,56.00,78.40
United Kingdom,Bronze,2442,0.079000,22.12,33.18
United Kingdom,Bronze,2738,0.266000,74.48,104.27
United Kingdom,Bronze,2739,0.126000,35.28,52.92
United Kingdom,Bronze,"2291,3193,3330,2260,3406,3370,2914",0.618000,173.04,216.30
United Kingdom,Bronze,2295,0.048000,13.44,21.50
United Kingdom,Bronze,"3309,3329,3328,3371",0.036000,10.08,16.13
United Kingdom,Bronze,3368,0.097000,27.16,40.74
United Kingdom,Bronze,3212,0.040000,11.20,17.92
United Kingdom,Bronze,2567,0.400000,112.00,140.00
United Kingdom,Gold,3248,0.080000,22.40,33.60
United Kingdom,Bronze,3335,0.043000,12.04,19.26
United Kingdom,Bronze,2920,0.107000,29.96,44.94
United Kingdom,Silver,1015,0.295000,82.60,115.64
United Kingdom,Gold,3435,0.618000,173.04,216.30
United Kingdom,Bronze,3397,0.119000,33.32,49.98
United Kingdom,Bronze,1017,0.052000,14.56,23.30
Germany,Bronze,"2442,3193,3160,3330,2567,3370,2966",1.769000,495.32,594.38
Germany,Bronze,2739,0.291000,81.48,114.07
Germany,Bronze,2263,0.934000,261.52,313.82
Germany,Bronze,"3329,3418,3371,3309,3168",0.262000,73.36,102.70
Germany,Bronze,3394,1.757000,491.96,590.35
Lao People`s,Bronze,"3193,2260,3418",0.075000,21.00,31.50
Lao People`s,Bronze,"2920,3421",0.068000,19.04,30.46
Poland,Bronze,2263,0.365000,102.20,127.75
Poland,Bronze,2738,0.407000,113.96,142.45
Poland,Bronze,2739,0.111000,31.08,46.62
Poland,Bronze,"3193,3330,3370,2442",0.752000,210.56,252.67
Poland,Bronze,3160,0.228000,63.84,89.38
Poland,Gold,3328,0.108000,30.24,45.36
Poland,Bronze,"3309,3418",0.108000,30.24,45.36
Poland,Bronze,3335,0.120000,33.60,50.40
Poland,Bronze,2284,0.100000,28.00,42.00
Poland,Bronze,1015,0.340000,95.20,133.28
Hungary,Bronze,3309,3.706000,1037.68,1245.22
