Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Indonesia,Bronze,"2295,3168,3384,3251,3339,3426,2994,3424,3347",0.004000,1.12,1.79
Indonesia,Bronze,2263,0.022000,6.16,9.86
Indonesia,Bronze,2738,0.030000,8.40,13.44
Indonesia,Bronze,2739,0.018000,5.04,8.06
Indonesia,Bronze,"3193,2579,3330,3370,3427,2434,3309,1085,3353,3127,3377",0.063000,17.64,28.22
Indonesia,Bronze,"3340,3333",0.043000,12.04,19.26
Indonesia,Bronze,3237,0.008000,2.24,3.58
Indonesia,Bronze,"3393,3335",0.059000,16.52,26.43
Indonesia,Gold,3029,0.063000,17.64,28.22
Indonesia,Bronze,"3355,1170,2992",0.007000,1.96,3.14
Indonesia,Bronze,"54,3327,3224,3308",0.047000,13.16,21.06
Indonesia,Silver,1329,0.028000,7.84,12.54
Indonesia,Bronze,3206,0.062000,17.36,27.78
Indonesia,Bronze,3332,0.027000,7.56,12.10
Indonesia,Bronze,3027,0.028000,7.84,12.54
Indonesia,Silver,3061,0.004000,1.12,1.79
Kosovo,Bronze,3168,0.063000,17.64,28.22
