Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Indonesia,Bronze,"2295,3168,3384,3339,3332,3426,3424,3061",0.004000,1.12,1.79
Indonesia,Bronze,"3160,3237",0.008000,2.24,3.58
Indonesia,Bronze,"2263,3333,1329,3027,3308",0.048000,13.44,21.50
Indonesia,Bronze,2738,0.064000,17.92,28.67
Indonesia,Bronze,2739,0.066000,18.48,29.57
Indonesia,Bronze,"3193,3340,3330,3393,3406,3370,2579,3427,2434,3309,1085,3353,3127,3377",0.110000,30.80,46.20
Indonesia,Bronze,3335,0.103000,28.84,43.26
Indonesia,Bronze,3029,0.020000,5.60,8.96
Indonesia,Bronze,"3355,3251",0.007000,1.96,3.14
Indonesia,Bronze,54,0.080000,22.40,33.60
Indonesia,Bronze,"3327,1170,3224",0.083000,23.24,34.86
Indonesia,Bronze,3206,0.091000,25.48,38.22
Indonesia,Gold,"2994,3347",0.004000,1.12,1.79
Indonesia,Bronze,2992,0.047000,13.16,21.06
Kosovo,Bronze,3168,0.063000,17.64,28.22
