Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Ukraine,3|0.022,3,"2750,2738,3193,3330",0.022000,6.38,44.66
Ukraine,3|0.016,3,2263,0.016000,4.64,32.48
United States,3|0.244,3,2617,0.244000,70.76,101.20
United States,3|0.158,3,3196,0.158000,45.82,320.74
United States,3|0.219,3,2495,0.219000,63.51,90.83
United States,3|0.611,3,3193,0.611000,177.19,225.05
United States,3|0.24,3,2263,0.240000,69.60,99.54
United States,3|0.32,3,2738,0.320000,92.80,132.72
Japan,3|5.158,3,"2750,3160",5.158000,1495.82,1899.84
Kosovo,3|0.063,3,3168,0.063000,18.27,127.89
Gibraltar,3|0.668,3,2750,0.668000,193.72,246.04
