Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,Bronze,"2750,2579,3330,3370,3168,3271",0.292000,81.76,114.46
South Africa,Silver,2217,0.066000,18.48,36.96
South Africa,Bronze,"2266,3182",0.054000,15.12,30.24
South Africa,Bronze,3001,0.089000,24.92,37.38
South Africa,Bronze,3109,0.046000,12.88,25.76
South Africa,Silver,3237,0.079000,22.12,33.18
South Africa,Silver,3178,0.108000,30.24,45.36
South Africa,Bronze,3335,0.116000,32.48,48.72
South Africa,Bronze,3042,0.045000,12.60,25.20
South Africa,Bronze,2944,0.050000,14.00,28.00
India,Bronze,2805,0.106000,29.68,44.52
India,Bronze,"2266,3160",0.080000,22.40,33.60
India,Bronze,"2750,2579,3330,3406,3370,3309,3271",0.167000,46.76,70.14
India,Gold,3182,0.054000,15.12,30.24
India,Silver,3193,0.067000,18.76,37.52
India,Bronze,3371,0.096000,26.88,40.32
Pakistan,Bronze,3001,0.089000,24.92,37.38
Pakistan,Bronze,3182,0.054000,15.12,30.24
Pakistan,Bronze,3193,0.067000,18.76,37.52
Pakistan,Bronze,"3160,2579,3370,3042,3271",0.167000,46.76,70.14
Pakistan,Bronze,3178,0.040000,11.20,22.40
Pakistan,Bronze,3168,0.063000,17.64,35.28
Pakistan,Bronze,2920,0.048000,13.44,26.88
Pakistan,Bronze,3371,0.087000,24.36,36.54
Bangladesh,Bronze,3001,0.089000,24.92,37.38
Bangladesh,Bronze,3182,0.054000,15.12,30.24
Bangladesh,Bronze,"2579,3309,3160,3370,3042,3271",0.167000,46.76,70.14
Bangladesh,Bronze,3168,0.091000,25.48,38.22
Bangladesh,Bronze,3371,0.122000,34.16,51.24
Zambia,Bronze,"2750,3370,2579,3371,3309,3271",0.167000,46.76,70.14
Zambia,Bronze,"2217,3001",0.089000,24.92,37.38
Zambia,Bronze,"2266,3182",0.054000,15.12,30.24
Zambia,Bronze,"3193,3160",0.067000,18.76,37.52
Zambia,Bronze,2920,0.084000,23.52,35.28
Zambia,Bronze,"3335,3418",0.166000,46.48,69.72
Namibia,Bronze,"2266,3182",0.054000,15.12,30.24
Namibia,Bronze,3001,0.089000,24.92,37.38
Namibia,Bronze,"3370,2579,3371,3309,3042,3271",0.136000,38.08,57.12
Papua new gvineya,Bronze,"2266,3182",0.054000,15.12,30.24
Papua new gvineya,Bronze,3001,0.089000,24.92,37.38
Papua new gvineya,Bronze,3370,0.127000,35.56,53.34
Algeria,Bronze,"2750,2579,3330,3370,3309,3042,3271",0.167000,46.76,70.14
Algeria,Bronze,"2266,3182,3178",0.054000,15.12,30.24
Algeria,Bronze,3001,0.089000,24.92,37.38
Algeria,Bronze,3193,0.067000,18.76,37.52
Algeria,Bronze,3160,0.018000,5.04,10.08
Algeria,Bronze,3335,0.140000,39.20,58.80
Ethiopia,Bronze,"2750,3370,2579,3371,3309,3330,3042,3271",0.167000,46.76,70.14
Ethiopia,Bronze,"2266,3182",0.054000,15.12,30.24
Ethiopia,Bronze,3001,0.089000,24.92,37.38
Ethiopia,Bronze,3193,0.067000,18.76,37.52
Ethiopia,Silver,3178,0.047000,13.16,26.32
Ethiopia,Bronze,3168,0.046000,12.88,25.76
Ethiopia,Bronze,3335,0.166000,46.48,69.72
Mozambique,Bronze,"2266,3182",0.054000,15.12,30.24
Mozambique,Bronze,3001,0.089000,24.92,37.38
Mozambique,Bronze,"2579,3411,3370,3309,3042,3271",0.167000,46.76,70.14
Mozambique,Bronze,3371,0.087000,24.36,36.54
Angola,Bronze,"2750,2579,2567,3309,3042,3271",0.167000,46.76,70.14
Angola,Bronze,"2266,3182",0.054000,15.12,30.24
Angola,Bronze,3001,0.089000,24.92,37.38
Angola,Bronze,3193,0.067000,18.76,37.52
Angola,Bronze,3160,0.107000,29.96,44.94
Angola,Bronze,3371,0.087000,24.36,36.54
Ukraine,Bronze,2263,0.334000,93.52,130.93
Ukraine,Bronze,2750,0.568000,159.04,198.80
Ukraine,Bronze,"2579,3330,3370,3042,3271",1.067000,298.76,358.51
Ukraine,Bronze,2738,0.946000,264.88,317.86
Ukraine,Bronze,3182,0.054000,15.12,30.24
Ukraine,Bronze,3193,0.067000,18.76,37.52
Ukraine,Silver,3309,0.222000,62.16,87.02
Ukraine,Silver,3237,0.196000,54.88,76.83
Ukraine,Bronze,3178,0.098000,27.44,41.16
Ukraine,Bronze,"3328,3340,3335,3418,3371",0.222000,62.16,87.02
Ukraine,Bronze,3168,0.048000,13.44,26.88
Ukraine,Bronze,3177,0.534000,149.52,186.90
Egypt,Bronze,"2750,2579,3330,2567,3370",0.226000,63.28,88.59
Egypt,Bronze,"2266,3182",0.054000,15.12,30.24
Egypt,Bronze,3001,0.089000,24.92,37.38
Egypt,Bronze,3193,0.067000,18.76,37.52
Egypt,Bronze,"3309,3335",0.045000,12.60,25.20
Egypt,Bronze,"3160,3168",0.022000,6.16,12.32
Egypt,Bronze,3340,0.063000,17.64,35.28
Brazil,Bronze,"2750,2739",0.167000,46.76,70.14
Brazil,Bronze,"2266,3182",0.054000,15.12,30.24
Brazil,Bronze,"3089,3193,3356",0.067000,18.76,37.52
Brazil,Bronze,3001,0.089000,24.92,37.38
Brazil,Bronze,"2579,3160,3406,3370,3264,3309,3330,3042,3271",0.218000,61.04,85.46
Brazil,Bronze,2263,0.143000,40.04,60.06
Brazil,Silver,3018,0.040000,11.20,22.40
Brazil,Gold,2738,0.116000,32.48,48.72
Brazil,Gold,3215,0.082000,22.96,34.44
Brazil,Bronze,"3365,3371",0.093000,26.04,39.06
Brazil,Bronze,3367,0.058000,16.24,32.48
Brazil,Bronze,"3252,2906",0.072000,20.16,30.24
Brazil,Silver,3405,0.042000,11.76,23.52
Brazil,Gold,3415,0.038000,10.64,21.28
Brazil,Bronze,3335,0.131000,36.68,55.02
Brazil,Bronze,3229,0.036000,10.08,20.16
Brazil,Bronze,3398,0.070000,19.60,39.20
Brazil,Gold,3015,0.040000,11.20,22.40
Brazil,Silver,2404,0.036000,10.08,20.16
Brazil,Gold,3435,0.218000,61.04,85.46
Brazil,Silver,3412,0.028000,7.84,15.68
Brazil,Gold,3413,0.039000,10.92,21.84
Brazil,Bronze,3274,0.032000,8.96,17.92
Haiti,Bronze,"2750,3330,2579,3371,3309,3042,3271",0.167000,46.76,70.14
Haiti,Bronze,"2266,3182",0.054000,15.12,30.24
Haiti,Bronze,3001,0.089000,24.92,37.38
Haiti,Bronze,3193,0.067000,18.76,37.52
Iran,Bronze,"2266,3182",0.054000,15.12,30.24
Iran,Bronze,3001,0.089000,24.92,37.38
Iran,Bronze,"2579,3193,3330,3370,3309,3168,3042,3271",0.251000,70.28,98.39
Iran,Bronze,3371,0.122000,34.16,51.24
Peru ,Bronze,"2457,2750,2579,3211,3160,3370,3411,3371,3309,3042,3271",0.167000,46.76,70.14
Peru ,Bronze,"2266,3182",0.054000,15.12,30.24
Peru ,Bronze,3001,0.089000,24.92,37.38
Peru ,Bronze,3193,0.067000,18.76,37.52
Viet nam,Bronze,"2579,2750,3042,3271",0.167000,46.76,70.14
Viet nam,Bronze,2217,0.118000,33.04,49.56
Viet nam,Bronze,"2266,3182",0.054000,15.12,30.24
Viet nam,Bronze,"3193,3421,3082",0.067000,18.76,37.52
Viet nam,Bronze,3160,0.050000,14.00,28.00
Zimbabwe,Bronze,3001,0.089000,24.92,37.38
Zimbabwe,Bronze,"2579,3160,3370,3042,3271",0.167000,46.76,70.14
Zimbabwe,Bronze,3182,0.054000,15.12,30.24
Nepal,Bronze,"2266,3182",0.054000,15.12,30.24
Nepal,Bronze,3001,0.089000,24.92,37.38
Nepal,Bronze,3193,0.067000,18.76,37.52
Nepal,Bronze,"2579,3411,3370,3371,3309,3042,3271",0.234000,65.52,91.73
Nepal,Bronze,3335,0.185000,51.80,72.52
Uzbekistan,Bronze,"2579,3160,3330,3370,2920,3309,3042,3271",0.318000,89.04,124.66
Uzbekistan,Bronze,3001,0.089000,24.92,37.38
Uzbekistan,Bronze,3182,0.054000,15.12,30.24
Uzbekistan,Bronze,3193,0.067000,18.76,37.52
Uzbekistan,Bronze,3168,0.066000,18.48,36.96
Uzbekistan,Bronze,3335,0.038000,10.64,21.28
Nigeria,Bronze,"2750,2579,3330,3160,3370,3309,3042,3271",0.418000,117.04,146.30
Nigeria,Bronze,2217,0.147000,41.16,61.74
Nigeria,Bronze,"2266,3182",0.054000,15.12,30.24
Nigeria,Bronze,3001,0.089000,24.92,37.38
Nigeria,Silver,3193,0.067000,18.76,37.52
Nigeria,Bronze,3335,0.148000,41.44,62.16
Swaziland,Bronze,"2266,3182",0.054000,15.12,30.24
Swaziland,Bronze,3001,0.089000,24.92,37.38
Swaziland,Bronze,"3370,3309,3042,3271",0.167000,46.76,70.14
Congo (Dem. Republic),Bronze,"2750,3160,3330,2260,3370",0.167000,46.76,70.14
Congo (Dem. Republic),Bronze,"2266,3182",0.054000,15.12,30.24
Congo (Dem. Republic),Bronze,3001,0.089000,24.92,37.38
Congo (Dem. Republic),Bronze,3109,0.055000,15.40,30.80
Congo (Dem. Republic),Bronze,2920,0.082000,22.96,34.44
France,Bronze,2263,0.167000,46.76,70.14
France,Bronze,2750,0.272000,76.16,106.62
France,Bronze,2738,0.200000,56.00,78.40
France,Bronze,2579,6.667000,1866.76,2240.11
France,Bronze,"2266,3182",0.054000,15.12,30.24
France,Bronze,3001,0.089000,24.92,37.38
France,Bronze,3193,0.067000,18.76,37.52
France,Bronze,"2442,3329",0.334000,93.52,130.93
France,Bronze,"3160,3418,3371",0.123000,34.44,51.66
France,Bronze,3109,0.144000,40.32,60.48
France,Bronze,"3237,3414",0.292000,81.76,114.46
France,Bronze,"2567,3370,3309,3330,3042,3271",5.883000,1647.24,1976.69
France,Silver,3335,0.087000,24.36,36.54
France,Bronze,3394,1.502000,420.56,504.67
Botswana,Bronze,"2266,3182",0.054000,15.12,30.24
Botswana,Bronze,3001,0.089000,24.92,37.38
Botswana,Bronze,"2579,3160,3370,3309,3042,3271",0.185000,51.80,72.52
Botswana,Bronze,"3371,3328",0.120000,33.60,50.40
Mexico,Bronze,"2750,2579,3330,3370,3042,3271",0.167000,46.76,70.14
Mexico,Bronze,3001,0.089000,24.92,37.38
Mexico,Bronze,3182,0.054000,15.12,30.24
Mexico,Bronze,3193,0.067000,18.76,37.52
Mexico,Bronze,3335,0.160000,44.80,67.20
Mexico,Bronze,"3414,3160",0.134000,37.52,56.28
Tanzania,Bronze,"2750,2579,3160,3330,2567,3370,3309,3042,3271",0.167000,46.76,70.14
Tanzania,Bronze,"2266,3182",0.054000,15.12,30.24
Tanzania,Bronze,3001,0.089000,24.92,37.38
Tanzania,Bronze,3193,0.067000,18.76,37.52
Tanzania,Silver,3168,0.091000,25.48,38.22
Tanzania,Bronze,3371,0.052000,14.56,29.12
Sri Lanka,Gold,2266,0.054000,15.12,30.24
Sri Lanka,Bronze,3001,0.089000,24.92,37.38
Sri Lanka,Bronze,3182,0.054000,15.12,30.24
Sri Lanka,Silver,3193,0.067000,18.76,37.52
Sri Lanka,Bronze,"2579,3411,3370,3271",0.167000,46.76,70.14
Sri Lanka,Bronze,3168,0.058000,16.24,32.48
Honduras,Bronze,"2750,3160,3370,2579,3371,3309,3330,3042,3271",0.140000,39.20,58.80
Honduras,Bronze,"2266,3182",0.054000,15.12,30.24
Honduras,Bronze,3001,0.089000,24.92,37.38
Honduras,Bronze,3193,0.067000,18.76,37.52
Argentinas,Bronze,"2750,2579,3160,3303,2260",0.181000,50.68,70.95
Argentinas,Bronze,"2266,3182",0.054000,15.12,30.24
Argentinas,Bronze,3001,0.089000,24.92,37.38
Argentinas,Bronze,3193,0.067000,18.76,37.52
Argentinas,Bronze,2263,0.100000,28.00,42.00
Argentinas,Bronze,2738,0.127000,35.56,53.34
Argentinas,Bronze,2739,0.071000,19.88,39.76
Argentinas,Bronze,"3056,2920",0.064000,17.92,35.84
Argentinas,Bronze,3335,0.096000,26.88,40.32
Argentinas,Silver,2556,0.064000,17.92,35.84
Myanmar,Bronze,2217,0.147000,41.16,61.74
Myanmar,Bronze,"2266,3182",0.054000,15.12,30.24
Myanmar,Bronze,3001,0.089000,24.92,37.38
Myanmar,Bronze,"2579,3330,3411,3370,3309",0.167000,46.76,70.14
Myanmar,Bronze,3160,0.100000,28.00,42.00
Myanmar,Bronze,3193,0.067000,18.76,37.52
Myanmar,Bronze,3178,0.016000,4.48,8.96
Myanmar,Bronze,2920,0.020000,5.60,11.20
Myanmar,Bronze,3371,0.156000,43.68,65.52
Myanmar,Bronze,2840,0.155000,43.40,65.10
Tunisia,Bronze,"2750,3370,2579,3371,3309,3042,3271",0.167000,46.76,70.14
Tunisia,Bronze,"2266,3182",0.054000,15.12,30.24
Tunisia,Bronze,3001,0.089000,24.92,37.38
Tunisia,Bronze,3160,0.018000,5.04,10.08
Tunisia,Bronze,3178,0.027000,7.56,15.12
Tunisia,Bronze,3168,0.015000,4.20,8.40
Timor-Leste,Bronze,"2266,3182",0.054000,15.12,30.24
Timor-Leste,Bronze,3001,0.089000,24.92,37.38
Timor-Leste,Bronze,3160,0.020000,5.60,11.20
Timor-Leste,Bronze,"3370,3042,3271",0.167000,46.76,70.14
Lesotho,Bronze,"2266,3182",0.054000,15.12,30.24
Lesotho,Bronze,3001,0.089000,24.92,37.38
Lesotho,Bronze,"3370,2579,3371,3309,3271",0.108000,30.24,45.36
Ecuador,Bronze,"2750,3160,3370,2579,3371,3309,3042,3271",0.167000,46.76,70.14
Ecuador,Bronze,"2266,3182",0.054000,15.12,30.24
Ecuador,Bronze,3001,0.089000,24.92,37.38
Ecuador,Bronze,3193,0.067000,18.76,37.52
Ecuador,Bronze,3178,0.074000,20.72,31.08
El Salvador,Bronze,"2750,3193,2260,3370,2579",0.167000,46.76,70.14
El Salvador,Bronze,"2266,3182",0.054000,15.12,30.24
El Salvador,Bronze,3001,0.089000,24.92,37.38
El Salvador,Bronze,2920,0.148000,41.44,62.16
Morocco,Bronze,"2750,2579,3330,3370,3042,3271",0.167000,46.76,70.14
Morocco,Bronze,2217,0.099000,27.72,41.58
Morocco,Bronze,"2266,3182",0.054000,15.12,30.24
Morocco,Bronze,3001,0.089000,24.92,37.38
Morocco,Bronze,"3193,3160,3309,3371",0.067000,18.76,37.52
Morocco,Bronze,2738,0.127000,35.56,53.34
Morocco,Bronze,"2263,3340",0.095000,26.60,39.90
Morocco,Bronze,3237,0.066000,18.48,36.96
Morocco,Bronze,3178,0.048000,13.44,26.88
Morocco,Bronze,3335,0.074000,20.72,31.08
Uganda,Bronze,"2750,2579,3309,3042,3271",0.167000,46.76,70.14
Uganda,Silver,2266,0.054000,15.12,30.24
Uganda,Bronze,3001,0.089000,24.92,37.38
Uganda,Bronze,3182,0.054000,15.12,30.24
Uganda,Bronze,3193,0.067000,18.76,37.52
Malawi,Bronze,"2750,2579,2567,3309,3042,3271",0.167000,46.76,70.14
Malawi,Bronze,"2266,3182",0.054000,15.12,30.24
Malawi,Bronze,3001,0.089000,24.92,37.38
Malawi,Bronze,3193,0.067000,18.76,37.52
Malawi,Bronze,3371,0.052000,14.56,29.12
Ghana,Bronze,"2750,3330,3370,2579,3309,3042,3271",0.167000,46.76,70.14
Ghana,Gold,2266,0.054000,15.12,30.24
Ghana,Bronze,3001,0.089000,24.92,37.38
Ghana,Bronze,3182,0.054000,15.12,30.24
Ghana,Bronze,3193,0.067000,18.76,37.52
Ghana,Bronze,3160,0.047000,13.16,26.32
Ghana,Bronze,2920,0.108000,30.24,45.36
Kenya,Silver,"2750,2579,3330",0.167000,46.76,70.14
Kenya,Silver,2266,0.054000,15.12,30.24
Kenya,Bronze,3001,0.089000,24.92,37.38
Kenya,Bronze,3182,0.054000,15.12,30.24
Kenya,Gold,3193,0.067000,18.76,37.52
Kenya,Bronze,3160,0.119000,33.32,49.98
Kenya,Silver,3237,0.078000,21.84,32.76
Kenya,Bronze,3340,0.067000,18.76,37.52
Kenya,Bronze,"3370,3309,3042,3271",0.167000,46.76,70.14
Panama,Bronze,"2750,2579,3370,3371,3309,3042,3271",0.167000,46.76,70.14
Panama,Bronze,"2266,3182",0.054000,15.12,30.24
Panama,Bronze,3001,0.089000,24.92,37.38
Panama,Bronze,3193,0.067000,18.76,37.52
Jamaica,Silver,2266,0.054000,15.12,30.24
Jamaica,Bronze,3001,0.089000,24.92,37.38
Jamaica,Bronze,3182,0.054000,15.12,30.24
Jamaica,Bronze,"2579,3370,3371,3309,3042,3271",0.178000,49.84,74.76
Jamaica,Bronze,2920,0.078000,21.84,32.76
Venezuela,Bronze,"2750,3370,2579,3371,3309,3042",0.167000,46.76,70.14
Venezuela,Bronze,"2266,3182",0.054000,15.12,30.24
Venezuela,Bronze,3001,0.089000,24.92,37.38
Venezuela,Bronze,3193,0.067000,18.76,37.52
Venezuela,Bronze,3335,0.166000,46.48,69.72
Kazakhstan,Bronze,2750,0.082000,22.96,34.44
Kazakhstan,Bronze,"2266,3182",0.054000,15.12,30.24
Kazakhstan,Bronze,3001,0.089000,24.92,37.38
Kazakhstan,Bronze,"2579,3330,3370,3309,3042,3271",0.335000,93.80,131.32
Kazakhstan,Bronze,"3193,3371",0.067000,18.76,37.52
Kazakhstan,Bronze,2738,0.168000,47.04,70.56
Kazakhstan,Bronze,"3328,3237,3421",0.118000,33.04,49.56
Kazakhstan,Bronze,3168,0.031000,8.68,17.36
Kazakhstan,Bronze,3335,0.074000,20.72,31.08
Kazakhstan,Bronze,2263,0.126000,35.28,52.92
Kazakhstan,Bronze,2920,0.035000,9.80,19.60
Colombia,Bronze,2750,0.167000,46.76,70.14
Colombia,Bronze,"2286,2579,3330,2567,3406,3370,3309,3042,3271",1.067000,298.76,358.51
Colombia,Bronze,2335,0.094000,26.32,39.48
Colombia,Bronze,2217,0.158000,44.24,66.36
Colombia,Bronze,3109,0.183000,51.24,71.74
Colombia,Bronze,"2266,3182",0.054000,15.12,30.24
Colombia,Bronze,3001,0.089000,24.92,37.38
Colombia,Bronze,3160,0.062000,17.36,34.72
Colombia,Bronze,3193,0.067000,18.76,37.52
Colombia,Gold,"3243,3253",0.015000,4.20,8.40
Colombia,Bronze,"2840,3340",1.062000,297.36,356.83
Colombia,Bronze,3237,0.072000,20.16,30.24
Colombia,Bronze,3335,0.075000,21.00,31.50
Colombia,Bronze,3371,0.051000,14.28,28.56
Colombia,Bronze,2236,0.014000,3.92,7.84
Paraguay,Bronze,"2750,3160,2579,3330,3418,3042,3328,3271",0.152000,42.56,63.84
Paraguay,Bronze,"2266,3182",0.054000,15.12,30.24
Paraguay,Bronze,3001,0.089000,24.92,37.38
Paraguay,Bronze,3193,0.067000,18.76,37.52
Paraguay,Bronze,3371,0.100000,28.00,42.00
Paraguay,Bronze,3309,0.102000,28.56,42.84
Turkey,Bronze,"2750,2579,3406,3370,3160,3309,3330,3042,3271",0.185000,51.80,72.52
Turkey,Silver,2266,0.054000,15.12,30.24
Turkey,Bronze,3001,0.089000,24.92,37.38
Turkey,Bronze,3182,0.054000,15.12,30.24
Turkey,Bronze,3193,0.067000,18.76,37.52
Turkey,Bronze,"3329,3371",0.102000,28.56,42.84
Kyrgyzstan,Bronze,"2750,2579,3309,3042,3271",0.167000,46.76,70.14
Kyrgyzstan,Bronze,3001,0.089000,24.92,37.38
Kyrgyzstan,Bronze,3182,0.054000,15.12,30.24
Kyrgyzstan,Bronze,3193,0.067000,18.76,37.52
Kyrgyzstan,Bronze,3371,0.087000,24.36,36.54
Jordan,Bronze,"2266,3182",0.054000,15.12,30.24
Jordan,Bronze,3001,0.089000,24.92,37.38
Jordan,Bronze,"2579,3370,3371,3309,3042,3271",0.190000,53.20,74.48
Jordan,Bronze,3193,0.067000,18.76,37.52
Cameroon,Bronze,"2750,2579,2739,2738,3330,3370,3042,3271",0.167000,46.76,70.14
Cameroon,Bronze,"2266,3182",0.054000,15.12,30.24
Cameroon,Bronze,3001,0.089000,24.92,37.38
Cameroon,Bronze,3109,0.095000,26.60,39.90
Cameroon,Bronze,3193,0.067000,18.76,37.52
Cameroon,Bronze,3160,0.080000,22.40,33.60
Cameroon,Bronze,2263,0.058000,16.24,32.48
