Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.089,Bronze,2217,0.089000,25.81,38.71
South Africa,3|0.094,Bronze,2266,0.094000,27.26,40.89
South Africa,3|0.286,Bronze,"2579,3168,3330,3370",0.286000,82.94,116.12
South Africa,3|0.004,Bronze,"2649,2750,2984",0.004000,1.16,2.32
South Africa,3|0.048,Bronze,"2812,3205",0.048000,13.92,27.84
South Africa,3|0.214,Bronze,2840,0.214000,62.06,86.88
South Africa,3|0.127,Bronze,2849,0.127000,36.83,55.24
South Africa,3|0.198,Bronze,3001,0.198000,57.42,80.39
South Africa,3|0.006,Bronze,3155,0.006000,1.74,3.48
South Africa,3|0.099,Bronze,3160,0.099000,28.71,43.06
South Africa,3|0.008,Bronze,3237,0.008000,2.32,4.64
South Africa,3|0.268,Bronze,3335,0.268000,77.72,108.81
South Africa,3|0.174,Bronze,3393,0.174000,50.46,70.64
India,3|0.094,Bronze,2266,0.094000,27.26,40.89
India,3|0.218,Bronze,"2579,2750,2805,3160,3193,3309,3330,3370,3393,3406",0.218000,63.22,88.51
India,3|0.198,Bronze,3001,0.198000,57.42,80.39
India,3|0.067,Bronze,3335,0.067000,19.43,38.86
India,3|0.091,Bronze,3371,0.091000,26.39,39.59
Pakistan,3|0.502,Bronze,"2579,3160,3193,3370,3393",0.502000,145.58,181.98
Pakistan,3|0.198,Bronze,3001,0.198000,57.42,80.39
Pakistan,3|0.107,Bronze,3168,0.107000,31.03,46.55
Pakistan,3|0.17,Bronze,3309,0.170000,49.30,73.95
Pakistan,3|0.178,Bronze,3335,0.178000,51.62,72.27
Pakistan,3|0.208,Bronze,3371,0.208000,60.32,84.45
Bangladesh,3|0.502,Bronze,"2579,3160,3370",0.502000,145.58,181.98
Bangladesh,3|0.198,Bronze,3001,0.198000,57.42,80.39
Bangladesh,3|0.091,Bronze,3168,0.091000,26.39,39.59
Zambia,3|0.089,Bronze,2217,0.089000,25.81,38.71
Zambia,3|0.094,Bronze,2266,0.094000,27.26,40.89
Zambia,3|0.502,Bronze,"2579,3160,3193,3309,3370,3393",0.502000,145.58,181.98
Zambia,3|0.152,Bronze,2750,0.152000,44.08,66.12
Zambia,3|0.198,Bronze,3001,0.198000,57.42,80.39
Zambia,3|0.369,Bronze,3335,0.369000,107.01,133.76
Zambia,3|0.351,Bronze,"3371,3418",0.351000,101.79,127.24
Namibia,3|0.094,Bronze,2266,0.094000,27.26,40.89
Namibia,3|0.198,Bronze,3001,0.198000,57.42,80.39
Namibia,3|0.252,Bronze,"3309,3370,3371,3393",0.252000,73.08,102.31
Papua new gvineya,3|0.094,Bronze,2266,0.094000,27.26,40.89
Papua new gvineya,3|0.198,Bronze,3001,0.198000,57.42,80.39
Papua new gvineya,3|0.203,Bronze,3370,0.203000,58.87,82.42
Algeria,3|0.094,Bronze,2266,0.094000,27.26,40.89
Algeria,3|0.502,Bronze,"2579,3160,3168,3193,3309,3330,3370,3393",0.502000,145.58,181.98
Algeria,3|0.127,Bronze,2750,0.127000,36.83,55.24
Algeria,3|0.198,Bronze,3001,0.198000,57.42,80.39
Algeria,3|0.295,Bronze,3335,0.295000,85.55,119.77
Algeria,3|0.366,Bronze,3371,0.366000,106.14,132.68
Ethiopia,3|0.094,Bronze,2266,0.094000,27.26,40.89
Ethiopia,3|0.502,Bronze,"2579,3193,3309,3370,3393",0.502000,145.58,181.98
Ethiopia,3|0.127,Bronze,2750,0.127000,36.83,55.24
Ethiopia,3|0.198,Bronze,3001,0.198000,57.42,80.39
Ethiopia,3|0.376,Bronze,3168,0.376000,109.04,136.30
Ethiopia,3|0.196,Bronze,3371,0.196000,56.84,79.58
Mozambique,3|0.094,Bronze,2266,0.094000,27.26,40.89
Mozambique,3|0.191,Bronze,"2579,3309,3370,3371,3393",0.191000,55.39,77.55
Angola,3|0.094,Bronze,2266,0.094000,27.26,40.89
Angola,3|0.502,Bronze,"2579,2750,3160,3193,3309,3370,3393",0.502000,145.58,181.98
Angola,3|0.198,Bronze,3001,0.198000,57.42,80.39
Angola,3|0.366,Bronze,3371,0.366000,106.14,132.68
Ukraine,3|0.316,Bronze,2263,0.316000,91.64,128.30
Ukraine,3|0.502,Bronze,"2579,2750,3193,3330,3370",0.502000,145.58,181.98
Ukraine,3|0.478,Bronze,2738,0.478000,138.62,173.28
Ukraine,3|0.198,Bronze,3001,0.198000,57.42,80.39
Ukraine,3|0.376,Bronze,3168,0.376000,109.04,136.30
Ukraine,3|0.059,Bronze,"3309,3328,3371,3418",0.059000,17.11,34.22
Ukraine,3|0.148,Bronze,3335,0.148000,42.92,64.38
Ukraine,3|0.112,Bronze,3340,0.112000,32.48,48.72
Ukraine,3|0.094,Bronze,3393,0.094000,27.26,40.89
Egypt,3|0.094,Bronze,2266,0.094000,27.26,40.89
Egypt,3|0.191,Bronze,"2579,2750,3160,3193,3330,3340,3370,3393",0.191000,55.39,77.55
Egypt,3|0.143,Bronze,3168,0.143000,41.47,62.20
Brazil,3|0.178,Bronze,2263,0.178000,51.62,72.27
Brazil,3|0.094,Bronze,2266,0.094000,27.26,40.89
Brazil,3|0.376,Bronze,"2404,3229,3264",0.376000,109.04,136.30
Brazil,3|0.502,Bronze,"2579,2750,3160,3193,3309,3365,3370,3406,3415",0.502000,145.58,181.98
Brazil,3|0.412,Bronze,2738,0.412000,119.48,149.35
Brazil,3|0.072,Bronze,2739,0.072000,20.88,31.32
Brazil,3|0.118,Bronze,2840,0.118000,34.22,51.33
Brazil,3|0.202,Bronze,2906,0.202000,58.58,82.01
Brazil,3|0.043,Bronze,"2951,3246",0.043000,12.47,24.94
Brazil,3|0.198,Bronze,3001,0.198000,57.42,80.39
Brazil,3|0.031,Bronze,"3089,3393",0.031000,8.99,17.98
Brazil,3|0.004,Bronze,"3104,3412,3413",0.004000,1.16,2.32
Brazil,3|0.227,Bronze,3215,0.227000,65.83,92.16
Brazil,3|0.008,Bronze,3237,0.008000,2.32,4.64
Brazil,3|0.078,Bronze,3252,0.078000,22.62,33.93
Brazil,3|0.074,Bronze,3335,0.074000,21.46,32.19
Brazil,3|0.051,Bronze,3367,0.051000,14.79,29.58
Brazil,3|0.035,Bronze,3398,0.035000,10.15,20.30
Brazil,3|0.099,Bronze,3416,0.099000,28.71,43.06
Haiti,3|0.094,Bronze,2266,0.094000,27.26,40.89
Haiti,3|0.502,Bronze,"2579,2750,3193,3330,3370",0.502000,145.58,181.98
Haiti,3|0.198,Bronze,3001,0.198000,57.42,80.39
Iran,3|0.094,Bronze,2266,0.094000,27.26,40.89
Iran,3|0.192,Bronze,"2579,3193,3309,3330,3370,3371,3393",0.192000,55.68,77.95
Peru ,3|0.094,Bronze,2266,0.094000,27.26,40.89
Peru ,3|0.502,Bronze,"2579,2750,3160,3193,3309,3370,3371,3393",0.502000,145.58,181.98
Peru ,3|0.198,Bronze,3001,0.198000,57.42,80.39
Viet nam,3|0.089,Bronze,2217,0.089000,25.81,38.71
Viet nam,3|0.094,Bronze,2266,0.094000,27.26,40.89
Viet nam,3|0.054,Bronze,2318,0.054000,15.66,31.32
Viet nam,3|0.502,Bronze,"2579,2750,3193",0.502000,145.58,181.98
Viet nam,3|0.087,Bronze,2840,0.087000,25.23,37.84
Viet nam,3|0.198,Bronze,3001,0.198000,57.42,80.39
Viet nam,3|0.048,Bronze,"3160,3393,3421",0.048000,13.92,27.84
Viet nam,3|0.008,Bronze,3237,0.008000,2.32,4.64
Viet nam,3|0.103,Bronze,3335,0.103000,29.87,44.80
Zimbabwe,3|0.252,Bronze,"2579,3160,3370",0.252000,73.08,102.31
Zimbabwe,3|0.198,Bronze,3001,0.198000,57.42,80.39
Nepal,3|0.094,Bronze,2266,0.094000,27.26,40.89
Nepal,3|0.502,Bronze,"2579,3193,3370",0.502000,145.58,181.98
Nepal,3|0.198,Bronze,3001,0.198000,57.42,80.39
Uzbekistan,3|0.191,Bronze,"2579,3160,3193,3309,3330,3370,3393",0.191000,55.39,77.55
Uzbekistan,3|0.143,Bronze,3168,0.143000,41.47,62.20
Nigeria,3|0.094,Bronze,2266,0.094000,27.26,40.89
Nigeria,3|0.22,Bronze,"2579,2750,3160,3193,3309,3330,3370,3393",0.220000,63.80,89.32
Nigeria,3|0.198,Bronze,3001,0.198000,57.42,80.39
Nigeria,3|0.166,Bronze,3168,0.166000,48.14,72.21
Nigeria,3|0.207,Bronze,3335,0.207000,60.03,84.04
Swaziland,3|0.094,Bronze,2266,0.094000,27.26,40.89
Swaziland,3|0.198,Bronze,3001,0.198000,57.42,80.39
Swaziland,3|0.252,Bronze,"3309,3370,3393",0.252000,73.08,102.31
Congo (Dem. Republic),3|0.252,Bronze,"2260,2750,3160,3330,3370",0.252000,73.08,102.31
Congo (Dem. Republic),3|0.094,Bronze,2266,0.094000,27.26,40.89
Congo (Dem. Republic),3|0.19,Bronze,2920,0.190000,55.10,77.14
Congo (Dem. Republic),3|0.198,Bronze,3001,0.198000,57.42,80.39
France,3|0.2,Bronze,2263,0.200000,58.00,81.20
France,3|0.094,Bronze,2266,0.094000,27.26,40.89
France,3|0.235,Bronze,"2442,2579,2738,2750,3160,3193,3309,3370,3393,3403",0.235000,68.15,95.41
France,3|0.127,Bronze,2739,0.127000,36.83,55.24
France,3|0.122,Bronze,2840,0.122000,35.38,53.07
France,3|0.198,Bronze,3001,0.198000,57.42,80.39
France,3|0.177,Bronze,3168,0.177000,51.33,71.86
France,3|0.08,Bronze,3237,0.080000,23.20,34.80
France,3|0.104,Bronze,"3270,3329,3371,3414,3418",0.104000,30.16,45.24
France,3|0.222,Bronze,3335,0.222000,64.38,90.13
Botswana,3|0.094,Bronze,2266,0.094000,27.26,40.89
Botswana,3|0.198,Bronze,3001,0.198000,57.42,80.39
Botswana,3|0.252,Bronze,"3160,3309,3328,3370,3371,3393",0.252000,73.08,102.31
Mexico,3|0.502,Bronze,"2579,2750,3193,3330,3370",0.502000,145.58,181.98
Mexico,3|0.294,Bronze,2840,0.294000,85.26,119.36
Mexico,3|0.198,Bronze,3001,0.198000,57.42,80.39
Mexico,3|0.349,Bronze,3094,0.349000,101.21,126.51
Mexico,3|0.011,Bronze,3160,0.011000,3.19,6.38
Mexico,3|0.262,Bronze,3237,0.262000,75.98,106.37
Mexico,3|0.404,Bronze,3414,0.404000,117.16,146.45
Tanzania,3|0.094,Bronze,2266,0.094000,27.26,40.89
Tanzania,3|0.384,Bronze,"2579,2750,3160,3193",0.384000,111.36,139.20
Tanzania,3|0.198,Bronze,3001,0.198000,57.42,80.39
Tanzania,3|0.288,Bronze,3168,0.288000,83.52,116.93
Sri Lanka,3|0.094,Bronze,2266,0.094000,27.26,40.89
Sri Lanka,3|0.143,Bronze,3168,0.143000,41.47,62.20
Sri Lanka,3|0.191,Bronze,"3193,3370",0.191000,55.39,77.55
