Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.415,3,2750,0.415000,116.20,145.25
South Africa,3|0.418,3,"2579,3330,2567,3370,3168",0.418000,117.04,146.30
South Africa,3|0.118,3,2217,0.118000,33.04,66.08
South Africa,3|0.129,3,2266,0.129000,36.12,72.24
South Africa,3|0.198,3,3001,0.198000,55.44,77.62
South Africa,3|0.12,3,3182,0.120000,33.60,67.20
South Africa,3|0.04,3,3160,0.040000,11.20,22.40
South Africa,3|0.075,3,3109,0.075000,21.00,42.00
South Africa,3|0.016,3,3237,0.016000,4.48,8.96
South Africa,3|0.039,3,2649,0.039000,10.92,21.84
South Africa,3|0.032,3,2984,0.032000,8.96,17.92
South Africa,3|0.038,3,3155,0.038000,10.64,21.28
South Africa,3|0.071,3,2742,0.071000,19.88,39.76
South Africa,3|0.094,3,2812,0.094000,26.32,52.64
South Africa,3|0.024,3,2944,0.024000,6.72,13.44
India,3|0.335,3,"2750,2579,3330,3370,3309",0.335000,93.80,131.32
India,2|0.12,2,"2268,3182",0.120000,33.60,67.20
India,2|0.129,2,2266,0.129000,36.12,72.24
India,2|0.118,2,3193,0.118000,33.04,66.08
India,3|0.134,3,3160,0.134000,37.52,75.04
India,3|0.267,3,3406,0.267000,74.76,104.66
India,3|0.222,3,3335,0.222000,62.16,87.02
Pakistan,3|0.198,3,3001,0.198000,55.44,77.62
Pakistan,2|0.12,2,3182,0.120000,33.60,67.20
Pakistan,1|0.118,1,3193,0.118000,33.04,66.08
Pakistan,3|0.335,3,"3160,2579,3309,3370",0.335000,93.80,131.32
Pakistan,3|0.148,3,3335,0.148000,41.44,82.88
Pakistan,3|0.174,3,3371,0.174000,48.72,97.44
Bangladesh,3|0.335,3,"2579,3160,3370",0.335000,93.80,131.32
Bangladesh,3|0.198,3,3001,0.198000,55.44,77.62
Bangladesh,2|0.12,2,3182,0.120000,33.60,67.20
Bangladesh,3|0.178,3,"3309,3335",0.178000,49.84,99.68
Bangladesh,3|0.086,3,3168,0.086000,24.08,48.16
Bangladesh,3|0.239,3,3371,0.239000,66.92,93.69
Zambia,3|0.335,3,"2750,2579,3370",0.335000,93.80,131.32
Zambia,3|0.129,3,2266,0.129000,36.12,72.24
Zambia,3|0.198,3,3001,0.198000,55.44,77.62
Zambia,3|0.12,3,3182,0.120000,33.60,67.20
Zambia,1|0.118,1,3193,0.118000,33.04,66.08
Zambia,3|0.1,3,3160,0.100000,28.00,56.00
Zambia,3|0.295,3,"3371,3418",0.295000,82.60,115.64
Zambia,3|0.311,3,3335,0.311000,87.08,121.91
Zambia,3|0.202,3,3309,0.202000,56.56,79.18
Namibia,3|0.129,3,2266,0.129000,36.12,72.24
Namibia,3|0.198,3,3001,0.198000,55.44,77.62
Namibia,3|0.335,3,"2579,3370,3428,3371,3309",0.335000,93.80,131.32
Namibia,3|0.12,3,3182,0.120000,33.60,67.20
Namibia,3|0.067,3,3178,0.067000,18.76,37.52
