Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
United States,3|1.026,Bronze,2617,1.026000,297.54,357.05
United States,1|0.295,Gold,3170,0.295000,85.55,119.77
United States,3|0.322,Bronze,3196,0.322000,93.38,130.73
United States,3|5.011,Bronze,2263,5.011000,1453.19,1743.83
United States,3|2.884,Bronze,2738,2.884000,836.36,1003.63
United States,3|1.11,Bronze,3193,1.110000,321.90,386.28
United States,3|0.179,Bronze,2495,0.179000,51.91,72.67
United States,3|0.247,Bronze,3237,0.247000,71.63,100.28
United States,3|4.422,Bronze,3370,4.422000,1282.38,1538.86
Japan,3|11.789,Bronze,"2750,3160",11.789000,3418.81,4102.57
Kosovo,3|0.063,Bronze,3168,0.063000,18.27,36.54
United States (virtual),3|0.226,Bronze,"2262,2750,2442,3193,3160,3309,3393,3406,3335,3418,3328",0.226000,65.54,91.76
United States (virtual),1|0.004,Gold,"2430,3209,2681,2620",0.004000,1.16,2.32
United States (virtual),3|0.004,Bronze,"2440,2441,2767,2748,2784,2677,2524,2568,3212",0.004000,1.16,2.32
United States (virtual),3|0.012,Bronze,3154,0.012000,3.48,6.96
Gibraltar,3|5.305,Bronze,2750,5.305000,1538.45,1846.14
