Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
India,3|0.046,Bronze,"2805,2750,3193,3160,3330,3406,3370,3371,3309,3393",0.046000,13.34,26.68
Brazil,3|0.046,Bronze,"2750,3160,3215,3193,3365,3393,3406,3370,3415,3264,3246,3309",0.046000,13.34,26.68
Brazil,3|0.031,Bronze,"3089,3371",0.031000,8.99,17.98
Brazil,3|0.043,Bronze,2263,0.043000,12.47,24.94
Brazil,3|0.027,Bronze,2739,0.027000,7.83,15.66
Brazil,3|0.036,Bronze,2738,0.036000,10.44,20.88
Brazil,3|0.035,Bronze,"2951,3252",0.035000,10.15,20.30
Brazil,3|0.02,Bronze,"3367,3229",0.020000,5.80,11.60
Brazil,3|0.004,Bronze,"3104,3413,3412",0.004000,1.16,2.32
Brazil,3|0.024,Bronze,"2906,3398",0.024000,6.96,13.92
Brazil,2|0.02,Silver,2404,0.020000,5.80,11.60
Brazil,3|0.023,Bronze,3416,0.023000,6.67,13.34
Viet nam,3|0.1,Bronze,"2750,3193,2579",0.100000,29.00,43.50
Viet nam,3|0.075,Bronze,"3160,3393,3421",0.075000,21.75,32.63
Viet nam,3|0.063,Bronze,3335,0.063000,18.27,36.54
Uzbekistan,3|0.091,Bronze,"3160,3193,3330,3370,3309,3393",0.091000,26.39,39.59
Uzbekistan,3|0.068,Bronze,3168,0.068000,19.72,39.44
Myanmar,3|0.051,Bronze,"3160,3193,2579",0.051000,14.79,29.58
Morocco,3|0.079,Bronze,"2750,3193,3160,3330,3370",0.079000,22.91,34.37
Morocco,3|0.058,Bronze,"2738,3340,3393",0.058000,16.82,33.64
Morocco,3|0.043,Bronze,2263,0.043000,12.47,24.94
Morocco,3|0.016,Bronze,3237,0.016000,4.64,9.28
Morocco,3|0.035,Bronze,3309,0.035000,10.15,20.30
Morocco,3|0.074,Bronze,3335,0.074000,21.46,32.19
Kazakhstan,3|0.047,Bronze,"2750,2738,3193,3330,3370,3421,3309,3393",0.047000,13.63,27.26
Kazakhstan,3|0.011,Bronze,3168,0.011000,3.19,6.38
Kazakhstan,3|0.045,Bronze,"3335,3371",0.045000,13.05,26.10
Kazakhstan,3|0.035,Bronze,2263,0.035000,10.15,20.30
Kyrgyzstan,3|0.027,Bronze,"2750,3193,3330,3370,3371,3393,3309",0.027000,7.83,15.66
Thailand,3|0.079,Bronze,"2750,3193,3160,3340,3393,3370,3309",0.079000,22.91,34.37
Lao People`s,3|0.051,Bronze,"3193,3330,2260,3370,3418",0.051000,14.79,29.58
Lao People`s,3|0.039,Bronze,"2920,3421",0.039000,11.31,22.62
Malaysia,3|0.067,Bronze,"2750,3193,3393,3370,3168,3309",0.067000,19.43,38.86
Malaysia,3|0.056,Bronze,3237,0.056000,16.24,32.48
Malaysia,3|0.051,Bronze,3421,0.051000,14.79,29.58
Dominican Republic,3|0.091,Bronze,"2750,2260,3370",0.091000,26.39,39.59
Dominican Republic,3|0.082,Bronze,2920,0.082000,23.78,35.67
Armenia,3|0.091,Bronze,"2750,3193,3370,3371,3309,3393",0.091000,26.39,39.59
Indonesia,3|0.004,Bronze,"2295,3168,1329,3251,3424,3426,3061,2982,3425,3347,3339",0.004000,1.16,2.32
Indonesia,3|0.039,Bronze,"2750,2579,2738,3193,3340,3330,3393,3406,3370,3427,2442,2434,3309,1085,3353,3384,3127,3206,3377,3224",0.039000,11.31,22.62
Indonesia,3|0.018,Bronze,"3160,3333",0.018000,5.22,10.44
Indonesia,3|0.034,Bronze,2263,0.034000,9.86,19.72
Indonesia,3|0.022,Bronze,2739,0.022000,6.38,12.76
Indonesia,1|0.008,Gold,3237,0.008000,2.32,4.64
Indonesia,3|0.038,Bronze,3335,0.038000,11.02,22.04
Indonesia,3|0.006,Bronze,3029,0.006000,1.74,3.48
Indonesia,3|0.007,Bronze,"3355,3327,3308,2992",0.007000,2.03,4.06
Indonesia,3|0.03,Bronze,54,0.030000,8.70,17.40
Indonesia,1|0.004,Gold,"3027,3334,3417",0.004000,1.16,2.32
Indonesia,3|0.036,Bronze,1170,0.036000,10.44,20.88
Kosovo,3|0.063,Bronze,3168,0.063000,18.27,36.54
Gibraltar,3|0.351,Bronze,"2750,2579",0.351000,101.79,127.24
