Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,Silver,2217,0.042000,11.76,18.82
South Africa,Bronze,"2266,3182",0.054000,15.12,24.19
South Africa,Bronze,3001,0.099000,27.72,41.58
South Africa,Bronze,"2579,3330,3370,3168,2260,3271",0.134000,37.52,56.28
South Africa,Silver,3109,0.046000,12.88,20.61
South Africa,Bronze,3335,0.058000,16.24,25.98
South Africa,Gold,3042,0.063000,17.64,28.22
South Africa,Bronze,2920,0.072000,20.16,30.24
South Africa,Bronze,2649,0.034000,9.52,15.23
South Africa,Bronze,"2984,2944",0.055000,15.40,24.64
South Africa,Bronze,2742,0.068000,19.04,30.46
South Africa,Bronze,2812,0.052000,14.56,23.30
South Africa,Bronze,3205,0.048000,13.44,21.50
India,Silver,2805,0.064000,17.92,28.67
India,Bronze,"2268,2266",0.054000,15.12,24.19
India,Bronze,3001,0.099000,27.72,41.58
India,Bronze,"2579,3330,3406,3370,3309,3042,2260,3271",0.134000,37.52,56.28
India,Bronze,3193,0.067000,18.76,30.02
India,Bronze,3160,0.124000,34.72,52.08
India,Bronze,3335,0.103000,28.84,43.26
India,Bronze,2920,0.072000,20.16,30.24
Pakistan,Bronze,3001,0.099000,27.72,41.58
Pakistan,Bronze,"2579,3042,2260,3271",0.134000,37.52,56.28
Pakistan,Bronze,3182,0.054000,15.12,24.19
Pakistan,Bronze,3193,0.067000,18.76,30.02
Pakistan,Bronze,"3160,3371",0.059000,16.52,26.43
Pakistan,Bronze,3178,0.027000,7.56,12.10
Pakistan,Bronze,3335,0.026000,7.28,11.65
Pakistan,Bronze,2920,0.072000,20.16,30.24
Bangladesh,Bronze,"2579,3160,3370,3042,2260,3271",0.143000,40.04,60.06
Bangladesh,Bronze,3001,0.099000,27.72,41.58
Bangladesh,Bronze,3182,0.054000,15.12,24.19
Bangladesh,Bronze,3168,0.038000,10.64,17.02
Bangladesh,Bronze,3371,0.102000,28.56,42.84
Bangladesh,Bronze,2920,0.072000,20.16,30.24
Zambia,Bronze,"2750,2579,3370,2260,3271,3042",0.143000,40.04,60.06
Zambia,Silver,2266,0.054000,15.12,24.19
Zambia,Bronze,3001,0.099000,27.72,41.58
Zambia,Bronze,3182,0.054000,15.12,24.19
Zambia,Bronze,3193,0.067000,18.76,30.02
Zambia,Bronze,3160,0.040000,11.20,17.92
Zambia,Bronze,2920,0.063000,17.64,28.22
Zambia,Bronze,3335,0.089000,24.92,37.38
Zambia,Bronze,"3371,3418",0.084000,23.52,35.28
Zambia,Bronze,3309,0.094000,26.32,39.48
Namibia,Bronze,"2266,3182",0.054000,15.12,24.19
Namibia,Bronze,3001,0.099000,27.72,41.58
Namibia,Bronze,"2579,3370,3371,3309,3042,2260,3271",0.143000,40.04,60.06
Namibia,Bronze,3335,0.142000,39.76,59.64
Namibia,Bronze,2920,0.063000,17.64,28.22
Papua new gvineya,Bronze,"2266,3182",0.054000,15.12,24.19
Papua new gvineya,Bronze,3001,0.099000,27.72,41.58
Papua new gvineya,Bronze,3370,0.143000,40.04,60.06
Papua new gvineya,Bronze,3335,0.142000,39.76,59.64
Algeria,Bronze,"2750,3330,3370,2579,3371,3309,3042,2260,3271",0.134000,37.52,56.28
Algeria,Bronze,2266,0.054000,15.12,24.19
Algeria,Bronze,3001,0.099000,27.72,41.58
Algeria,Gold,3182,0.054000,15.12,24.19
Algeria,Bronze,3193,0.067000,18.76,30.02
Algeria,Bronze,3160,0.018000,5.04,8.06
Algeria,Bronze,3178,0.039000,10.92,17.47
Algeria,Bronze,2920,0.063000,17.64,28.22
Algeria,Bronze,3335,0.132000,36.96,55.44
Ethiopia,Bronze,"2750,2579,3370,3371,3309,2260,3042,3271",0.143000,40.04,60.06
Ethiopia,Bronze,"2266,3182",0.054000,15.12,24.19
Ethiopia,Bronze,3001,0.099000,27.72,41.58
Ethiopia,Bronze,3193,0.067000,18.76,30.02
Ethiopia,Bronze,3168,0.090000,25.20,37.80
Ethiopia,Bronze,2920,0.063000,17.64,28.22
Mozambique,Silver,2266,0.054000,15.12,24.19
Mozambique,Bronze,3001,0.099000,27.72,41.58
Mozambique,Bronze,3182,0.054000,15.12,24.19
Mozambique,Bronze,"2579,3411,3370,3309,3042,2260,3271",0.143000,40.04,60.06
Mozambique,Bronze,2920,0.063000,17.64,28.22
Angola,Bronze,"2750,2579,2567,3309,2260,3271",0.215000,60.20,84.28
Angola,Silver,2266,0.054000,15.12,24.19
Angola,Bronze,3001,0.099000,27.72,41.58
Angola,Bronze,3182,0.054000,15.12,24.19
Angola,Bronze,3193,0.067000,18.76,30.02
Angola,Bronze,3160,0.070000,19.60,31.36
Angola,Bronze,3335,0.082000,22.96,34.44
Angola,Bronze,3371,0.154000,43.12,64.68
Ukraine,Bronze,"2263,2739",0.267000,74.76,104.66
Ukraine,Bronze,2750,0.118000,33.04,49.56
Ukraine,Bronze,3001,0.099000,27.72,41.58
Ukraine,Bronze,"2738,3328,3340,3418",0.635000,177.80,222.25
Ukraine,Bronze,"2579,3330,2567,3370,3042,2260,3271",0.667000,186.76,233.45
Ukraine,Bronze,3182,0.054000,15.12,24.19
Ukraine,Bronze,3193,0.067000,18.76,30.02
Ukraine,Bronze,"3309,3371",0.162000,45.36,68.04
Ukraine,Bronze,3237,0.104000,29.12,43.68
Ukraine,Bronze,3178,0.082000,22.96,34.44
Ukraine,Bronze,3168,0.090000,25.20,37.80
Ukraine,Bronze,3177,0.200000,56.00,78.40
Ukraine,Bronze,3248,0.334000,93.52,130.93
Egypt,Bronze,"2750,2579,3330,3160,3370,2260,3042",0.143000,40.04,60.06
Egypt,Bronze,"2266,3182",0.054000,15.12,24.19
Egypt,Bronze,3001,0.099000,27.72,41.58
Egypt,Bronze,3193,0.067000,18.76,30.02
Egypt,Silver,3237,0.039000,10.92,17.47
Egypt,Bronze,"3309,3340",0.052000,14.56,23.30
Brazil,Bronze,"2750,2739",0.068000,19.04,30.46
Brazil,Bronze,"2266,3182",0.054000,15.12,24.19
Brazil,Bronze,"3089,3018,2951,3406,3405,2920,3246,2404",0.063000,17.64,28.22
Brazil,Bronze,3001,0.099000,27.72,41.58
Brazil,Bronze,3160,0.039000,10.92,17.47
Brazil,Bronze,"2579,2263,3370,3309,3330,3042,3435,2260,3271,3264",0.134000,37.52,56.28
Brazil,Bronze,2738,0.070000,19.60,31.36
Brazil,Bronze,3193,0.067000,18.76,30.02
Brazil,Silver,3215,0.052000,14.56,23.30
Brazil,Bronze,3365,0.062000,17.36,27.78
Brazil,Silver,3252,0.064000,17.92,28.67
Brazil,Gold,3335,0.050000,14.00,22.40
Brazil,Bronze,3367,0.056000,15.68,25.09
Brazil,Bronze,3371,0.051000,14.28,22.85
Brazil,Bronze,2906,0.055000,15.40,24.64
Brazil,Bronze,3015,0.071000,19.88,31.81
Brazil,Bronze,3412,0.047000,13.16,21.06
Brazil,Bronze,3413,0.048000,13.44,21.50
Brazil,Silver,"3398,3229",0.063000,17.64,28.22
Brazil,Gold,"3437,3439",0.063000,17.64,28.22
