Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.004,3,2750,0.004000,1.16,8.12
South Africa,3|0.251,3,"2579,3160,3330,3370,3168",0.251000,72.79,104.10
South Africa,3|0.08,3,2266,0.080000,23.20,162.40
South Africa,3|0.062,3,"2840,2742",0.062000,17.98,125.86
South Africa,3|0.007,3,2649,0.007000,2.03,14.21
South Africa,3|0.188,3,2984,0.188000,54.52,77.97
South Africa,3|0.006,3,"3155,2944",0.006000,1.74,12.18
South Africa,3|0.047,3,2812,0.047000,13.63,95.41
South Africa,3|0.011,3,2849,0.011000,3.19,22.33
India,3|0.118,3,"2805,2750,2579,3330,3406,3370,3309",0.118000,34.22,239.54
India,3|0.08,3,"2268,2266",0.080000,23.20,162.40
India,3|0.094,3,3193,0.094000,27.26,190.82
India,3|0.04,3,"3160,3371",0.040000,11.60,81.20
India,3|0.031,3,2920,0.031000,8.99,62.93
Pakistan,3|0.138,3,"2579,3193,3160,3309,3370",0.138000,40.02,280.14
Pakistan,3|0.007,3,3168,0.007000,2.03,14.21
Bangladesh,3|0.115,3,"2579,3160,2567,3370,3371",0.115000,33.35,233.45
Bangladesh,3|0.03,3,"3309,3335",0.030000,8.70,60.90
Bangladesh,3|0.004,3,3178,0.004000,1.16,8.12
Bangladesh,3|0.071,3,3168,0.071000,20.59,144.13
Zambia,3|0.152,3,"2750,3193,3370,2579,3418",0.152000,44.08,308.56
Zambia,3|0.08,3,2266,0.080000,23.20,162.40
Zambia,3|0.114,3,3160,0.114000,33.06,231.42
Zambia,3|0.115,3,2920,0.115000,33.35,233.45
Zambia,3|0.048,3,3371,0.048000,13.92,97.44
Zambia,3|0.027,3,3309,0.027000,7.83,54.81
Namibia,3|0.08,3,2266,0.080000,23.20,162.40
Namibia,3|0.103,3,3178,0.103000,29.87,209.09
Namibia,3|0.136,3,"3370,2579,3371,3309",0.136000,39.44,276.08
Papua new gvineya,3|0.08,3,2266,0.080000,23.20,162.40
Papua new gvineya,3|0.127,3,3370,0.127000,36.83,257.81
Algeria,3|0.09,3,"2750,2579,3193,3160,3330,3370,3371,3309,3168",0.090000,26.10,182.70
Algeria,3|0.08,3,2266,0.080000,23.20,162.40
Algeria,3|0.067,3,2920,0.067000,19.43,136.01
Ethiopia,3|0.115,3,"2750,2579,3193,3370,3371,3309",0.115000,33.35,233.45
Ethiopia,3|0.08,3,2266,0.080000,23.20,162.40
Ethiopia,3|0.087,3,3168,0.087000,25.23,176.61
Mozambique,3|0.08,3,2266,0.080000,23.20,162.40
Mozambique,3|0.178,3,"2579,3411,3370,3309",0.178000,51.62,73.83
Mozambique,3|0.13,3,3371,0.130000,37.70,263.90
Angola,3|0.215,3,"2750,2579,3193,3160,2567,3370,3309",0.215000,62.35,89.17
Angola,3|0.08,3,2266,0.080000,23.20,162.40
Angola,3|0.162,3,2920,0.162000,46.98,328.86
Angola,3|0.156,3,3371,0.156000,45.24,316.68
Ukraine,3|0.093,3,"2750,2579,3193,3330,2567,3370",0.093000,26.97,188.79
Ukraine,3|0.06,3,2263,0.060000,17.40,121.80
Ukraine,3|0.089,3,2738,0.089000,25.81,180.67
Ukraine,3|0.024,3,"3309,3328,3340,3418,3371",0.024000,6.96,48.72
Ukraine,3|0.07,3,2920,0.070000,20.30,142.10
Ukraine,3|0.02,3,3335,0.020000,5.80,40.60
Ukraine,3|0.04,3,3178,0.040000,11.60,81.20
Egypt,3|0.178,3,"2750,2579,3330,2567,3370",0.178000,51.62,73.83
Egypt,3|0.08,3,2266,0.080000,23.20,162.40
Egypt,3|0.094,3,3193,0.094000,27.26,190.82
Egypt,3|0.014,3,3237,0.014000,4.06,28.42
Egypt,3|0.054,3,"3309,3340",0.054000,15.66,109.62
Egypt,3|0.134,3,"3160,3168",0.134000,38.86,272.02
Egypt,3|0.118,3,2920,0.118000,34.22,239.54
Brazil,3|0.055,3,"2750,2739",0.055000,15.95,111.65
Brazil,3|0.502,3,3089,0.502000,145.58,184.90
Brazil,3|0.08,3,"2266,3415",0.080000,23.20,162.40
Brazil,3|0.174,3,3160,0.174000,50.46,72.17
Brazil,3|0.667,3,"2579,3193,2567,3406,3370,3178,3309,3398",0.667000,193.43,245.68
Brazil,3|0.14,3,2263,0.140000,40.60,284.20
Brazil,3|0.415,3,2738,0.415000,120.35,152.86
Brazil,3|0.078,3,2840,0.078000,22.62,158.34
Brazil,1|0.008,1,3237,0.008000,2.32,16.24
Brazil,3|0.05,3,2951,0.050000,14.50,101.50
Brazil,3|0.091,3,3365,0.091000,26.39,184.73
Brazil,3|0.094,3,3367,0.094000,27.26,190.82
Brazil,3|0.107,3,3252,0.107000,31.03,217.21
Brazil,3|0.015,3,3215,0.015000,4.35,30.45
Brazil,3|0.027,3,3335,0.027000,7.83,54.81
Brazil,3|0.01,3,2920,0.010000,2.90,20.30
Brazil,3|0.022,3,3371,0.022000,6.38,44.66
Brazil,3|0.338,3,3264,0.338000,98.02,140.19
Brazil,2|0.015,2,"3246,3229",0.015000,4.35,30.45
Brazil,3|0.004,3,3104,0.004000,1.16,8.12
Brazil,3|0.5,3,2906,0.500000,145.00,184.16
Brazil,2|0.01,2,3413,0.010000,2.90,20.30
Brazil,1|0.01,1,3412,0.010000,2.90,20.30
Brazil,1|0.015,1,2404,0.015000,4.35,30.45
Brazil,3|0.07,3,3416,0.070000,20.30,142.10
Haiti,3|0.502,3,"2750,2579,3193,3330,3370,3371,3309",0.502000,145.58,184.90
Haiti,3|0.08,3,2266,0.080000,23.20,162.40
Haiti,3|0.178,3,3335,0.178000,51.62,73.83
Iran,3|0.08,3,2266,0.080000,23.20,162.40
Iran,3|0.174,3,"2579,3193,3330,3370,3371,3309",0.174000,50.46,72.17
Peru ,3|0.136,3,"2457,2750,2579,3193,3160,2567,3370,3371,3309",0.136000,39.44,276.08
Peru ,3|0.08,3,2266,0.080000,23.20,162.40
Peru ,3|0.103,3,"2920,3168",0.103000,29.87,209.09
Viet nam,3|0.1,3,"2750,2579,3193,2840",0.100000,29.00,203.00
Viet nam,3|0.08,3,2266,0.080000,23.20,162.40
Viet nam,3|0.02,3,"3160,3421",0.020000,5.80,40.60
Viet nam,3|0.014,3,3237,0.014000,4.06,28.42
Zimbabwe,3|0.127,3,"2579,3160,2567,3370",0.127000,36.83,257.81
Zimbabwe,3|0.007,3,3168,0.007000,2.03,14.21
Nepal,3|0.08,3,2266,0.080000,23.20,162.40
Nepal,3|0.178,3,"2579,3193,3411,3370,3371,3309",0.178000,51.62,73.83
Uzbekistan,3|0.191,3,"2579,3160,3193,3330,2567,3370,3309",0.191000,55.39,79.22
Uzbekistan,3|0.143,3,"3168,2920",0.143000,41.47,290.29
Nigeria,3|0.188,3,"2750,2579,3160,3330,3370,3309",0.188000,54.52,77.97
Nigeria,3|0.08,3,2266,0.080000,23.20,162.40
Nigeria,3|0.094,3,3193,0.094000,27.26,190.82
Nigeria,2|0.054,2,3237,0.054000,15.66,109.62
Nigeria,3|0.142,3,"3168,2920",0.142000,41.18,288.26
Nigeria,3|0.078,3,3335,0.078000,22.62,158.34
Swaziland,3|0.08,3,2266,0.080000,23.20,162.40
Swaziland,3|0.144,3,"3370,3309",0.144000,41.76,292.32
Congo (Dem. Republic),3|0.118,3,"2750,3160,3330,2260,3370",0.118000,34.22,239.54
Congo (Dem. Republic),3|0.08,3,2266,0.080000,23.20,162.40
Congo (Dem. Republic),3|0.089,3,2920,0.089000,25.81,180.67
France,3|0.251,3,"2750,2442",0.251000,72.79,104.10
France,3|0.118,3,2263,0.118000,34.22,239.54
France,3|0.14,3,2738,0.140000,40.60,284.20
France,3|5.883,3,"2579,3193,3160,2567,3403,3370,3309,3330",5.883000,1706.07,2166.88
France,3|0.08,3,"2266,3168",0.080000,23.20,162.40
