Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.004,3,2750,0.004000,1.12,1.68
South Africa,3|0.051,3,"3160,3330,3168,3155",0.051000,14.28,21.42
South Africa,3|0.006,3,2649,0.006000,1.68,2.52
South Africa,3|0.039,3,2984,0.039000,10.92,16.38
South Africa,3|0.04,3,3205,0.040000,11.20,16.80
South Africa,3|0.019,3,2742,0.019000,5.32,7.98
India,3|0.051,3,"2750,3193,3330,3309",0.051000,14.28,21.42
Pakistan,3|0.051,3,"3193,3160",0.051000,14.28,21.42
Bangladesh,3|0.051,3,"3160,3168",0.051000,14.28,21.42
Zambia,3|0.051,3,"2750,3160,3193",0.051000,14.28,21.42
Algeria,3|0.051,3,"2750,3193,3160,3330,3168",0.051000,14.28,21.42
Ethiopia,3|0.051,3,"2750,3193",0.051000,14.28,21.42
Ethiopia,3|0.039,3,3168,0.039000,10.92,16.38
Angola,3|0.051,3,"2750,3193,3160",0.051000,14.28,21.42
Ukraine,3|0.051,3,"2750,3193,3330",0.051000,14.28,21.42
Ukraine,3|0.036,3,2263,0.036000,10.08,15.12
Ukraine,3|0.048,3,2738,0.048000,13.44,20.16
Egypt,3|0.199,3,"2750,3330,3160,3340,3393,2579,3370",0.199000,55.72,78.01
Egypt,3|0.118,3,3193,0.118000,33.04,49.56
Egypt,3|0.15,3,3168,0.150000,42.00,63.00
Brazil,3|0.067,3,"2750,3160,3215,3193,3365,3367,3406,2579,3398",0.067000,18.76,28.14
Brazil,3|0.063,3,2263,0.063000,17.64,26.46
Brazil,3|0.045,3,2739,0.045000,12.60,18.90
Brazil,3|0.051,3,"2738,2404,3415,3413,3229,3246,2906,3412,3274",0.051000,14.28,21.42
Brazil,3|0.016,3,3252,0.016000,4.48,6.72
Brazil,3|0.011,3,3264,0.011000,3.08,4.62
Brazil,3|0.004,3,"3104,3287",0.004000,1.12,1.68
Haiti,3|0.051,3,"2750,3193,3330",0.051000,14.28,21.42
Iran,3|0.051,3,"3193,3330,3168",0.051000,14.28,21.42
