Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.314,3,"2579,3330,3370,3168",0.314000,91.06,127.48
South Africa,3|0.06,3,2217,0.060000,17.40,69.60
South Africa,3|0.054,3,2266,0.054000,15.66,62.64
South Africa,3|0.178,3,3001,0.178000,51.62,72.27
South Africa,1|0.262,1,3237,0.262000,75.98,106.37
South Africa,3|0.055,3,3109,0.055000,15.95,63.80
South Africa,3|0.074,3,3335,0.074000,21.46,85.84
South Africa,3|0.04,3,2649,0.040000,11.60,46.40
South Africa,3|0.058,3,3205,0.058000,16.82,67.28
South Africa,3|0.091,3,2742,0.091000,26.39,105.56
South Africa,3|0.043,3,2812,0.043000,12.47,49.88
India,3|0.316,3,"2805,2750,3160,3330,3406,3370,2579,3371,3309",0.316000,91.64,128.30
India,2|0.054,2,2266,0.054000,15.66,62.64
India,3|0.178,3,3001,0.178000,51.62,72.27
India,3|0.067,3,3193,0.067000,19.43,77.72
Pakistan,3|0.178,3,3001,0.178000,51.62,72.27
Pakistan,3|0.271,3,"3193,3160,2579,3370",0.271000,78.59,110.03
Pakistan,3|0.102,3,3309,0.102000,29.58,118.32
Pakistan,3|0.103,3,3371,0.103000,29.87,119.48
Bangladesh,3|0.178,3,3001,0.178000,51.62,72.27
Bangladesh,3|0.181,3,"3160,3370,3168,3371",0.181000,52.49,73.49
Zambia,3|0.316,3,"2750,3193,3370,3309,3418",0.316000,91.64,128.30
Zambia,3|0.054,3,2266,0.054000,15.66,62.64
Zambia,3|0.178,3,3001,0.178000,51.62,72.27
Zambia,3|0.238,3,3160,0.238000,69.02,96.63
Zambia,3|0.159,3,3371,0.159000,46.11,184.44
Algeria,3|0.316,3,"2750,3193,3160,3330,3370,3371,3309,3168",0.316000,91.64,128.30
Algeria,3|0.054,3,2266,0.054000,15.66,62.64
Algeria,3|0.178,3,3001,0.178000,51.62,72.27
Angola,3|0.316,3,"2750,3193,3370,2579,3309",0.316000,91.64,128.30
Angola,1|0.054,1,2266,0.054000,15.66,62.64
Angola,3|0.178,3,3001,0.178000,51.62,72.27
Angola,3|0.084,3,3160,0.084000,24.36,97.44
Angola,3|0.218,3,2840,0.218000,63.22,88.51
Ukraine,3|0.212,3,2263,0.212000,61.48,86.07
Ukraine,3|0.335,3,"2750,2579,3193,3330,3370",0.335000,97.15,136.01
Ukraine,3|0.178,3,3001,0.178000,51.62,72.27
Ukraine,3|0.323,3,2738,0.323000,93.67,131.14
Ukraine,3|0.131,3,3309,0.131000,37.99,151.96
Ukraine,3|0.091,3,3328,0.091000,26.39,105.56
Ukraine,3|0.196,3,3340,0.196000,56.84,79.58
Ukraine,3|0.148,3,3335,0.148000,42.92,171.68
Ukraine,3|0.251,3,3177,0.251000,72.79,101.91
Ukraine,3|0.104,3,3418,0.104000,30.16,120.64
Ukraine,3|0.239,3,3371,0.239000,69.31,97.03
Egypt,3|0.181,3,"2750,3330,3160,3340,3370",0.181000,52.49,73.49
Egypt,3|0.054,3,2266,0.054000,15.66,62.64
Egypt,3|0.178,3,3001,0.178000,51.62,72.27
Egypt,3|0.067,3,3193,0.067000,19.43,77.72
Brazil,3|0.24,3,"2750,2579,3193,3370,3309",0.240000,69.60,97.44
Brazil,3|0.127,3,3089,0.127000,36.83,147.32
Brazil,3|0.054,3,"2266,3160,3215,3398",0.054000,15.66,62.64
Brazil,3|0.178,3,3001,0.178000,51.62,72.27
Brazil,3|0.132,3,2263,0.132000,38.28,153.12
Brazil,3|0.159,3,2739,0.159000,46.11,184.44
