Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.187,3,2266,0.187000,54.23,75.93
South Africa,3|0.484,3,"2579,2750,3155,3168,3330,3370",0.484000,140.36,175.45
South Africa,2|0.004,2,2649,0.004000,1.16,5.80
South Africa,3|0.112,3,2742,0.112000,32.48,162.40
South Africa,3|0.036,3,2812,0.036000,10.44,52.20
South Africa,3|0.07,3,2944,0.070000,20.30,101.50
South Africa,3|0.007,3,2984,0.007000,2.03,10.15
South Africa,3|0.394,3,3001,0.394000,114.26,142.83
South Africa,3|0.106,3,3160,0.106000,30.74,153.70
South Africa,3|0.055,3,3205,0.055000,15.95,79.75
South Africa,3|0.008,3,3237,0.008000,2.32,11.60
South Africa,3|0.148,3,"3335,3393",0.148000,42.92,214.60
India,3|0.187,3,2266,0.187000,54.23,75.93
India,3|0.435,3,"2567,2579,2750,2805,3160,3309,3330,3370,3393,3406",0.435000,126.15,157.69
India,3|0.394,3,3001,0.394000,114.26,142.83
India,3|0.234,3,3193,0.234000,67.86,95.02
India,3|0.107,3,3335,0.107000,31.03,155.15
India,3|0.311,3,3371,0.311000,90.19,126.28
Pakistan,3|0.435,3,"2579,3160,3193,3370,3371,3393",0.435000,126.15,157.69
Pakistan,3|0.394,3,3001,0.394000,114.26,142.83
Bangladesh,3|0.451,3,"2579,3160,3168,3370,3371,3393",0.451000,130.79,163.49
Bangladesh,3|0.394,3,3001,0.394000,114.26,142.83
Bangladesh,3|0.406,3,3309,0.406000,117.74,147.18
Zambia,3|0.187,3,2266,0.187000,54.23,75.93
Zambia,3|0.316,3,2750,0.316000,91.64,128.31
Zambia,3|0.394,3,3001,0.394000,114.26,142.83
Zambia,3|0.502,3,"3160,3193,3309,3370,3371,3393,3418",0.502000,145.58,181.98
Namibia,3|0.187,3,2266,0.187000,54.23,75.93
Namibia,3|0.394,3,3001,0.394000,114.26,142.83
Namibia,3|0.502,3,3370,0.502000,145.58,181.98
Papua new gvineya,3|0.187,3,2266,0.187000,54.23,75.93
Papua new gvineya,3|0.394,3,3001,0.394000,114.26,142.83
Papua new gvineya,3|0.502,3,3370,0.502000,145.58,181.98
Algeria,3|0.187,3,2266,0.187000,54.23,75.93
Algeria,3|0.435,3,"2579,2750,3160,3168,3193,3309,3330,3370,3371,3393",0.435000,126.15,157.69
Algeria,3|0.394,3,3001,0.394000,114.26,142.83
Ethiopia,3|0.187,3,2266,0.187000,54.23,75.93
Ethiopia,3|0.502,3,"2579,3193,3309,3370,3393",0.502000,145.58,181.98
Ethiopia,3|0.136,3,2750,0.136000,39.44,197.20
Ethiopia,3|0.394,3,3001,0.394000,114.26,142.83
Ethiopia,3|0.276,3,3168,0.276000,80.04,112.07
Ethiopia,3|0.158,3,3371,0.158000,45.82,229.10
Mozambique,3|0.187,3,2266,0.187000,54.23,75.93
Mozambique,3|0.502,3,"2579,3370",0.502000,145.58,181.98
Mozambique,3|0.394,3,3001,0.394000,114.26,142.83
Angola,3|0.187,3,2266,0.187000,54.23,75.93
Angola,3|0.502,3,"2579,2750,3160,3193,3309,3370,3371,3393",0.502000,145.58,181.98
Angola,3|0.394,3,3001,0.394000,114.26,142.83
Ukraine,3|1,3,2263,1.000000,290.00,362.50
Ukraine,3|1.358,3,"2567,2579,2750,3193,3330,3370",1.358000,393.82,492.28
Ukraine,3|1.29,3,2738,1.290000,374.10,467.63
Ukraine,3|0.394,3,3001,0.394000,114.26,142.83
Ukraine,3|0.012,3,3178,0.012000,3.48,17.40
Ukraine,3|0.128,3,3237,0.128000,37.12,185.60
Ukraine,2|0.072,2,3309,0.072000,20.88,104.40
Ukraine,3|0.139,3,3328,0.139000,40.31,201.55
Ukraine,3|0.222,3,3335,0.222000,64.38,90.14
Ukraine,3|0.6,3,3340,0.600000,174.00,217.50
Ukraine,3|0.8,3,3371,0.800000,232.00,290.00
Ukraine,3|0.667,3,3393,0.667000,193.43,241.79
Ukraine,3|0.181,3,3418,0.181000,52.49,73.50
Egypt,3|0.187,3,2266,0.187000,54.23,75.93
Egypt,3|0.502,3,"2579,3160,3330,3370,3393",0.502000,145.58,181.98
Egypt,3|0.271,3,2750,0.271000,78.59,110.04
Egypt,3|0.394,3,3001,0.394000,114.26,142.83
Egypt,3|0.355,3,3168,0.355000,102.95,128.69
Egypt,3|0.234,3,3193,0.234000,67.86,95.02
Egypt,3|0.262,3,3237,0.262000,75.98,106.39
Egypt,3|0.295,3,"3309,3335",0.295000,85.55,119.79
Egypt,3|0.347,3,3340,0.347000,100.63,125.79
Brazil,3|0.192,3,2263,0.192000,55.68,77.96
Brazil,3|0.187,3,2266,0.187000,54.23,75.93
Brazil,2|0.014,2,2404,0.014000,4.06,20.30
Brazil,3|0.502,3,"2579,3160,3193,3309,3370,3406",0.502000,145.58,181.98
Brazil,3|0.38,3,2738,0.380000,110.20,137.75
Brazil,3|0.118,3,"2739,2750,2906",0.118000,34.22,171.10
Brazil,3|0.266,3,2840,0.266000,77.14,108.01
Brazil,1|0.007,1,"2951,3415",0.007000,2.03,10.15
Brazil,3|0.394,3,3001,0.394000,114.26,142.83
Brazil,3|0.079,3,3089,0.079000,22.91,114.55
Brazil,1|0.004,1,"3104,3412,3413",0.004000,1.16,5.80
Brazil,3|0.07,3,3215,0.070000,20.30,101.50
Brazil,1|0.014,1,3229,0.014000,4.06,20.30
Brazil,2|0.008,2,3237,0.008000,2.32,11.60
Brazil,3|0.007,3,3246,0.007000,2.03,10.15
Brazil,1|0.038,1,3252,0.038000,11.02,55.10
Brazil,3|0.267,3,3264,0.267000,77.43,108.42
Brazil,3|0.004,3,"3274,3287",0.004000,1.16,5.80
Brazil,3|0.099,3,3335,0.099000,28.71,143.55
Brazil,3|0.136,3,3365,0.136000,39.44,197.20
Brazil,3|0.078,3,3367,0.078000,22.62,113.10
Brazil,3|0.135,3,3371,0.135000,39.15,195.75
Brazil,3|0.111,3,3393,0.111000,32.19,160.95
Brazil,1|0.035,1,3398,0.035000,10.15,50.75
Haiti,3|0.187,3,2266,0.187000,54.23,75.93
Haiti,3|0.502,3,"2579,2750,3193,3330,3370",0.502000,145.58,181.98
Haiti,3|0.394,3,3001,0.394000,114.26,142.83
Iran,3|0.187,3,2266,0.187000,54.23,75.93
Iran,3|0.394,3,3001,0.394000,114.26,142.83
Iran,3|0.711,3,"3168,3193,3309,3330,3370,3371,3393",0.711000,206.19,257.74
Peru ,3|0.187,3,2266,0.187000,54.23,75.93
Peru ,3|0.182,3,2457,0.182000,52.78,73.90
Peru ,3|0.451,3,"2579,2750,3160,3193,3309,3370,3371,3393",0.451000,130.79,163.49
Peru ,3|0.394,3,3001,0.394000,114.26,142.83
Peru ,3|0.334,3,3168,0.334000,96.86,135.62
Viet nam,3|0.128,3,2217,0.128000,37.12,185.60
Viet nam,2|0.187,2,2266,0.187000,54.23,75.93
Viet nam,3|0.502,3,"2579,3193,3421",0.502000,145.58,181.98
Viet nam,3|0.1,3,2750,0.100000,29.00,145.00
Viet nam,3|0.147,3,2840,0.147000,42.63,213.15
Viet nam,3|0.394,3,3001,0.394000,114.26,142.83
Viet nam,3|0.035,3,3160,0.035000,10.15,50.75
Viet nam,3|0.111,3,"3335,3393",0.111000,32.19,160.95
Zimbabwe,3|0.502,3,"2567,2579,3160,3370",0.502000,145.58,181.98
Zimbabwe,3|0.394,3,3001,0.394000,114.26,142.83
Nepal,3|0.187,3,2266,0.187000,54.23,75.93
Nepal,3|0.502,3,"2579,3193,3370",0.502000,145.58,181.98
Nepal,3|0.394,3,3001,0.394000,114.26,142.83
Uzbekistan,3|0.446,3,"2579,3160,3193,3309,3330,3370,3393",0.446000,129.34,161.68
Uzbekistan,3|0.394,3,3001,0.394000,114.26,142.83
Uzbekistan,3|0.411,3,3168,0.411000,119.19,148.99
Uzbekistan,3|0.312,3,3335,0.312000,90.48,126.69
Nigeria,3|0.198,3,2217,0.198000,57.42,80.40
Nigeria,3|0.627,3,"2579,2750,3160,3309,3330,3370,3393",0.627000,181.83,227.29
Nigeria,3|0.394,3,3001,0.394000,114.26,142.83
Nigeria,3|0.132,3,3168,0.132000,38.28,191.40
Nigeria,3|0.234,3,3193,0.234000,67.86,95.02
Nigeria,3|0.522,3,3237,0.522000,151.38,189.22
Nigeria,3|0.59,3,3335,0.590000,171.10,213.88
Swaziland,3|0.187,3,2266,0.187000,54.23,75.93
Swaziland,3|0.394,3,3001,0.394000,114.26,142.83
Swaziland,3|0.502,3,"3309,3370,3393",0.502000,145.58,181.98
Congo (Dem. Republic),3|0.502,3,"2260,2750,3160,3330,3370",0.502000,145.58,181.98
Congo (Dem. Republic),3|0.187,3,2266,0.187000,54.23,75.93
Congo (Dem. Republic),3|0.376,3,2920,0.376000,109.04,136.30
