Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.004,3,"2750,2984",0.004000,1.16,8.12
South Africa,3|0.418,3,"2579,3330,3370,3428,3168,3155",0.418000,121.22,153.96
South Africa,3|0.086,3,3160,0.086000,24.94,174.58
South Africa,2|0.008,2,3237,0.008000,2.32,16.24
South Africa,3|0.036,3,3393,0.036000,10.44,73.08
South Africa,3|0.045,3,3335,0.045000,13.05,91.35
South Africa,3|0.006,3,2649,0.006000,1.74,12.18
South Africa,3|0.054,3,2812,0.054000,15.66,109.62
South Africa,3|0.06,3,2742,0.060000,17.40,121.80
South Africa,3|0.058,3,2944,0.058000,16.82,117.74
South Africa,3|0.066,3,2849,0.066000,19.14,133.98
India,3|0.051,3,"2805,3193,2579,3160,3330,3406,3370,3309,3393",0.051000,14.79,103.53
India,3|0.031,3,2750,0.031000,8.99,62.93
India,3|0.045,3,3335,0.045000,13.05,91.35
Ukraine,3|1.077,3,2263,1.077000,312.33,396.69
Ukraine,3|1.51,3,"2750,2579,3193,3330,2567,3370",1.510000,437.90,556.18
Ukraine,3|1.441,3,2738,1.441000,417.89,530.76
Ukraine,3|0.024,3,"3309,3328,3340,3393,3371,3418",0.024000,6.96,48.72
Ukraine,3|0.045,3,3335,0.045000,13.05,91.35
Ukraine,3|0.4,3,3177,0.400000,116.00,147.33
Brazil,3|0.046,3,"2750,2738",0.046000,13.34,93.38
Brazil,3|0.019,3,3089,0.019000,5.51,38.57
Brazil,3|0.059,3,"3160,2579,2263,3193,2951,3406,3370,3264,3246,3309,2906,3416,3229",0.059000,17.11,119.77
Brazil,3|0.042,3,2739,0.042000,12.18,85.26
Brazil,3|0.014,3,3215,0.014000,4.06,28.42
Brazil,3|0.008,3,3237,0.008000,2.32,16.24
Brazil,3|0.016,3,"3365,3415",0.016000,4.64,32.48
Brazil,3|0.022,3,"3393,3398",0.022000,6.38,44.66
Brazil,3|0.032,3,3367,0.032000,9.28,64.96
Brazil,3|0.031,3,3252,0.031000,8.99,62.93
Brazil,3|0.045,3,3335,0.045000,13.05,91.35
Brazil,3|0.004,3,3104,0.004000,1.16,8.12
Brazil,3|0.054,3,3413,0.054000,15.66,109.62
Brazil,3|0.03,3,3412,0.030000,8.70,60.90
Brazil,2|0.059,2,2404,0.059000,17.11,119.77
Viet nam,3|0.118,3,"2750,2579,3193,2567",0.118000,34.22,239.54
Viet nam,3|0.034,3,3160,0.034000,9.86,69.02
Viet nam,3|0.008,3,3237,0.008000,2.32,16.24
Viet nam,3|0.028,3,"3393,3421",0.028000,8.12,56.84
Viet nam,3|0.045,3,3335,0.045000,13.05,91.35
France,3|0.046,3,"2750,2442,3193,3389,3403,3370,3168,3309,3393,2579,3330",0.046000,13.34,93.38
France,3|0.026,3,"2263,2738",0.026000,7.54,52.78
France,3|0.024,3,2739,0.024000,6.96,48.72
France,3|0.038,3,3160,0.038000,11.02,77.14
France,3|0.011,3,3237,0.011000,3.19,22.33
France,3|0.02,3,"3329,3414,3418,3371",0.020000,5.80,40.60
France,3|0.045,3,3335,0.045000,13.05,91.35
France,3|0.042,3,3270,0.042000,12.18,85.26
Argentinas,3|0.046,3,"2286,2750,3160,3193,3393,2260,2920",0.046000,13.34,93.38
Argentinas,3|0.024,3,2263,0.024000,6.96,48.72
Argentinas,3|0.027,3,2738,0.027000,7.83,54.81
Argentinas,3|0.016,3,"2739,3056,2556",0.016000,4.64,32.48
Argentinas,3|0.045,3,3335,0.045000,13.05,91.35
Myanmar,3|0.051,3,"3160,3193,3330",0.051000,14.79,103.53
Kenya,3|0.047,3,"2750,3193,2738,2263,3160,3330,3370,3309,3393",0.047000,13.63,95.41
Kenya,3|0.015,3,3237,0.015000,4.35,30.45
Kenya,3|0.036,3,3340,0.036000,10.44,73.08
Kenya,3|0.045,3,3335,0.045000,13.05,91.35
Kazakhstan,3|0.046,3,"2750,2738,3193,3330,3370,3309,3393",0.046000,13.34,93.38
Kazakhstan,3|0.031,3,3168,0.031000,8.99,62.93
Kazakhstan,3|0.045,3,3335,0.045000,13.05,91.35
Kazakhstan,3|0.028,3,"3328,3421,3371",0.028000,8.12,56.84
Kazakhstan,3|0.043,3,2263,0.043000,12.47,87.29
Colombia,3|0.079,3,"2286,2750,3193,2579,3330,3406,3370",0.079000,22.91,160.37
Colombia,3|0.015,3,3160,0.015000,4.35,30.45
Colombia,3|0.018,3,"3243,3253",0.018000,5.22,36.54
Colombia,3|0.035,3,"3340,2236",0.035000,10.15,71.05
Colombia,3|0.074,3,3335,0.074000,21.46,150.22
Colombia,3|0.014,3,3288,0.014000,4.06,28.42
Kyrgyzstan,3|0.046,3,"2750,3193,3330,3370,3371,3393,3309",0.046000,13.34,93.38
