Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3,2750,0.004000,1.12,51.12
India,3,3001,0.138000,38.64,88.64
Pakistan,3,3001,0.138000,38.64,88.64
Bangladesh,3,3001,0.138000,38.64,88.64
Zambia,3,3393,0.071000,19.88,69.88
Namibia,3,3001,0.138000,38.64,88.64
Papua new gvineya,3,3001,0.138000,38.64,88.64
Algeria,3,3001,0.138000,38.64,88.64
Ethiopia,3,3001,0.138000,38.64,88.64
Mozambique,3,3001,0.138000,38.64,88.64
Angola,3,3001,0.138000,38.64,88.64
Ukraine,3,"3309,3328,3237",0.016000,4.48,54.48
Egypt,3,3168,0.124000,34.72,84.72
Brazil,3,3104,0.004000,1.12,51.12
Iran,3,"3193,3330,3370,3371,3393,3309,3168",0.136000,38.08,88.08
Peru ,3,3168,0.054000,15.12,65.12
Zimbabwe,3,3001,0.138000,38.64,88.64
Nepal,3,3001,0.138000,38.64,88.64
Uzbekistan,3,3335,0.050000,14.00,64.00
Nigeria,3,3237,0.086000,24.08,74.08
Swaziland,3,3001,0.138000,38.64,88.64
Congo (Dem. Republic),3,3001,0.138000,38.64,88.64
France,3,3160,0.016000,4.48,54.48
Botswana,3,3001,0.138000,38.64,88.64
Mexico,3,3001,0.138000,38.64,88.64
Sri Lanka,3,3001,0.138000,38.64,88.64
Honduras,3,3001,0.138000,38.64,88.64
Argentinas,3,"3056,2556,3233",0.007000,1.96,51.96
Myanmar,3,3001,0.138000,38.64,88.64
Tunisia,3,3001,0.138000,38.64,88.64
Timor-Leste,3,3001,0.138000,38.64,88.64
Lesotho,3,3001,0.138000,38.64,88.64
Ecuador,3,3001,0.138000,38.64,88.64
El Salvador,3,3001,0.138000,38.64,88.64
Morocco,3,3237,0.016000,4.48,54.48
Uganda,3,3001,0.138000,38.64,88.64
Malawi,3,3001,0.138000,38.64,88.64
Ghana,3,3001,0.138000,38.64,88.64
Kenya,3,3237,0.008000,2.24,52.24
Panama,3,3001,0.138000,38.64,88.64
Jamaica,3,3001,0.138000,38.64,88.64
Venezuela,3,3001,0.138000,38.64,88.64
Kazakhstan,3,3237,0.014000,3.92,53.92
Colombia,3,"3288,2236",0.007000,1.96,51.96
Paraguay,3,3309,0.022000,6.16,56.16
Turkey,3,3001,0.138000,38.64,88.64
Kyrgyzstan,3,3371,0.018000,5.04,55.04
Jordan,3,3001,0.138000,38.64,88.64
Cameroon,3,3237,0.016000,4.48,54.48
Israel,3,3237,0.011000,3.08,53.08
Cote d`Ivoire Ivory Coast,3,3001,0.138000,38.64,88.64
Bulgaria,3,3335,0.063000,17.64,67.64
