Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.004,Bronze,2750,0.004000,1.16,10.44
South Africa,3|0.484,Bronze,"2579,3330,3370,3168",0.484000,140.36,175.45
South Africa,3|0.048,Bronze,2217,0.048000,13.92,125.28
South Africa,3|0.118,Bronze,3001,0.118000,34.22,68.44
South Africa,3|0.046,Bronze,3160,0.046000,13.34,120.06
South Africa,3|0.482,Bronze,2840,0.482000,139.78,174.72
South Africa,3|0.014,Bronze,"3237,3393",0.014000,4.06,36.54
South Africa,3|0.011,Bronze,"3178,2849",0.011000,3.19,28.71
South Africa,3|0.007,Bronze,"2649,2984",0.007000,2.03,18.27
South Africa,3|0.006,Bronze,3155,0.006000,1.74,15.66
South Africa,3|0.058,Bronze,2812,0.058000,16.82,151.38
India,3|0.051,Bronze,2805,0.051000,14.79,133.11
India,3|0.023,Bronze,2750,0.023000,6.67,60.03
India,3|0.502,Bronze,"2579,3193,3330,3406,3370,3309,3393",0.502000,145.58,181.98
India,3|0.118,Bronze,3001,0.118000,34.22,68.44
India,3|0.058,Bronze,3160,0.058000,16.82,151.38
India,3|0.038,Bronze,3335,0.038000,11.02,99.18
India,3|0.02,Bronze,2920,0.020000,5.80,52.20
Pakistan,3|0.118,Bronze,3001,0.118000,34.22,68.44
Pakistan,3|0.502,Bronze,"2579,3193,3160,3393",0.502000,145.58,181.98
Pakistan,3|0.148,Bronze,"3309,3335",0.148000,42.92,85.84
Pakistan,3|0.019,Bronze,3168,0.019000,5.51,49.59
Pakistan,3|0.048,Bronze,2920,0.048000,13.92,125.28
Pakistan,3|0.174,Bronze,3371,0.174000,50.46,70.64
Bangladesh,3|0.502,Bronze,"2579,3160,3370,3393",0.502000,145.58,181.98
Bangladesh,3|0.118,Bronze,3001,0.118000,34.22,68.44
Bangladesh,3|0.358,Bronze,"3309,3371",0.358000,103.82,129.77
Bangladesh,3|0.5,Bronze,3168,0.500000,145.00,181.25
Zambia,3|0.181,Bronze,"2750,3193,3370,3309,3393,3418",0.181000,52.49,73.49
Zambia,3|0.048,Bronze,2217,0.048000,13.92,125.28
Zambia,3|0.118,Bronze,3001,0.118000,34.22,68.44
Zambia,3|0.136,Bronze,3160,0.136000,39.44,78.88
Zambia,3|0.138,Bronze,2920,0.138000,40.02,80.04
Zambia,3|0.056,Bronze,3371,0.056000,16.24,146.16
Namibia,3|0.118,Bronze,3001,0.118000,34.22,68.44
Namibia,3|0.181,Bronze,"2579,3370,3371,3309,3393",0.181000,52.49,73.49
Papua new gvineya,3|0.118,Bronze,3001,0.118000,34.22,68.44
Papua new gvineya,3|0.502,Bronze,3370,0.502000,145.58,181.98
Algeria,3|0.108,Bronze,2750,0.108000,31.32,62.64
Algeria,3|0.118,Bronze,3001,0.118000,34.22,68.44
Algeria,3|0.502,Bronze,"2579,3193,3160,3330,3370,3371,3309,3393,3168",0.502000,145.58,181.98
Algeria,3|0.098,Bronze,2920,0.098000,28.42,56.84
Ethiopia,3|0.108,Bronze,2750,0.108000,31.32,62.64
Ethiopia,3|0.118,Bronze,3001,0.118000,34.22,68.44
