Service,Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Tinder,South Africa,3|0.004,3,2750,0.004000,1.12,1.68
Tinder,South Africa,3|0.118,3,2217,0.118000,33.04,49.56
Tinder,South Africa,3|0.187,3,"2266,3182",0.187000,52.36,73.30
Tinder,South Africa,3|0.198,3,3001,0.198000,55.44,77.62
Tinder,South Africa,3|0.226,3,"2579,3330,3370,3168",0.226000,63.28,88.59
Tinder,South Africa,3|0.043,3,3160,0.043000,12.04,18.06
Tinder,South Africa,3|0.008,3,3237,0.008000,2.24,3.36
Tinder,South Africa,3|0.224,3,2840,0.224000,62.72,87.81
Tinder,South Africa,3|0.007,3,2649,0.007000,1.96,2.94
Tinder,South Africa,3|0.01,3,3155,0.010000,2.80,4.20
Tinder,South Africa,3|0.036,3,2742,0.036000,10.08,15.12
Tinder,India,3|0.087,3,2805,0.087000,24.36,36.54
Tinder,India,3|0.218,3,"2750,2579,3330,3406,3370,3309",0.218000,61.04,85.46
Tinder,India,3|0.187,3,"2268,2266,3182",0.187000,52.36,73.30
Tinder,India,3|0.198,3,3001,0.198000,55.44,77.62
Tinder,India,3|0.118,3,3193,0.118000,33.04,49.56
Tinder,India,3|0.134,3,3160,0.134000,37.52,56.28
Tinder,India,3|0.111,3,3335,0.111000,31.08,46.62
Tinder,Pakistan,3|0.218,3,"2579,3160,2567,3370,3371",0.218000,61.04,85.46
Tinder,Pakistan,3|0.198,3,3001,0.198000,55.44,77.62
Tinder,Pakistan,3|0.187,3,3182,0.187000,52.36,73.30
Tinder,Pakistan,3|0.118,3,3193,0.118000,33.04,49.56
Tinder,Pakistan,3|0.074,3,"3309,3335",0.074000,20.72,31.08
Tinder,Pakistan,3|0.035,3,3168,0.035000,9.80,14.70
Tinder,Bangladesh,3|0.198,3,3001,0.198000,55.44,77.62
Tinder,Bangladesh,3|0.187,3,3182,0.187000,52.36,73.30
Tinder,Bangladesh,3|0.059,3,"3309,3168",0.059000,16.52,24.78
Tinder,Bangladesh,3|0.271,3,"3160,2567,2579,3370",0.271000,75.88,106.23
Tinder,Bangladesh,3|0.192,3,3371,0.192000,53.76,75.26
Tinder,Zambia,3|0.181,3,2750,0.181000,50.68,70.95
Tinder,Zambia,3|0.118,3,"2217,3193",0.118000,33.04,49.56
Tinder,Zambia,3|0.187,3,"2266,3182",0.187000,52.36,73.30
Tinder,Zambia,3|0.198,3,3001,0.198000,55.44,77.62
Tinder,Zambia,3|0.502,3,"2579,3370,3428,3309",0.502000,140.56,175.70
Tinder,Zambia,3|0.14,3,3160,0.140000,39.20,58.80
Tinder,Zambia,3|0.295,3,3335,0.295000,82.60,115.64
Tinder,Zambia,3|0.28,3,"3371,3418",0.280000,78.40,109.76
Tinder,Namibia,3|0.187,3,"2266,3182",0.187000,52.36,73.30
Tinder,Namibia,3|0.198,3,3001,0.198000,55.44,77.62
Tinder,Namibia,3|0.226,3,"2579,3370,3371,3309",0.226000,63.28,88.59
Tinder,Papua new gvineya,3|0.187,3,"2266,3182",0.187000,52.36,73.30
Tinder,Papua new gvineya,3|0.198,3,3001,0.198000,55.44,77.62
Tinder,Papua new gvineya,3|0.271,3,3370,0.271000,75.88,106.23
Tinder,Algeria,3|0.271,3,"2750,2579,3160,3330,3370,3371,3309",0.271000,75.88,106.23
Tinder,Algeria,3|0.187,3,"2266,3182",0.187000,52.36,73.30
Tinder,Algeria,3|0.198,3,3001,0.198000,55.44,77.62
Tinder,Algeria,3|0.118,3,3193,0.118000,33.04,49.56
Tinder,Algeria,3|0.268,3,3335,0.268000,75.04,105.06
Tinder,Ethiopia,3|0.181,3,2750,0.181000,50.68,70.95
Tinder,Ethiopia,3|0.187,3,"2266,3182",0.187000,52.36,73.30
