Service,Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Twitter,South Africa,3|0.099,3,"2217,3001",0.099000,27.72,41.58
Twitter,South Africa,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,South Africa,3|0.251,3,"2567,2579,3160,3168,3330,3370",0.251000,70.28,98.39
Twitter,South Africa,3|0.012,3,2649,0.012000,3.36,5.04
Twitter,South Africa,3|0.056,3,2742,0.056000,15.68,23.52
Twitter,South Africa,3|0.004,3,2750,0.004000,1.12,1.68
Twitter,South Africa,3|0.086,3,2840,0.086000,24.08,36.12
Twitter,South Africa,3|0.015,3,3155,0.015000,4.20,6.30
Twitter,South Africa,3|0.008,3,3237,0.008000,2.24,3.36
Twitter,South Africa,3|0.045,3,"3335,3393",0.045000,12.60,18.90
Twitter,India,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,India,3|0.134,3,"2567,2579,3160,3193,3309,3330,3370,3371,3393,3406",0.134000,37.52,56.28
Twitter,India,3|0.118,3,"2750,2805",0.118000,33.04,49.56
Twitter,India,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,India,3|0.038,3,3335,0.038000,10.64,15.96
Twitter,Pakistan,3|0.134,3,"2579,3160,3193,3370,3371,3393",0.134000,37.52,56.28
Twitter,Pakistan,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Pakistan,3|0.019,3,3168,0.019000,5.32,7.98
Twitter,Pakistan,3|0.12,3,3309,0.120000,33.60,50.40
Twitter,Bangladesh,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Bangladesh,3|0.134,3,"3160,3370,3371,3393",0.134000,37.52,56.28
Twitter,Bangladesh,3|0.12,3,3168,0.120000,33.60,50.40
Twitter,Zambia,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Zambia,3|0.127,3,2750,0.127000,35.56,53.34
Twitter,Zambia,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Zambia,3|0.134,3,"3160,3193,3309,3370,3371,3393,3418",0.134000,37.52,56.28
Twitter,Namibia,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Namibia,3|0.502,3,"2579,3309,3370,3371,3393",0.502000,140.56,175.70
Twitter,Namibia,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Papua new gvineya,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Papua new gvineya,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Papua new gvineya,3|0.134,3,3370,0.134000,37.52,56.28
Twitter,Algeria,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Algeria,3|0.134,3,"2579,3160,3193,3309,3330,3370,3371,3393",0.134000,37.52,56.28
Twitter,Algeria,3|0.118,3,2750,0.118000,33.04,49.56
Twitter,Algeria,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Ethiopia,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Ethiopia,3|0.502,3,"2579,3193,3309,3370,3393",0.502000,140.56,175.70
Twitter,Ethiopia,3|0.072,3,2750,0.072000,20.16,30.24
Twitter,Ethiopia,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Ethiopia,3|0.376,3,3168,0.376000,105.28,131.60
Twitter,Ethiopia,3|0.21,3,3371,0.210000,58.80,82.32
Twitter,Mozambique,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Mozambique,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Mozambique,3|0.134,3,"3309,3370,3371,3393,3411",0.134000,37.52,56.28
Twitter,Angola,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Angola,3|0.191,3,"2567,2579,2750,3160,3193,3309,3370,3393",0.191000,53.48,74.87
Twitter,Angola,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Angola,3|0.174,3,3371,0.174000,48.72,73.08
Twitter,Ukraine,3|0.311,3,2263,0.311000,87.08,121.91
Twitter,Ukraine,3|0.502,3,"2567,2579,2750,3193,3330,3370",0.502000,140.56,175.70
Twitter,Ukraine,3|0.479,3,2738,0.479000,134.12,167.65
Twitter,Ukraine,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Ukraine,3|0.03,3,3168,0.030000,8.40,12.60
Twitter,Ukraine,3|0.022,3,"3309,3328,3418",0.022000,6.16,9.24
Twitter,Ukraine,3|0.045,3,"3335,3371",0.045000,12.60,18.90
Twitter,Ukraine,3|0.038,3,3340,0.038000,10.64,15.96
Twitter,Ukraine,3|0.04,3,3393,0.040000,11.20,16.80
Twitter,Egypt,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Egypt,3|0.134,3,"2567,2579,3160,3193,3330,3370,3393",0.134000,37.52,56.28
Twitter,Egypt,3|0.108,3,2750,0.108000,30.24,45.36
Twitter,Egypt,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Egypt,3|0.1,3,3168,0.100000,28.00,42.00
Twitter,Egypt,3|0.08,3,3309,0.080000,22.40,33.60
Twitter,Egypt,3|0.045,3,3335,0.045000,12.60,18.90
Twitter,Egypt,3|0.095,3,3340,0.095000,26.60,39.90
Twitter,Brazil,3|0.208,3,2263,0.208000,58.24,81.54
Twitter,Brazil,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Brazil,1|0.028,1,2404,0.028000,7.84,11.76
Twitter,Brazil,3|0.502,3,"2579,3160,3193,3309,3370,3406",0.502000,140.56,175.70
Twitter,Brazil,3|0.314,3,2738,0.314000,87.92,123.09
Twitter,Brazil,3|0.046,3,"2739,2750",0.046000,12.88,19.32
Twitter,Brazil,3|0.12,3,"2840,3365",0.120000,33.60,50.40
Twitter,Brazil,3|0.231,3,2906,0.231000,64.68,90.55
Twitter,Brazil,2|0.004,2,2951,0.004000,1.12,1.68
Twitter,Brazil,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Brazil,3|0.019,3,3089,0.019000,5.32,7.98
Twitter,Brazil,3|0.042,3,"3215,3412",0.042000,11.76,17.64
Twitter,Brazil,3|0.028,3,3229,0.028000,7.84,11.76
Twitter,Brazil,3|0.078,3,3252,0.078000,21.84,32.76
Twitter,Brazil,3|0.279,3,3264,0.279000,78.12,109.37
Twitter,Brazil,3|0.004,3,3287,0.004000,1.12,1.68
Twitter,Brazil,3|0.045,3,3335,0.045000,12.60,18.90
Twitter,Brazil,3|0.067,3,"3367,3393",0.067000,18.76,28.14
Twitter,Brazil,3|0.114,3,"3371,3416",0.114000,31.92,47.88
Twitter,Brazil,3|0.026,3,3398,0.026000,7.28,10.92
Twitter,Brazil,2|0.042,2,3405,0.042000,11.76,17.64
Twitter,Brazil,3|0.039,3,3413,0.039000,10.92,16.38
Twitter,Brazil,1|0.007,1,3415,0.007000,1.96,2.94
Twitter,Haiti,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Haiti,3|0.502,3,"2579,2750,3193,3309,3330,3370,3371,3393",0.502000,140.56,175.70
Twitter,Haiti,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Iran,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Iran,3|0.192,3,"2579,3168,3193,3309,3330,3370,3371,3393",0.192000,53.76,75.26
Twitter,Iran,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Peru ,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Peru ,3|0.098,3,2457,0.098000,27.44,41.16
Twitter,Peru ,3|0.14,3,"2579,2750,3160,3193,3370",0.140000,39.20,58.80
Twitter,Peru ,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Peru ,3|0.038,3,3168,0.038000,10.64,15.96
Twitter,Viet nam,3|0.079,3,2217,0.079000,22.12,33.18
Twitter,Viet nam,3|0.054,3,"2266,2318",0.054000,15.12,22.68
Twitter,Viet nam,3|0.251,3,"2579,2750,3193",0.251000,70.28,98.39
Twitter,Viet nam,3|0.099,3,"2840,3001,3421",0.099000,27.72,41.58
Twitter,Viet nam,3|0.035,3,3160,0.035000,9.80,14.70
Twitter,Viet nam,3|0.008,3,3237,0.008000,2.24,3.36
Twitter,Zimbabwe,3|0.502,3,"2579,3160,3370",0.502000,140.56,175.70
Twitter,Zimbabwe,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Nepal,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Nepal,3|0.203,3,"2579,3193,3309,3370,3371,3393,3411",0.203000,56.84,79.58
Twitter,Nepal,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Uzbekistan,3|0.502,3,"2579,3160,3193,3309,3330,3370,3393",0.502000,140.56,175.70
Twitter,Uzbekistan,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Uzbekistan,3|0.051,3,3168,0.051000,14.28,21.42
Twitter,Uzbekistan,3|0.079,3,3237,0.079000,22.12,33.18
Twitter,Uzbekistan,3|0.089,3,3335,0.089000,24.92,37.38
Twitter,Nigeria,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Nigeria,3|0.188,3,"2579,2750,3160,3193,3309,3330,3370,3393",0.188000,52.64,73.70
Twitter,Nigeria,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Nigeria,3|0.083,3,3168,0.083000,23.24,34.86
Twitter,Nigeria,3|0.178,3,3335,0.178000,49.84,74.76
Twitter,Swaziland,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Swaziland,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Swaziland,3|0.502,3,"3309,3370,3393",0.502000,140.56,175.70
Twitter,Swaziland,3|0.148,3,3335,0.148000,41.44,62.16
Twitter,Congo (Dem. Republic),3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Congo (Dem. Republic),3|0.502,3,"2567,2750,3160,3330,3370",0.502000,140.56,175.70
Twitter,Congo (Dem. Republic),3|0.099,3,3001,0.099000,27.72,41.58
Twitter,France,3|0.082,3,"2263,3270,3389,3403",0.082000,22.96,34.44
Twitter,France,3|0.054,3,"2266,3329,3418",0.054000,15.12,22.68
Twitter,France,3|0.063,3,2442,0.063000,17.64,26.46
Twitter,France,3|1.225,3,"2579,3160,3193,3309,3370,3393,3394",1.225000,343.00,428.75
Twitter,France,3|0.11,3,"2738,3371,3414",0.110000,30.80,46.20
Twitter,France,3|0.064,3,2739,0.064000,17.92,26.88
Twitter,France,3|0.091,3,"2750,3168",0.091000,25.48,38.22
Twitter,France,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,France,3|0.045,3,3335,0.045000,12.60,18.90
Twitter,Botswana,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Botswana,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Botswana,3|0.178,3,"3160,3370,3371,3393",0.178000,49.84,74.76
Twitter,Botswana,3|0.063,3,3309,0.063000,17.64,26.46
Twitter,Mexico,3|0.134,3,"2579,2750,3193,3330,3370",0.134000,37.52,56.28
Twitter,Mexico,3|0.103,3,2840,0.103000,28.84,43.26
Twitter,Mexico,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Mexico,3|0.071,3,3160,0.071000,19.88,29.82
Twitter,Mexico,3|0.131,3,3237,0.131000,36.68,55.02
Twitter,Mexico,3|0.132,3,3335,0.132000,36.96,55.44
Twitter,Mexico,3|0.064,3,3414,0.064000,17.92,26.88
Twitter,Tanzania,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Tanzania,3|0.502,3,"2579,2750,3160,3193,3309,3330,3370,3371,3393",0.502000,140.56,175.70
Twitter,Tanzania,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Tanzania,3|0.06,3,3168,0.060000,16.80,25.20
Twitter,Sri Lanka,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Sri Lanka,3|0.134,3,"2579,3193,3370,3411",0.134000,37.52,56.28
Twitter,Sri Lanka,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Sri Lanka,3|0.094,3,3160,0.094000,26.32,39.48
Twitter,Sri Lanka,3|0.1,3,3168,0.100000,28.00,42.00
Twitter,Honduras,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Honduras,3|0.134,3,"2579,2750,3160,3193,3309,3370,3371,3393",0.134000,37.52,56.28
Twitter,Honduras,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Argentinas,3|0.034,3,2263,0.034000,9.52,14.28
Twitter,Argentinas,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Argentinas,1|0.01,1,2556,0.010000,2.80,4.20
Twitter,Argentinas,3|0.502,3,"2579,2750,3160,3193",0.502000,140.56,175.70
Twitter,Argentinas,3|0.046,3,2738,0.046000,12.88,19.32
Twitter,Argentinas,3|0.023,3,2739,0.023000,6.44,9.66
Twitter,Argentinas,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Argentinas,3|0.01,3,"3056,3233,3237",0.010000,2.80,4.20
Twitter,Argentinas,3|0.084,3,3232,0.084000,23.52,35.28
Twitter,Argentinas,3|0.059,3,"3335,3393",0.059000,16.52,24.78
Twitter,Myanmar,3|0.118,3,2217,0.118000,33.04,49.56
Twitter,Myanmar,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Myanmar,3|0.134,3,"2579,3160,3193,3309,3330,3370,3393",0.134000,37.52,56.28
Twitter,Myanmar,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Myanmar,3|0.074,3,3335,0.074000,20.72,31.08
Twitter,Myanmar,3|0.095,3,3371,0.095000,26.60,39.90
Twitter,Tunisia,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Tunisia,3|0.502,3,"2567,2579,2750,3160,3309,3370,3393",0.502000,140.56,175.70
Twitter,Tunisia,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Tunisia,3|0.366,3,3371,0.366000,102.48,128.10
Twitter,Timor-Leste,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Timor-Leste,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Timor-Leste,3|0.502,3,"3160,3370",0.502000,140.56,175.70
Twitter,Lesotho,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Lesotho,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Lesotho,3|0.216,3,"3309,3370,3393",0.216000,60.48,84.67
Twitter,Lesotho,3|0.19,3,3371,0.190000,53.20,74.48
Twitter,Ecuador,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Ecuador,3|0.178,3,"2750,3160,3193,3309,3370,3371,3393",0.178000,49.84,74.76
Twitter,Ecuador,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,El Salvador,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,El Salvador,3|0.178,3,"2579,2750,3193,3370",0.178000,49.84,74.76
Twitter,El Salvador,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Morocco,3|0.042,3,"2263,3309",0.042000,11.76,17.64
Twitter,Morocco,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Morocco,3|0.502,3,"2579,3160,3193,3330,3370",0.502000,140.56,175.70
Twitter,Morocco,3|0.055,3,2738,0.055000,15.40,23.10
Twitter,Morocco,3|0.046,3,2750,0.046000,12.88,19.32
Twitter,Morocco,3|0.096,3,"2840,3340,3393",0.096000,26.88,40.32
Twitter,Morocco,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Morocco,3|0.04,3,3335,0.040000,11.20,16.80
Twitter,Uganda,3|0.054,3,2266,0.054000,15.12,22.68
Twitter,Uganda,3|0.502,3,"2567,2579,2750,3193,3309,3370,3393",0.502000,140.56,175.70
Twitter,Uganda,3|0.099,3,3001,0.099000,27.72,41.58
Twitter,Uganda,3|0.243,3,3371,0.243000,68.04,95.26
Twitter,Malawi,3|0.054,3,2266,0.054000,15.12,22.68
