Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.004,3,"2750,3178,2984,2944,2849",0.004000,1.16,8.12
South Africa,3|0.251,3,"2579,3330,3370,3428,3168",0.251000,72.79,104.10
South Africa,3|0.118,3,2217,0.118000,34.22,239.54
South Africa,3|0.094,3,"2266,3182",0.094000,27.26,190.82
South Africa,3|0.099,3,3001,0.099000,28.71,200.97
South Africa,3|0.055,3,3160,0.055000,15.95,111.65
South Africa,3|0.116,3,2840,0.116000,33.64,235.48
South Africa,1|0.008,1,3237,0.008000,2.32,16.24
South Africa,3|0.006,3,2649,0.006000,1.74,12.18
South Africa,2|0.006,2,3155,0.006000,1.74,12.18
South Africa,3|0.087,3,2812,0.087000,25.23,176.61
South Africa,3|0.043,3,2742,0.043000,12.47,87.29
India,3|0.118,3,"2805,2579,3193,3160,3330,3406,3370,3309",0.118000,34.22,239.54
India,2|0.118,2,2750,0.118000,34.22,239.54
India,1|0.094,1,2266,0.094000,27.26,190.82
India,1|0.099,1,3001,0.099000,28.71,200.97
India,3|0.094,3,3182,0.094000,27.26,190.82
Pakistan,3|0.099,3,3001,0.099000,28.71,200.97
Pakistan,3|0.094,3,3182,0.094000,27.26,190.82
Pakistan,3|0.152,3,"3193,3160,3370,3371",0.152000,44.08,308.56
Pakistan,3|0.116,3,3168,0.116000,33.64,235.48
Bangladesh,3|0.099,3,3001,0.099000,28.71,200.97
Bangladesh,3|0.094,3,3182,0.094000,27.26,190.82
Bangladesh,3|0.127,3,"3160,3370,3371",0.127000,36.83,257.81
Bangladesh,3|0.1,3,3168,0.100000,29.00,203.00
Zambia,3|0.136,3,"2750,3193,3370,3371,3418",0.136000,39.44,276.08
Zambia,3|0.094,3,"2266,3182",0.094000,27.26,190.82
Zambia,3|0.099,3,3001,0.099000,28.71,200.97
Zambia,3|0.011,3,3160,0.011000,3.19,22.33
Zambia,3|0.068,3,3309,0.068000,19.72,138.04
Namibia,3|0.094,3,"2266,3182",0.094000,27.26,190.82
Namibia,3|0.099,3,3001,0.099000,28.71,200.97
Namibia,3|0.191,3,"3370,3371,3309",0.191000,55.39,79.22
Papua new gvineya,3|0.094,3,"2266,3182",0.094000,27.26,190.82
Papua new gvineya,3|0.099,3,3001,0.099000,28.71,200.97
Papua new gvineya,3|0.127,3,3370,0.127000,36.83,257.81
Algeria,3|0.127,3,"2750,3193,3160,3330,3370,3371,3309,3168",0.127000,36.83,257.81
Algeria,3|0.094,3,"2266,3182",0.094000,27.26,190.82
Algeria,3|0.099,3,3001,0.099000,28.71,200.97
Ethiopia,3|0.127,3,"2750,3193,3370,3371,3309",0.127000,36.83,257.81
Ethiopia,3|0.094,3,"2266,3182",0.094000,27.26,190.82
Ethiopia,3|0.099,3,3001,0.099000,28.71,200.97
Ethiopia,3|0.095,3,3168,0.095000,27.55,192.85
Mozambique,3|0.094,3,"2266,3182",0.094000,27.26,190.82
Mozambique,3|0.099,3,3001,0.099000,28.71,200.97
Mozambique,3|0.203,3,"3370,3371,3309",0.203000,58.87,84.20
Angola,3|0.191,3,"2750,3193,3160,3370,2579,3371,3309",0.191000,55.39,79.22
Angola,3|0.094,3,"2266,3182",0.094000,27.26,190.82
Angola,3|0.099,3,3001,0.099000,28.71,200.97
