Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.004,3,"2750,2984",0.004000,1.16,8.12
South Africa,3|0.275,3,"2579,3330,3370,3428,3168",0.275000,79.75,114.06
South Africa,3|0.07,3,2217,0.070000,20.30,142.10
South Africa,3|0.118,3,3001,0.118000,34.22,239.54
South Africa,3|0.09,3,3160,0.090000,26.10,182.70
South Africa,3|0.066,3,3109,0.066000,19.14,133.98
South Africa,3|0.008,3,"3237,2944",0.008000,2.32,16.24
South Africa,3|0.022,3,3393,0.022000,6.38,44.66
South Africa,3|0.006,3,"2649,3155",0.006000,1.74,12.18
South Africa,3|0.051,3,2812,0.051000,14.79,103.53
South Africa,3|0.062,3,2742,0.062000,17.98,125.86
South Africa,3|0.135,3,2849,0.135000,39.15,274.05
India,3|0.134,3,"2805,2750,3193,3406,3393",0.134000,38.86,272.02
India,3|0.118,3,3001,0.118000,34.22,239.54
Pakistan,3|0.118,3,3001,0.118000,34.22,239.54
Pakistan,3|0.138,3,"2579,3193,3370",0.138000,40.02,280.14
Pakistan,3|0.115,3,3168,0.115000,33.35,233.45
Pakistan,3|0.095,3,3371,0.095000,27.55,192.85
Pakistan,3|0.099,3,3393,0.099000,28.71,200.97
Bangladesh,3|0.111,3,3168,0.111000,32.19,225.33
Bangladesh,3|0.115,3,"3371,3393",0.115000,33.35,233.45
Zambia,3|0.127,3,"2750,3193,3370,3371,3309,3393,3418",0.127000,36.83,257.81
Zambia,3|0.07,3,2217,0.070000,20.30,142.10
Zambia,3|0.118,3,3001,0.118000,34.22,239.54
Namibia,3|0.118,3,3001,0.118000,34.22,239.54
Namibia,3|0.181,3,"3370,2579,3371,3309,3393",0.181000,52.49,75.07
Papua new gvineya,3|0.118,3,3001,0.118000,34.22,239.54
Papua new gvineya,3|0.215,3,3370,0.215000,62.35,89.17
Algeria,3|0.118,3,"2750,3330,3370,3371,3309,3393,3168",0.118000,34.22,239.54
Algeria,1|0.118,1,3001,0.118000,34.22,239.54
Algeria,2|0.118,2,3193,0.118000,34.22,239.54
Algeria,3|0.018,3,3160,0.018000,5.22,36.54
Algeria,3|0.004,3,3178,0.004000,1.16,8.12
Ethiopia,3|0.14,3,"2750,3193,3370,3371,3309,3393",0.140000,40.60,284.20
Ethiopia,3|0.118,3,3001,0.118000,34.22,239.54
Ethiopia,3|0.106,3,3168,0.106000,30.74,215.18
Mozambique,3|0.118,3,3001,0.118000,34.22,239.54
Mozambique,3|0.127,3,"3411,3370,3371,3309,3393",0.127000,36.83,257.81
Angola,3|0.215,3,"2750,2579,3193,3370,3428,3309,3393",0.215000,62.35,89.17
Angola,3|0.118,3,3001,0.118000,34.22,239.54
Angola,3|0.154,3,3371,0.154000,44.66,312.62
Ukraine,3|0.659,3,2263,0.659000,191.11,242.73
Ukraine,3|2.211,3,"2750,2579,3193,3330",2.211000,641.19,814.38
Ukraine,3|0.118,3,3001,0.118000,34.22,239.54
Ukraine,3|2.016,3,2738,2.016000,584.64,742.55
Ukraine,3|0.828,3,"3309,3418,3371",0.828000,240.12,304.98
Ukraine,3|0.854,3,3237,0.854000,247.66,314.55
Ukraine,3|0.884,3,"3328,3340,3393",0.884000,256.36,325.60
Ukraine,3|1.134,3,3177,1.134000,328.86,417.69
Ukraine,3|0.094,3,3178,0.094000,27.26,190.82
Egypt,3|0.166,3,"2750,2579,3330,3160,3370",0.166000,48.14,336.98
Egypt,1|0.118,1,3001,0.118000,34.22,239.54
Egypt,3|0.14,3,3193,0.140000,40.60,284.20
