Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.004,3,"2750,2649,3155,2944,2849",0.004000,1.16,8.12
South Africa,3|0.302,3,"2579,3330,2567,3370,3168",0.302000,87.58,125.26
South Africa,3|0.262,3,2217,0.262000,75.98,108.67
South Africa,3|0.064,3,3160,0.064000,18.56,129.92
South Africa,3|0.3,3,2840,0.300000,87.00,124.43
South Africa,3|0.008,3,3237,0.008000,2.32,16.24
South Africa,3|0.148,3,3335,0.148000,42.92,300.44
South Africa,3|0.019,3,2984,0.019000,5.51,38.57
South Africa,3|0.034,3,2812,0.034000,9.86,69.02
South Africa,3|0.127,3,2742,0.127000,36.83,257.81
India,3|0.114,3,"2805,2750,3193,3160,3330,2579,3406,3370,3335,3309",0.114000,33.06,231.42
Pakistan,3|0.71,3,"2579,3193,3160,2567,3370",0.710000,205.90,261.51
Pakistan,3|0.369,3,"3309,3335",0.369000,107.01,135.91
Pakistan,3|0.307,3,3168,0.307000,89.03,127.33
Pakistan,3|0.506,3,3371,0.506000,146.74,186.37
Bangladesh,3|0.203,3,"3160,3371",0.203000,58.87,84.20
Bangladesh,3|0.083,3,3168,0.083000,24.07,168.49
Zambia,3|0.842,3,"2750,3193,3370,3371,3418",0.842000,244.18,310.13
Zambia,3|0.632,3,3160,0.632000,183.28,232.78
Zambia,3|0.214,3,3309,0.214000,62.06,88.76
Namibia,3|0.842,3,"3370,3371,3309",0.842000,244.18,310.13
Papua new gvineya,3|0.451,3,3370,0.451000,130.79,166.12
Algeria,3|0.203,3,"2750,3193,3160,3330,3370,3371,3309,3168",0.203000,58.87,84.20
Ethiopia,3|0.203,3,"2750,3193,3370,3371,3309",0.203000,58.87,84.20
Ethiopia,3|0.183,3,3168,0.183000,53.07,75.90
Mozambique,3|0.451,3,"2579,2567,3411,3370,3371,3309",0.451000,130.79,166.12
Angola,3|0.362,3,"2750,2579,3193,3160,3370,3309",0.362000,104.98,133.34
Angola,3|0.258,3,3371,0.258000,74.82,107.01
Ukraine,3|0.419,3,2263,0.419000,121.51,154.33
Ukraine,3|0.668,3,"2750,2579,3193,3330,2567,3370",0.668000,193.72,246.04
Ukraine,3|0.639,3,2738,0.639000,185.31,235.36
Ukraine,3|0.148,3,"3309,3328,3340,3335,3418,3371",0.148000,42.92,300.44
Ukraine,3|0.115,3,3237,0.115000,33.35,233.45
Ukraine,3|0.267,3,3177,0.267000,77.43,110.74
Egypt,3|0.451,3,"2750,2579,3193,3330,2567,3160,3370",0.451000,130.79,166.12
Egypt,3|0.148,3,"3309,3340,3335",0.148000,42.92,300.44
Egypt,3|0.07,3,3168,0.070000,20.30,142.10
Brazil,3|0.451,3,"2750,2738",0.451000,130.79,166.12
Brazil,3|0.063,3,3089,0.063000,18.27,127.89
Brazil,3|0.587,3,"2579,3193,2567,3406,3370,3309",0.587000,170.23,216.21
Brazil,3|0.087,3,"3160,3371",0.087000,25.23,176.61
Brazil,3|0.264,3,2263,0.264000,76.56,109.50
Brazil,3|0.05,3,"3018,2951",0.050000,14.50,101.50
Brazil,3|0.399,3,2739,0.399000,115.71,146.96
Brazil,3|0.055,3,3215,0.055000,15.95,111.65
Brazil,2|0.111,2,3237,0.111000,32.19,225.33
Brazil,2|0.05,2,3365,0.050000,14.50,101.50
Brazil,3|0.082,3,3252,0.082000,23.78,166.46
Brazil,3|0.031,3,"3415,3178",0.031000,8.99,62.93
Brazil,3|0.052,3,3335,0.052000,15.08,105.56
Brazil,3|0.287,3,3264,0.287000,83.23,119.04
Brazil,3|0.03,3,3104,0.030000,8.70,60.90
Brazil,3|0.095,3,2906,0.095000,27.55,192.85
Brazil,1|0.086,1,3367,0.086000,24.94,174.58
Brazil,3|0.064,3,3398,0.064000,18.56,129.92
Brazil,3|0.046,3,3412,0.046000,13.34,93.38
Brazil,3|0.047,3,2404,0.047000,13.63,95.41
Brazil,3|0.106,3,3416,0.106000,30.74,215.18
Brazil,3|0.032,3,3229,0.032000,9.28,64.96
Haiti,3|0.451,3,"2750,3193,3330,3370,3309",0.451000,130.79,166.12
Haiti,3|0.447,3,3371,0.447000,129.63,164.64
Iran,3|1.294,3,"2579,3330,2567,3370,3428,3309",1.294000,375.26,476.62
Iran,3|1.075,3,3193,1.075000,311.75,395.95
Iran,3|1.064,3,3371,1.064000,308.56,391.90
Peru ,3|0.502,3,"2457,2750,3193,2579,3160,3370,3309",0.502000,145.58,184.90
Peru ,3|0.43,3,3371,0.430000,124.70,158.38
Peru ,3|0.152,3,3168,0.152000,44.08,308.56
Viet nam,3|0.351,3,"2750,2579,3193,2567",0.351000,101.79,129.28
Viet nam,3|0.2,3,2318,0.200000,58.00,82.95
Viet nam,3|0.198,3,2217,0.198000,57.42,82.12
Viet nam,3|0.134,3,3082,0.134000,38.86,272.02
Viet nam,3|0.091,3,3160,0.091000,26.39,184.73
Viet nam,3|0.118,3,3237,0.118000,34.22,239.54
Viet nam,3|0.158,3,"3335,3421",0.158000,45.82,320.74
Zimbabwe,3|0.782,3,"2579,3160,2567,3370",0.782000,226.78,288.03
Zimbabwe,3|0.172,3,3168,0.172000,49.88,349.16
Nepal,3|0.782,3,"3193,3411,3370,3371,3309",0.782000,226.78,288.03
Uzbekistan,3|0.782,3,"2579,3160,3193,3330,2567,3370,3309",0.782000,226.78,288.03
Uzbekistan,3|0.091,3,3168,0.091000,26.39,184.73
Uzbekistan,3|0.369,3,3335,0.369000,107.01,135.91
Nigeria,3|0.627,3,"2750,2579,3193,3160,3330,2567,3370,3309",0.627000,181.83,230.94
Nigeria,3|0.28,3,3237,0.280000,81.20,116.13
Nigeria,3|0.374,3,3168,0.374000,108.46,137.76
Nigeria,3|0.443,3,3335,0.443000,128.47,163.17
Swaziland,3|0.451,3,"3370,3309",0.451000,130.79,166.12
Congo (Dem. Republic),3|0.451,3,"2750,3160,3330,2260,3370",0.451000,130.79,166.12
Congo (Dem. Republic),3|0.227,3,2920,0.227000,65.83,94.15
France,3|0.47,3,"2750,2442",0.470000,136.30,173.11
France,1|0.131,1,2263,0.131000,37.99,265.93
France,3|0.175,3,2738,0.175000,50.75,72.58
France,3|5.883,3,"2579,3193,3370,3428,3309",5.883000,1706.07,2166.88
France,3|0.102,3,2739,0.102000,29.58,207.06
France,3|1.229,3,3160,1.229000,356.41,452.68
France,3|0.09,3,3237,0.090000,26.10,182.70
France,3|0.134,3,3389,0.134000,38.86,272.02
France,3|0.131,3,"3329,3414,3418,3371",0.131000,37.99,265.93
France,3|0.148,3,3335,0.148000,42.92,300.44
France,3|0.2,3,3168,0.200000,58.00,82.95
France,3|0.135,3,3270,0.135000,39.15,274.05
Botswana,3|0.884,3,"3160,3370,3371,3309,3328",0.884000,256.36,325.60
Mexico,3|0.271,3,"2750,3193,3330,3370",0.271000,78.59,112.40
Mexico,3|0.203,3,3160,0.203000,58.87,84.20
Mexico,3|0.183,3,3414,0.183000,53.07,75.90
