Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,Bronze,2750,0.004000,1.16,3.48
South Africa,Bronze,"2579,3168",0.251000,72.79,101.91
South Africa,Bronze,2217,0.048000,13.92,41.76
South Africa,Bronze,3160,0.072000,20.88,31.32
South Africa,Bronze,2840,0.058000,16.82,50.46
South Africa,Bronze,3237,0.008000,2.32,6.96
South Africa,Bronze,2266,0.094000,27.26,40.89
South Africa,Bronze,3393,0.018000,5.22,15.66
South Africa,Bronze,"2649,3155",0.006000,1.74,5.22
South Africa,Bronze,2984,0.007000,2.03,6.09
India,Bronze,"2805,3193",0.067000,19.43,58.29
India,Bronze,2750,0.036000,10.44,31.32
India,Bronze,"2579,3330,3406,3370,3428,3309,3393",0.502000,145.58,181.98
India,Bronze,3160,0.090000,26.10,39.15
India,Bronze,2266,0.094000,27.26,40.89
India,Bronze,3371,0.059000,17.11,51.33
Pakistan,Bronze,"2579,3160,3370,3393",0.116000,33.64,50.46
Pakistan,Bronze,"3193,3309",0.067000,19.43,58.29
Pakistan,Bronze,2266,0.094000,27.26,40.89
Pakistan,Bronze,3371,0.070000,20.30,30.45
Bangladesh,Bronze,"2579,3160,2567,3370,3393",0.136000,39.44,59.16
Bangladesh,Bronze,"3309,3371",0.098000,28.42,42.63
Bangladesh,Bronze,2266,0.094000,27.26,40.89
Bangladesh,Bronze,3168,0.131000,37.99,56.98
Zambia,Bronze,"2750,3370,3371,3309,3393,3418",0.108000,31.32,46.98
Zambia,Bronze,2217,0.048000,13.92,41.76
Zambia,Bronze,3160,0.082000,23.78,35.67
Zambia,Bronze,3193,0.067000,19.43,58.29
Zambia,Bronze,2266,0.094000,27.26,40.89
Namibia,Bronze,2266,0.094000,27.26,40.89
Namibia,Bronze,"3370,3371,3309,3393",0.191000,55.39,77.55
Papua new gvineya,Bronze,2266,0.094000,27.26,40.89
Papua new gvineya,Bronze,3370,0.152000,44.08,66.12
Algeria,Bronze,"2750,3160,3330,3370,3371,3309,3393,3168",0.136000,39.44,59.16
Algeria,Bronze,3193,0.067000,19.43,58.29
Algeria,Bronze,2266,0.094000,27.26,40.89
Ethiopia,Bronze,"2750,3370,3371,3309,3393",0.136000,39.44,59.16
Ethiopia,Bronze,3193,0.067000,19.43,58.29
Ethiopia,Bronze,2266,0.094000,27.26,40.89
Ethiopia,Bronze,3168,0.103000,29.87,44.80
Mozambique,Bronze,"2579,2567,3370,3411,3309,3393",0.178000,51.62,72.27
Mozambique,Bronze,2266,0.094000,27.26,40.89
Mozambique,Bronze,3371,0.130000,37.70,56.55
Angola,Bronze,"2750,2579,3160,2567,3370,3309,3393",0.191000,55.39,77.55
Angola,Bronze,3193,0.067000,19.43,58.29
Angola,Bronze,2266,0.094000,27.26,40.89
Angola,Bronze,3371,0.136000,39.44,59.16
Ukraine,Bronze,2263,0.310000,89.90,125.86
Ukraine,Bronze,"2750,2579,3330,2567,3370",0.502000,145.58,181.98
Ukraine,Bronze,2738,0.476000,138.04,172.55
Ukraine,Bronze,3193,0.067000,19.43,58.29
Ukraine,Bronze,"3309,3328,3340,3393,3418,3371",0.031000,8.99,26.97
Ukraine,Bronze,2739,0.019000,5.51,16.53
Ukraine,Bronze,2266,0.094000,27.26,40.89
Ukraine,Bronze,3168,0.060000,17.40,52.20
Ukraine,Bronze,3335,0.045000,13.05,39.15
Egypt,Bronze,"2750,3168",0.063000,18.27,54.81
Egypt,Bronze,"2579,3330,3160,3370",0.502000,145.58,181.98
Egypt,Bronze,3193,0.067000,19.43,58.29
Egypt,Bronze,"3309,3340",0.052000,15.08,45.24
Egypt,Bronze,2266,0.094000,27.26,40.89
Egypt,Bronze,3393,0.038000,11.02,33.06
Egypt,Bronze,3335,0.034000,9.86,29.58
Brazil,Bronze,"2750,3412",0.027000,7.83,23.49
Brazil,Bronze,"3089,2840",0.058000,16.82,50.46
Brazil,Bronze,3160,0.048000,13.92,41.76
Brazil,Bronze,"2579,3406,3370,3309",0.167000,48.43,72.64
Brazil,Bronze,2263,0.159000,46.11,69.16
Brazil,Bronze,3018,0.024000,6.96,20.88
Brazil,Bronze,2739,0.118000,34.22,51.33
Brazil,Bronze,2738,0.087000,25.23,37.84
Brazil,Bronze,3215,0.035000,10.15,30.45
Brazil,Bronze,"3193,3416",0.067000,19.43,58.29
Brazil,Bronze,3237,0.008000,2.32,6.96
Brazil,Bronze,2266,0.094000,27.26,40.89
Brazil,Bronze,"3365,3398",0.040000,11.60,34.80
Brazil,Bronze,"3393,3252,3371,3264,2906,2404,3229,3356",0.031000,8.99,26.97
Brazil,Bronze,"3367,3335",0.045000,13.05,39.15
Brazil,Gold,3109,0.014000,4.06,12.18
Brazil,Bronze,3415,0.028000,8.12,24.36
Brazil,Gold,2951,0.031000,8.99,26.97
Brazil,Bronze,3104,0.004000,1.16,3.48
Brazil,Silver,3413,0.030000,8.70,26.10
Haiti,Bronze,"2750,2579,3330,3370,3428,3371,3393,3309",0.502000,145.58,181.98
Haiti,Bronze,3193,0.067000,19.43,58.29
Haiti,Bronze,2266,0.094000,27.26,40.89
Haiti,Bronze,3335,0.295000,85.55,119.77
Iran,Bronze,"3193,3330,3370,3371,3393,3309",0.231000,66.99,93.79
Iran,Bronze,2266,0.094000,27.26,40.89
Peru ,Bronze,"2750,2579,3211,3160,2567,3370,3371,3393,3309",0.166000,48.14,72.21
Peru ,Bronze,3193,0.067000,19.43,58.29
Peru ,Bronze,2266,0.094000,27.26,40.89
Peru ,Bronze,3168,0.031000,8.99,26.97
Viet nam,Bronze,"2750,2579,2840",0.100000,29.00,43.50
Viet nam,Bronze,2318,0.054000,15.66,46.98
Viet nam,Bronze,2217,0.048000,13.92,41.76
Viet nam,Bronze,"3160,3421",0.024000,6.96,20.88
Viet nam,Bronze,3193,0.067000,19.43,58.29
Viet nam,Bronze,2266,0.094000,27.26,40.89
Viet nam,Bronze,"3393,3237",0.011000,3.19,9.57
Zimbabwe,Bronze,"2579,3160,2567,3370",0.127000,36.83,55.24
Zimbabwe,Bronze,2266,0.094000,27.26,40.89
Nepal,Bronze,3193,0.067000,19.43,58.29
Nepal,Bronze,2266,0.094000,27.26,40.89
Nepal,Bronze,"3370,3411,3371,3393,3309",0.166000,48.14,72.21
Uzbekistan,Bronze,"3160,2579,3330,3370,3309,3393",0.127000,36.83,55.24
Uzbekistan,Bronze,3193,0.067000,19.43,58.29
Uzbekistan,Bronze,2266,0.094000,27.26,40.89
Uzbekistan,Bronze,3168,0.095000,27.55,41.33
Uzbekistan,Bronze,3335,0.042000,12.18,36.54
Nigeria,Bronze,"2750,2579,3160,3330,2567,3370,3428,3309,3393",0.502000,145.58,181.98
Nigeria,Bronze,3193,0.067000,19.43,58.29
Nigeria,Bronze,2266,0.094000,27.26,40.89
Nigeria,Bronze,3168,0.376000,109.04,136.30
Nigeria,Bronze,3335,0.059000,17.11,51.33
Swaziland,Bronze,2266,0.094000,27.26,40.89
Swaziland,Bronze,"3370,3309,3393",0.191000,55.39,77.55
Congo (Dem. Republic),Bronze,"2750,3160,3330,2567,2260,3370,3428",0.502000,145.58,181.98
Congo (Dem. Republic),Bronze,2266,0.094000,27.26,40.89
Congo (Dem. Republic),Bronze,2920,0.376000,109.04,136.30
France,Bronze,2263,0.075000,21.75,32.63
France,Bronze,2750,0.071000,20.59,30.88
France,Bronze,2738,0.099000,28.71,43.06
France,Bronze,2739,0.047000,13.63,40.89
France,Bronze,"2579,3160,3370,3428,3394,3309,3393",1.225000,355.25,426.30
France,Bronze,3193,0.067000,19.43,58.29
France,Bronze,2442,0.128000,37.12,55.68
France,Bronze,3237,0.012000,3.48,10.44
France,Bronze,2266,0.094000,27.26,40.89
France,Bronze,"3329,3414,3418,3371",0.028000,8.12,24.36
France,Bronze,3403,0.134000,38.86,58.29
France,Bronze,3168,0.011000,3.19,9.57
France,Bronze,3270,0.031000,8.99,26.97
