Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Thailand,Bronze,"3193,2579,3340,3393,3370,3309",0.167000,46.76,70.14
United Kingdom,Bronze,"2579,3193,3368,3330,3370,2914",0.167000,46.76,70.14
United Kingdom,Bronze,2739,0.043000,12.04,19.26
United Kingdom,Bronze,2263,0.046000,12.88,20.61
United Kingdom,Bronze,"2738,3329",0.060000,16.80,26.88
United Kingdom,Bronze,"3309,3393,3328,1015,3397",0.126000,35.28,52.92
United Kingdom,Bronze,"3212,3371",0.042000,11.76,18.82
United Kingdom,Bronze,3335,0.070000,19.60,31.36
United Kingdom,Bronze,3435,0.138000,38.64,57.96
Cambodia,Bronze,"3193,2579,3330,3370,3371,3393,3309",0.218000,61.04,85.46
Cambodia,Bronze,3421,0.163000,45.64,68.46
